code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""393321000006113""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence at trade and service area""	""Aurum""",
"""393591000006118""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence in residential institution""	""Aurum""",
"""393601000006114""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol, occurrence at unspecified place""	""Aurum""",
"""393861000006111""",UNKNOWN,true,"""[x]intentional self poisoning by and exposure to alcohol""	""Aurum""",
"""397241000006119""",UNKNOWN,true,"""[x]men & behav dis due to use alcohol: oth men & behav dis""	""Aurum""",
"""397431000006111""",UNKNOWN,true,"""[x]ment & behav dis due use alcohol: unsp ment & behav dis""	""Aurum""",
"""397611000006115""",UNKNOWN,true,"""[x]mental & behav dis due to use alcohol: acute intoxication""	""Aurum""",
"""397621000006111""",UNKNOWN,true,"""alcohol-induced psychosis""	""Aurum""",
"""397791000006118""",UNKNOWN,true,"""alcohol amnestic disorder""	""Aurum""",
"""397801000006117""",UNKNOWN,true,"""[x]mental and behav dis due to use alcohol: dependence syndr""	""Aurum""",
"""397811000006119""",UNKNOWN,true,"""[x]mental and behav dis due to use alcohol: withdrawal state""	""Aurum""",
"""397881000006114""",UNKNOWN,true,"""alcohol abuse""	""Aurum""",
"""405461000000114""",UNKNOWN,true,"""alcohol abuse monitoring""	""Aurum""",
"""421381000006110""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at other specified place, undetermined intent""	""Aurum""",
"""421521000006118""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence on street and highway, undetermined intent""	""Aurum""",
"""421531000006115""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at trade and service area, undetermined intent""	""Aurum""",
"""421791000006112""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence in residential institution, undetermined intent""	""Aurum""",
"""421801000006113""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at unspecified place, undetermined intent""	""Aurum""",
"""422121000006117""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at home, undetermined intent""	""Aurum""",
"""422131000006119""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence on farm, undetermined intent""	""Aurum""",
"""422381000006116""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, occurrence at industrial and construction area, undetermined intent""	""Aurum""",
"""422801000006118""",UNKNOWN,true,"""[x]poisoning by and exposure to alcohol, undetermined intent""	""Aurum""",
"""464381000006118""",UNKNOWN,true,"""alcohol metabolism modifier adverse reaction""	""Aurum""",
"""476361000006114""",UNKNOWN,true,"""alcohol amnestic syndrome""	""Aurum""",
"""476611000006116""",UNKNOWN,true,"""alcoholic cirrhosis of liver""	""Aurum""",
"""476701000006114""",UNKNOWN,true,"""alcohol myopathy""	""Aurum""",
"""476741000006111""",UNKNOWN,true,"""alcohol-induced psychosis""	""Aurum""",
"""480271000000113""",UNKNOWN,true,"""disqualified from driving due to excess alcohol""	""Aurum""",
"""542611000006114""",UNKNOWN,true,"""cerebral degeneration due to alcoholism""	""Aurum""",
"""606991000000117""",UNKNOWN,true,"""alcohol misuse""	""Aurum""",
"""622961000000116""",UNKNOWN,true,"""referral to specialist alcohol treatment service""	""Aurum""",
"""649311000006115""",UNKNOWN,true,"""toxic effect of ethyl alcohol""	""Aurum""",
"""739501000000112""",UNKNOWN,true,"""advised to contact primary care alcohol worker""	""Aurum""",
"""740641000000115""",UNKNOWN,true,"""referral to alcohol brief intervention service""	""Aurum""",
"""750531000000113""",UNKNOWN,true,"""declined referral to specialist alcohol treatment service""	""Aurum""",
"""753331000006118""",UNKNOWN,true,"""korsakov alcoholic psychosis""	""Aurum""",
"""769451000006111""",UNKNOWN,true,"""intoxication - alcohol""	""Aurum""",
"""831091000006115""",UNKNOWN,true,"""referral to alcohol abuse team""	""Aurum""",
"""831101000006114""",UNKNOWN,true,"""referral to alcohol counsellor""	""Aurum""",
"""851931000006116""",UNKNOWN,true,"""referral to alcohol recovery project""	""Aurum""",
"""852151000006117""",UNKNOWN,true,"""audit score >5 alcohol dependence syndrome""	""Aurum""",
"""852161000006115""",UNKNOWN,true,"""audit score >5 alcohol problem drinker""	""Aurum""",
"""852381000006110""",UNKNOWN,true,"""alcohol reduction-maintain abstinence""	""Aurum""",
"""852391000006113""",UNKNOWN,true,"""not interested in reducing alcohol""	""Aurum""",
"""852401000006110""",UNKNOWN,true,"""ready to start reducing alcohol""	""Aurum""",
"""852411000006113""",UNKNOWN,true,"""thinking about reducing alcohol""	""Aurum""",
"""854651000006117""",UNKNOWN,true,"""alcohol overdose""	""Aurum""",
"""882221000006114""",UNKNOWN,true,"""other alcoholic psychoses""	""Aurum""",
"""882531000006110""",UNKNOWN,true,"""non-dependent abuse of alcohol""	""Aurum""",
"""886501000006115""",UNKNOWN,true,"""alcoholic liver damage nos""	""Aurum""",
"""899411000006110""",UNKNOWN,true,"""toxic effects of alcohol""	""Aurum""",
"""899421000006119""",UNKNOWN,true,"""ethyl alcohol - toxic effect""	""Aurum""",
"""899431000006116""",UNKNOWN,true,"""alcohol nos - toxic effect""	""Aurum""",
"""940781000006116""",UNKNOWN,true,"""evidence of alcohol withdrawal""	""Aurum""",
"""961571000006111""",UNKNOWN,true,"""excessive use of alcohol""	""Aurum""",
"""970391000006118""",UNKNOWN,true,"""substance misuse of alcohol""	""Aurum""",
"""970401000006116""",UNKNOWN,true,"""misuse of mixture of alcohol""	""Aurum""",
"""970411000006118""",UNKNOWN,true,"""misuse of alcohol unspecified""	""Aurum""",
"""973011000006119""",UNKNOWN,true,"""** seminars in alcohol & drug misuse""	""Aurum""",
"""991151000006114""",UNKNOWN,true,"""alcohol nos - toxic effect""	""Aurum""",
"""1538911000006119""",UNKNOWN,true,"""structured alcohol intervention""	""Aurum""",
"""1675391000006112""",UNKNOWN,true,"""referral by community alcohol team""	""Aurum""",
"""1779661000006118""",UNKNOWN,true,"""alcohol detoxification declined""	""Aurum""",
"""1808491000006113""",UNKNOWN,true,"""alcohol-related legal or disciplinary problem""	""Aurum""",
"""1808611000006118""",UNKNOWN,true,"""arep - alcohol rehabilitation education program""	""Aurum""",
"""1878791000006112""",UNKNOWN,true,"""in-house alcohol detoxification""	""Aurum""",
"""1926131000006117""",UNKNOWN,true,"""referral to mental health services deferred until alcohol misuse resolved""	""Aurum""",
"""1972151000006110""",UNKNOWN,true,"""mental & behav dis due to use alcohol: acute intoxication, uncomplicated""	""Aurum""",
"""1972161000006112""",UNKNOWN,true,"""mental & behav dis due to use alcohol: acute intoxication, with trauma or other bodily injury""	""Aurum""",
"""1972271000006112""",UNKNOWN,true,"""mental & behav dis due to use alcohol: acute intoxication, with other medical complications""	""Aurum""",
"""1973241000006113""",UNKNOWN,true,"""mental & behav dis due to use alcohol: acute intoxication, with delirium""	""Aurum""",
"""1973321000006113""",UNKNOWN,true,"""mental & behav dis due to use alcohol: acute intoxication, with perceptual distortions""	""Aurum""",
"""1973411000006110""",UNKNOWN,true,"""mental & behav dis due to use alcohol: acute intoxication, with coma""	""Aurum""",
"""1973441000006114""",UNKNOWN,true,"""mental & behav dis due to use alcohol: acute intoxication, with convulsions""	""Aurum""",
"""1973481000006115""",UNKNOWN,true,"""mental & behav dis due to use alcohol: acute intoxication, pathological intoxication""	""Aurum""",
"""1973701000006119""",UNKNOWN,true,"""mental and behav dis due to use alcohol: dependence syndr, currently abstinent""	""Aurum""",
"""1973811000006113""",UNKNOWN,true,"""mental and behav dis due to use alcohol: dependence syndr, currently abstinent, but in a protected environment""	""Aurum""",
"""1973871000006116""",UNKNOWN,true,"""mental and behav dis due to use alcohol: dependence syndr, currently on a clinically supervised maintenance or replacement regime [controlled dependence]""	""Aurum""",
"""1974021000006112""",UNKNOWN,true,"""mental and behav dis due to use alcohol: dependence syndr, currently abstinent, but receiving treatment with aversive or blocking drugs""	""Aurum""",
"""1974071000006113""",UNKNOWN,true,"""mental and behav dis due to use alcohol: dependence syndr, currently using the substance [active dependence]""	""Aurum""",
"""1974111000006117""",UNKNOWN,true,"""mental and behav dis due to use alcohol: dependence syndr, continuous use""	""Aurum""",
"""1974141000006118""",UNKNOWN,true,"""mental and behav dis due to use alcohol: dependence syndr, episodic use [dipsomania]""	""Aurum""",
"""1974191000006110""",UNKNOWN,true,"""mental and behav dis due to use alcohol: withdrawal state, uncomplicated""	""Aurum""",
"""1974231000006117""",UNKNOWN,true,"""mental and behav dis due to use alcohol: withdrawal state, with convulsions""	""Aurum""",
"""1974301000006117""",UNKNOWN,true,"""mental & behav dis due to use alcohol: withdrawl state with delirium, without convulsions""	""Aurum""",
"""1974521000006117""",UNKNOWN,true,"""mental & behav dis due to use alcohol: withdrawl state with delirium, with convulsions""	""Aurum""",
"""1975141000006117""",UNKNOWN,true,"""mental & behav dis due to use alcohol: psychotic disorder, schizophrenia-like""	""Aurum""",
"""1975181000006111""",UNKNOWN,true,"""mental & behav dis due to use alcohol: psychotic disorder, predominantly delusional""	""Aurum""",
"""1975291000006117""",UNKNOWN,true,"""mental & behav dis due to use alcohol: psychotic disorder, predominantly hallucinatory""	""Aurum""",
"""1975341000006119""",UNKNOWN,true,"""mental & behav dis due to use alcohol: psychotic disorder, predominantly polymorphic""	""Aurum""",
"""1975371000006110""",UNKNOWN,true,"""mental & behav dis due to use alcohol: psychotic disorder, predominantly depressive symptoms""	""Aurum""",
"""1975411000006111""",UNKNOWN,true,"""mental & behav dis due to use alcohol: psychotic disorder, predominantly manic symptoms""	""Aurum""",
"""1975461000006114""",UNKNOWN,true,"""mental & behav dis due to use alcohol: psychotic disorder, mixed""	""Aurum""",
"""1975511000006112""",UNKNOWN,true,"""mental & behav dis due to use alcohol: resid & late-onset psychot dis, flashbacks""	""Aurum""",
"""1975541000006111""",UNKNOWN,true,"""mental & behav dis due to use alcohol: resid & late-onset psychot dis, personality or behaviour disorder""	""Aurum""",
"""1975591000006119""",UNKNOWN,true,"""mental & behav dis due to use alcohol: resid & late-onset psychot dis, dementia""	""Aurum""",
"""1975661000006111""",UNKNOWN,true,"""mental & behav dis due to use alcohol: resid & late-onset psychot dis, residual affective disorder""	""Aurum""",
"""1976071000006119""",UNKNOWN,true,"""mental & behav dis due to use alcohol: resid & late-onset psychot dis, other persisting cognitive impairment""	""Aurum""",
"""1976111000006110""",UNKNOWN,true,"""mental & behav dis due to use alcohol: resid & late-onset psychot dis, late-onset psychotic disorder""	""Aurum""",
"""2007461000006118""",UNKNOWN,true,"""srh care activity - alcohol brief intervention""	""Aurum""",
"""2298341000000114""",UNKNOWN,true,"""in-house alcohol detoxification""	""Aurum""",
"""2358251000000115""",UNKNOWN,true,"""alcohol dependence resolved""	""Aurum""",
"""2364891000000111""",UNKNOWN,true,"""hospital alcohol liaison team report received""	""Aurum""",
"""2419601000000110""",UNKNOWN,true,"""specialist alcohol treatment service signposted""	""Aurum""",
"""2462911000000112""",UNKNOWN,true,"""withdrawn from alcohol detoxification programme""	""Aurum""",
"""2467301000000111""",UNKNOWN,true,"""alcohol relapse prevention""	""Aurum""",
"""2475831000000114""",UNKNOWN,true,"""alcohol harm reduction programme""	""Aurum""",
"""2485391000000114""",UNKNOWN,true,"""alcohol twelve step programme""	""Aurum""",
"""2502971000006115""",UNKNOWN,true,"""dementia associated with alcoholism""	""Aurum""",
"""2502981000006117""",UNKNOWN,true,"""alcohol-induced persisting dementia""	""Aurum""",
"""2612481000006116""",UNKNOWN,true,"""alcohol hallucinosis""	""Aurum""",
"""2614651000006115""",UNKNOWN,true,"""alcoholism""	""Aurum""",
"""2626141000006112""",UNKNOWN,true,"""alcoholic polyneuropathy""	""Aurum""",
"""2626161000006111""",UNKNOWN,true,"""alcoholic peripheral neuropathy""	""Aurum""",
"""2658601000006116""",UNKNOWN,true,"""acute alcoholic liver disease""	""Aurum""",
"""2716771000000111""",UNKNOWN,true,"""signposting to alcohol misuse service""	""Aurum""",
"""2740361000006119""",UNKNOWN,true,"""aa - alcohol abuse""	""Aurum""",
"""2740831000000114""",UNKNOWN,true,"""harmful use of alcohol""	""Aurum""",
"""2773801000006117""",UNKNOWN,true,"""non-alcoholic korsakoff's psychosis""	""Aurum""",
"""2796011000006111""",UNKNOWN,true,"""alcohol intoxication delirium""	""Aurum""",
