code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""Term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""Release""	""EmisCodeCategoryId""	""AD""",
"""512191000000113""",UNKNOWN,true,"10	""1TC""	""1TC..00""	""h/o anti-depressant misuse""	276991000000109	512191000000113	NA	27	1",
"""512391000000111""",UNKNOWN,true,"2	""1TC0""	""1TC0.00""	""h/o daily anti-depressant misuse""	277821000000103	512391000000111	NA	27	1",
"""512401000000114""",UNKNOWN,true,"4	""1TC1""	""1TC1.00""	""h/o weekly anti-depressant misuse""	277851000000108	512401000000114	NA	27	1",
"""512411000000111""",UNKNOWN,true,"6	""1TC2""	""1TC2.00""	""h/o infrequent anti-depressant misuse""	277881000000102	512411000000111	NA	27	1",
"""541901000000116""",UNKNOWN,true,"30	""44ui""	""44ui.00""	""norclomipramine level""	1029401000000108	2595021000000115	NA	34	1",
"""586671000006114""",UNKNOWN,true,"100	""E258""	""E258.00""	""nondependent antidepressant type drug abuse""	191928000	295315012	NA	32	1",
"""970281000006114""",UNKNOWN,true,"9	""EMISNQND24""	""""	""substance misuse of anti-depressants""	970281000006105	970281000006114	NA	17	1",
"""970291000006112""",UNKNOWN,true,"2	""EMISNQMI139""	""""	""misuse of anti-depressants unspecified""	970291000006108	970291000006112	NA	17	1",
"""970301000006113""",UNKNOWN,true,"40	""EMISNQMI140""	""""	""misuse of fluoxetine""	970301000006109	970301000006113	NA	17	1",
"""970311000006111""",UNKNOWN,true,"40	""EMISNQMI141""	""""	""misuse of amitriptyline""	970311000006107	970311000006111	NA	17	1",
"""970351000006112""",UNKNOWN,true,"10	""EMISNQMI145""	""""	""misuse of lofepramine""	970351000006108	970351000006112	NA	17	1",
"""970361000006114""",UNKNOWN,true,"40	""EMISNQMI146""	""""	""misuse of paroxetine""	970361000006105	970361000006114	NA	17	1",
"""1012971000006119""",UNKNOWN,true,"800	""ALLERGY4.3""	""""	""adverse reaction to antidepressant drugs""	1012971000006103	1012971000006119	NA	5	1",
"""1012981000006116""",UNKNOWN,true,"900	""ALLERGY4.3.1""	""""	""adverse reaction to tricyclic and related antidepressant drugs""	1012981000006100	1012981000006116	NA	5	1",
"""1013001000006117""",UNKNOWN,true,"200	""ALLERGY4.3.3""	""""	""adverse reaction to compound antidepressant preparations""	1013001000006101	1013001000006117	NA	5	1",
"""1013011000006119""",UNKNOWN,true,"300	""ALLERGY4.3.4""	""""	""adverse reaction to other antidepressant drugs""	1013011000006103	1013011000006119	NA	5	1",
"""1015601000006110""",UNKNOWN,true,"10	""ALLERGY1838""	""""	""adverse reaction to allegron""	1015601000006106	1015601000006110	NA	5	1",
"""1016681000006113""",UNKNOWN,true,"3000	""ALLERGY18735NEMIS""	""""	""adverse reaction to duloxetine""	1016681000006109	1016681000006113	NA	5	1",
"""1016691000006111""",UNKNOWN,true,"100	""ALLERGY18739NEMIS""	""""	""adverse reaction to yentreve""	1016691000006107	1016691000006111	NA	5	1",
"""1016921000006116""",UNKNOWN,true,"400	""ALLERGY1879""	""""	""adverse reaction to anafranil""	1016921000006100	1016921000006116	NA	5	1",
"""1016981000006117""",UNKNOWN,true,"4	""ALLERGY1880""	""""	""adverse reaction to anafranil sr""	1016981000006101	1016981000006117	NA	5	1",
"""1019541000006113""",UNKNOWN,true,"30	""ALLERGY5186EMIS""	""""	""adverse reaction to manerix""	1019541000006109	1019541000006113	NA	5	1",
"""1019551000006110""",UNKNOWN,true,"100	""ALLERGY5187EMIS""	""""	""adverse reaction to moclobemide""	1019551000006106	1019551000006110	NA	5	1",
"""1020701000006118""",UNKNOWN,true,"30	""ALLERGY1007""	""""	""adverse reaction to maprotiline hydrochloride""	1020701000006102	1020701000006118	NA	5	1",
"""1022611000006110""",UNKNOWN,true,"200	""ALLERGY1081""	""""	""adverse reaction to mianserin hydrochloride""	1022611000006106	1022611000006110	NA	5	1",
"""1022981000006111""",UNKNOWN,true,"400	""ALLERGY11080NEMIS""	""""	""adverse reaction to oxactin""	1022981000006107	1022981000006111	NA	5	1",
"""1024671000006110""",UNKNOWN,true,"1000	""ALLERGY1169""	""""	""adverse reaction to nortriptyline""	1024671000006106	1024671000006110	NA	5	1",
"""1027101000006118""",UNKNOWN,true,"40	""ALLERGY1253""	""""	""adverse reaction to phenelzine""	1027101000006102	1027101000006118	NA	5	1",
"""1028841000006113""",UNKNOWN,true,"600	""ALLERGY13084NEMIS""	""""	""adverse reaction to escitalopram""	1028841000006109	1028841000006113	NA	5	1",
