code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antipsychotic""",
"""485041000033112""",UNKNOWN,true,"""Droperidol  Tablets  10 mg""	""Tablet""	""Oral""	""Droperidol""	NA	NA	""Droperidol""",
"""567141000033111""",UNKNOWN,true,"""Fentazin  Injection  5 mg/ml""	""Solution for injection""	""Intramuscular""	""Perphenazine""	NA	NA	""Perphenazine""",
"""570941000033117""",UNKNOWN,true,"""Fentazin 2mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Perphenazine""	""2.000mg""	NA	""Perphenazine""",
"""571041000033110""",UNKNOWN,true,"""Fentazin 4mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Perphenazine""	""4.000mg""	NA	""Perphenazine""",
"""571141000033114""",UNKNOWN,true,"""Fentazin  Tablets  8 mg""	""Tablet""	""Oral""	""Perphenazine""	NA	NA	""Perphenazine""",
"""582041000033112""",UNKNOWN,true,"""Fluphenazine decanoate 25mg/1ml solution for injection pre-filled syringes""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	""04020200""	""Fluphenazine""",
"""582141000033111""",UNKNOWN,true,"""Fluphenazine decanoate 50mg/2ml solution for injection pre-filled syringes""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	""04020200""	""Fluphenazine""",
"""584641000033111""",UNKNOWN,true,"""Fluphenazine decanoate 25mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	""04020200""	""Fluphenazine""",
"""584741000033119""",UNKNOWN,true,"""Fluphenazine Enanthate  Injection  25 mg/ml""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	NA	NA	""Fluphenazine""",
"""584841000033112""",UNKNOWN,true,"""Fluspirilene  Injection  2 mg/ ml""	""Solution for injection""	""Intramuscular""	""Fluspirilene""	NA	NA	""Fluspirilene""",
"""585041000033116""",UNKNOWN,true,"""Flupenthixol Decanoate  Injection  200 mg/10 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""",
"""585241000033112""",UNKNOWN,true,"""Flupenthixol Decanoate  Injection (syringe)  20 ml/1 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""",
"""585341000033119""",UNKNOWN,true,"""Flupenthixol Decanoate  Injection (syringe)  40 mg/2 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""",
"""585541000033114""",UNKNOWN,true,"""Flupenthixol Decanoate  Injection  500 mg/5 ml""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""",
"""586641000033119""",UNKNOWN,true,"""Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	""04020200""	""Fluphenazine""",
"""586741000033111""",UNKNOWN,true,"""Fluphenazine decanoate 250mg/10ml solution for injection vials""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	""04020200""	""Fluphenazine""",
"""586841000033118""",UNKNOWN,true,"""Fluphenazine decanoate 50mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""25.000mg/1.000ml""	""04020200""	""Fluphenazine""",
"""586941000033114""",UNKNOWN,true,"""Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine""	""100.000mg/1.000ml""	""04020200""	""Fluphenazine""",
"""587641000033116""",UNKNOWN,true,"""Flupenthixol Decanoate  Injection  100 mg/1 ml ampoule""	""Solution for injection""	""Intramuscular""	""Flupentixol""	NA	NA	""Flupentixol""",
