code,code_system,include,term,notes
"""ProdCodeId""",UNKNOWN,true,"""dmdid""	""Term.from.EMIS""	""ProductName""	""Formulation""	""RouteOfAdministration""	""DrugSubstanceName""	""SubstanceStrength""	""BNFChapter""	""DrugIssues""	""Gen""	""AP""",
"""585041000033116""",UNKNOWN,true,"NA	""Flupenthixol Decanoate Injection 200 mg/10 ml""	""""	""""	""""	""""	""""	""""	20	1	""Flupenthixol""",
"""585241000033112""",UNKNOWN,true,"NA	""Flupenthixol Decanoate Injection (syringe) 20 ml/1 ml""	""""	""""	""""	""""	""""	""""	40	1	""Flupenthixol""",
"""585341000033119""",UNKNOWN,true,"NA	""Flupenthixol Decanoate Injection (syringe) 40 mg/2 ml""	""""	""""	""""	""""	""""	""""	200	1	""Flupenthixol""",
"""585541000033114""",UNKNOWN,true,"NA	""Flupenthixol Decanoate Injection 500 mg/5 ml""	""""	""""	""""	""""	""""	""""	30	1	""Flupenthixol""",
"""586641000033119""",UNKNOWN,true,"36058211000001104	""Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules""	""Fluphenazine decanoate 12.5mg/0.5ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine decanoate""	""25.000mg/1.000ml""	""4020200""	6000	1	""Fluphenazine""",
"""586741000033111""",UNKNOWN,true,"36058311000001104	""Fluphenazine decanoate 250mg/10ml solution for injection vials""	""Fluphenazine decanoate 250mg/10ml solution for injection vials""	""Solution for injection""	""Intramuscular""	""Fluphenazine decanoate""	""25.000mg/1.000ml""	""""	10	1	""Fluphenazine""",
"""586841000033118""",UNKNOWN,true,"36058711000001104	""Fluphenazine decanoate 50mg/2ml solution for injection ampoules""	""Fluphenazine decanoate 50mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine decanoate""	""25.000mg/1.000ml""	""4020200""	4000	1	""Fluphenazine""",
"""586941000033114""",UNKNOWN,true,"36058611000001104	""Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules""	""Fluphenazine decanoate 50mg/0.5ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine decanoate""	""100.000mg/1.000ml""	""4020200""	7000	1	""Fluphenazine""",
"""587641000033116""",UNKNOWN,true,"NA	""Flupenthixol Decanoate Injection 100 mg/1 ml ampoule""	""""	""""	""""	""""	""""	""""	70	1	""Flupenthixol""",
"""587741000033113""",UNKNOWN,true,"36058111000001112	""Fluphenazine decanoate 100mg/1ml solution for injection ampoules""	""Fluphenazine decanoate 100mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Fluphenazine decanoate""	""100.000mg/1.000ml""	""4020200""	30000	1	""Fluphenazine""",
"""593441000033111""",UNKNOWN,true,"843011000001101	""Fluanxol 1mg tablets (Lundbeck Ltd)""	""Fluanxol 1mg tablets""	""Tablet""	""Oral""	""Flupentixol dihydrochloride""	""1.000mg""	""4030400""	100000	1	""Flupentixol""",
"""593541000033112""",UNKNOWN,true,"507511000001106	""Fluanxol 500microgram tablets (Lundbeck Ltd)""	""Fluanxol 500microgram tablets""	""Tablet""	""Oral""	""Flupentixol dihydrochloride""	""500.000microgram""	""4030400""	200000	1	""Flupentixol""",
"""595441000033112""",UNKNOWN,true,"321412006	""Fluphenazine 1mg tablets""	""Fluphenazine 1mg tablets""	""Tablet""	""Oral""	""Fluphenazine hydrochloride""	""1.000mg""	""4020100""	30000	1	""Fluphenazine""",
