code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Insulin""",
"""915641000033117""",UNKNOWN,true,"""Pork Mixtard 30 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	NA	""Insulin""",
"""924541000033112""",UNKNOWN,true,"""Monoject hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.36mm/28gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""926541000033117""",UNKNOWN,true,"""Monotard Mc Insulin Zinc Susp Bp Nova  Injection  100 units/1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""961041000033114""",UNKNOWN,true,"""Neutral Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""961141000033113""",UNKNOWN,true,"""Neutral Insulin (Human)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""962241000033112""",UNKNOWN,true,"""Neutral Insulin (Evans)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1052941000033117""",UNKNOWN,true,"""Human Mixtard 10  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1053041000033110""",UNKNOWN,true,"""Human Mixtard 20  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1053141000033114""",UNKNOWN,true,"""Human Mixtard 40  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1053241000033119""",UNKNOWN,true,"""Human Mixtard 50  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1053541000033117""",UNKNOWN,true,"""Human Mixtard 30  Injection (cartridges)  100 u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1061641000033113""",UNKNOWN,true,"""Human Mixtard 30  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1061741000033116""",UNKNOWN,true,"""Human Mixtard 10  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1061841000033114""",UNKNOWN,true,"""Human Mixtard 20  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1061941000033118""",UNKNOWN,true,"""Human Mixtard 40  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1062041000033112""",UNKNOWN,true,"""Human Mixtard 50  Preloaded pen""	NA	NA	""Insulin""	NA	NA	""Insulin""",
"""1119741000033114""",UNKNOWN,true,"""Insulin protamine zinc bovine 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""06010102""	""Insulin""",
"""1152741000033110""",UNKNOWN,true,"""Rapitard Mc (Novo)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1240741000033113""",UNKNOWN,true,"""Sabre Disposable  Insulin syringe  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1240841000033115""",UNKNOWN,true,"""Sabre Disposable  Insulin syringe  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1415541000033116""",UNKNOWN,true,"""Terumo  Disposable insulin syringe  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1419541000033119""",UNKNOWN,true,"""Tempulin (Boots)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1480541000033110""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with not less than 12mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""",
"""1480641000033111""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.36 mm/28g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1480741000033119""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.4 mm/27g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1480841000033112""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.3 ml, 0.45 mm/26g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1480941000033116""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""",
"""1481041000033114""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.36mm/28gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""",
"""1481141000033113""",UNKNOWN,true,"""Hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with not less than 12mm needle 0.4mm/27gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""21010900""	""Insulin""",
"""1481241000033118""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with 12mm needle  0.5 ml, 0.45 mm/26g""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1481341000033111""",UNKNOWN,true,"""U100 Insulin Sterile, Single Use  Syringes with needle  0.36 x 13 mm/28g ref no443723113""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1490141000033119""",UNKNOWN,true,"""Unifine hypodermic U100 insulin syringe sterile single use / single patient use 0.3ml with 12mm needle 0.33mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1507441000033119""",UNKNOWN,true,"""Human Velosulin  Injection  100 u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1508341000033112""",UNKNOWN,true,"""Pork Velosulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1508441000033118""",UNKNOWN,true,"""Velosulin Cartridge (Nordisk Wellcome)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1577541000033112""",UNKNOWN,true,"""BD Micro-Fine + hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""",
"""1615941000033113""",UNKNOWN,true,"""Humulin I 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""",
