code,code_system,include,term,notes
"""MedCodeId""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""Term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""Release""	""EmisCodeCategoryId""	""AP""",
"""2290431000000110""",UNKNOWN,true,"400	""8BPa""	""8BPa.00""	""antipsychotic drug therapy for dementia""	700214004	2989656010	NA	32	""EvidenceOfAP""",
"""2315211000000115""",UNKNOWN,true,"1	""44vF""	""44vF.00""	""serum chlorpromazine concentration""	998671000000107	2563571000000111	NA	34	""EvidenceOfAP""",
"""2319251000000118""",UNKNOWN,true,"7	""44vM""	""44vM.00""	""serum haloperidol concentration""	1002371000000109	2573211000000112	NA	34	""EvidenceOfAP""",
"""2320121000000115""",UNKNOWN,true,"40	""4Q1C0""	""4Q1C000""	""serum olanzapine concentration""	1002481000000101	2561031000000119	NA	32	""EvidenceOfAP""",
"""2321421000000119""",UNKNOWN,true,"2	""44uj0""	""44uj000""	""serum risperidone concentration""	1004651000000102	2561301000000111	NA	34	""EvidenceOfAP""",
"""2321861000000112""",UNKNOWN,true,"20000	""44W43""	""44W4300""	""serum valproate concentration""	1005781000000104	2573551000000114	NA	34	""EvidenceOfBP""",
"""2322241000000116""",UNKNOWN,true,"3	""46P30""	""46P3000""	""urine lithium concentration""	998601000000104	2560021000000110	NA	34	""EvidenceOfBP""",
"""2340831000000110""",UNKNOWN,true,"1	""44ut""	""44ut.00""	""serum sulpiride level""	1004601000000103	2577781000000115	NA	34	""EvidenceOfAP""",
"""2340881000000114""",UNKNOWN,true,"700	""44uu""	""44uu.00""	""serum clozapine level""	1004591000000109	2564281000000113	NA	34	""EvidenceOfAP""",
"""2341351000000119""",UNKNOWN,true,"6	""44uh0""	""44uh000""	""serum quetiapine level""	1004671000000106	2560741000000118	NA	34	""EvidenceOfAP""",
"""2352621000000113""",UNKNOWN,true,"400	""44uw""	""44uw.00""	""serum norclozapine level""	1004571000000105	2556291000000110	NA	34	""EvidenceOfAP""",
"""2365281000000114""",UNKNOWN,true,"1000	""38Qh""	""38Qh.00""	""glasgow antipsychotic side-effect scale score""	921661000000104	2365341000000113	NA	32	""EvidenceOfAP""",
