code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""TermEMIS""	""EMIS""	""QOFEMIS""	""TermRead""	""READ""	""QOFRead""	""TermSNOMED""	""SNOMED""	""QOFSNOMED""	""Group""	""QOFAny""",
"""294730012""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of subchronic schizophrenia""	""E1003""	""YES""	""Acute exacerbation of subchronic schizophrenia""	""111482003""	""YES""	""schizophrenia""	""YES""",
"""294731011""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of chronic schizophrenia""	""E1004""	""YES""	""Acute exacerbation of chronic schizophrenia""	""191531007""	""YES""	""schizophrenia""	""YES""",
"""294734015""",UNKNOWN,true,"NA	NA	NA	""Simple schizophrenia NOS""	""E100z""	""YES""	""Simple schizophrenia NOS""	""191527001""	""YES""	""schizophrenia""	""YES""",
"""294735019""",UNKNOWN,true,"NA	NA	NA	""Unspecified hebephrenic schizophrenia""	""E1010""	""YES""	""Unspecified hebephrenic schizophrenia""	""35252006""	""YES""	""schizophrenia""	""YES""",
"""294736018""",UNKNOWN,true,"NA	NA	NA	""Subchronic hebephrenic schizophrenia""	""E1011""	""YES""	""Subchronic hebephrenic schizophrenia""	""27387000""	""YES""	""schizophrenia""	""YES""",
"""294737010""",UNKNOWN,true,"NA	NA	NA	""Chronic hebephrenic schizophrenia""	""E1012""	""YES""	""Chronic hebephrenic schizophrenia""	""12939007""	""YES""	""schizophrenia""	""YES""",
"""294738017""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of subchronic hebephrenic schizophrenia""	""E1013""	""YES""	""Acute exacerbation of subchronic hebephrenic schizophrenia""	""14291003""	""YES""	""schizophrenia""	""YES""",
"""294739013""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of chronic hebephrenic schizophrenia""	""E1014""	""YES""	""Acute exacerbation of chronic hebephrenic schizophrenia""	""191539009""	""YES""	""schizophrenia""	""YES""",
"""294740010""",UNKNOWN,true,"NA	NA	NA	""Hebephrenic schizophrenia in remission""	""E1015""	""YES""	""Hebephrenic schizophrenia in remission""	""31373002""	""YES""	""schizophrenia""	""YES""",
"""294741014""",UNKNOWN,true,"NA	NA	NA	""Hebephrenic schizophrenia NOS""	""E101z""	""YES""	""Hebephrenic schizophrenia NOS""	""35252006""	""YES""	""schizophrenia""	""YES""",
"""294742019""",UNKNOWN,true,"NA	NA	NA	""Catatonic schizophrenia""	""E102""	""YES""	""Catatonic schizophrenia""	""191542003""	""YES""	""schizophrenia""	""YES""",
"""294743012""",UNKNOWN,true,"NA	NA	NA	""[X]Schizophrenic flexibilatis cerea""	""Eu202-4""	""YES""	""[X]Schizophrenic flexibilatis cerea""	""191542003""	""YES""	""schizophrenia""	""YES""",
"""294744018""",UNKNOWN,true,"NA	NA	NA	""Unspecified catatonic schizophrenia""	""E1020""	""YES""	""Unspecified catatonic schizophrenia""	""191542003""	""YES""	""schizophrenia""	""YES""",
"""294750011""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of subchronic catatonic schizophrenia""	""E1023""	""YES""	""Acute exacerbation of subchronic catatonic schizophrenia""	""191547009""	""YES""	""schizophrenia""	""YES""",
"""294751010""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of chronic catatonic schizophrenia""	""E1024""	""YES""	""Acute exacerbation of chronic catatonic schizophrenia""	""191548004""	""YES""	""schizophrenia""	""YES""",
"""294753013""",UNKNOWN,true,"NA	NA	NA	""Catatonic schizophrenia NOS""	""E102z""	""YES""	""Catatonic schizophrenia NOS""	""191542003""	""YES""	""schizophrenia""	""YES""",
"""294754019""",UNKNOWN,true,"NA	NA	NA	""Unspecified paranoid schizophrenia""	""E1030""	""YES""	""Unspecified paranoid schizophrenia""	""64905009""	""YES""	""schizophrenia""	""YES""",
"""294757014""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of subchronic paranoid schizophrenia""	""E1033""	""YES""	""Acute exacerbation of subchronic paranoid schizophrenia""	""191554003""	""YES""	""schizophrenia""	""YES""",
"""294758016""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of chronic paranoid schizophrenia""	""E1034""	""YES""	""Acute exacerbation of chronic paranoid schizophrenia""	""191555002""	""YES""	""schizophrenia""	""YES""",
"""294760019""",UNKNOWN,true,"NA	NA	NA	""Paranoid schizophrenia NOS""	""E103z""	""YES""	""Paranoid schizophrenia NOS""	""64905009""	""YES""	""schizophrenia""	""YES""",
"""294764011""",UNKNOWN,true,"NA	NA	NA	""Latent schizophrenia""	""E105""	""YES""	""Latent schizophrenia""	""191559008""	""YES""	""other psychosis""	""YES""",
"""294765012""",UNKNOWN,true,"NA	NA	NA	""Unspecified latent schizophrenia""	""E1050""	""YES""	""Unspecified latent schizophrenia""	""191559008""	""YES""	""other psychosis""	""YES""",
"""294766013""",UNKNOWN,true,"NA	NA	NA	""Subchronic latent schizophrenia""	""E1051""	""YES""	""Subchronic latent schizophrenia""	""191561004""	""YES""	""other psychosis""	""YES""",
"""294767016""",UNKNOWN,true,"NA	NA	NA	""Chronic latent schizophrenia""	""E1052""	""YES""	""Chronic latent schizophrenia""	""191562006""	""YES""	""other psychosis""	""YES""",
"""294768014""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of subchronic latent schizophrenia""	""E1053""	""YES""	""Acute exacerbation of subchronic latent schizophrenia""	""191563001""	""YES""	""other psychosis""	""YES""",
"""294769018""",UNKNOWN,true,"NA	NA	NA	""Acute exacerbation of chronic latent schizophrenia""	""E1054""	""YES""	""Acute exacerbation of chronic latent schizophrenia""	""191564007""	""YES""	""other psychosis""	""YES""",
