code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Antipsychotic""",
"""81144""",UNKNOWN,true,"2	""Risperidone 2mg tablets (A A H Pharmaceuticals Ltd)""	""Risperidone""	""2mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Risperidone""",
"""3937""",UNKNOWN,true,"17329	""Trifluoperazine 15mg modified-release capsules""	""Trifluoperazine""	""15mg""	""Modified-release capsule""	""Oral""	""Unknown""	""Trifluoperazine""",
"""12630""",UNKNOWN,true,"3620	""Loxapine 50mg capsules""	""Loxapine""	""50mg""	""Oral capsule""	""Oral""	""Unknown""	""Loxapine""",
"""89567""",UNKNOWN,true,"140	""Aripiprazole 10mg tablets (Creo Pharma Ltd)""	""Aripiprazole""	""10mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Aripiprazole""",
"""16407""",UNKNOWN,true,"819	""Zyprexa 15mg Velotabs (Neon Healthcare Ltd)""	""Olanzapine""	""15mg""	""Oral lyophilisate""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
"""28231""",UNKNOWN,true,"158	""Levinan 6mg Tablet (Link Pharmaceuticals Ltd)""	""Levomepromazine""	""6mg""	""Oral tablet""	""Oral""	""Antipsychotic Products""	""Levomepromazine""",
"""3926""",UNKNOWN,true,"46824	""Modecate 25mg/ml Injection (Sanofi-Synthelabo Ltd)""	""Fluphenazine""	""25mg/ml""	""Injection""	""Intramuscular Deep Injection Gluteal Muscle""	""Antipsychotic Depot Injections""	""Fluphenazine""",
"""34339""",UNKNOWN,true,"11	""Haloperidol 1.5mg tablets (A A H Pharmaceuticals Ltd)""	""Haloperidol""	""1.5mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs""	""Haloperidol""",
"""36163""",UNKNOWN,true,"615	""Zyprexa 20mg tablets (Neon Healthcare Ltd)""	""Olanzapine""	""20mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
"""7039""",UNKNOWN,true,"406872	""Quetiapine 300mg tablets""	""Quetiapine""	""300mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Quetiapine""",
"""28862""",UNKNOWN,true,"4	""Chloractil 100mg Tablet (DDSA Pharmaceuticals Ltd)""	""Chlorpromazine""	""100mg""	""Oral tablet""	""Oral""	""Antipsychotic Products/-""	""Chlorpromazine""",
"""21064""",UNKNOWN,true,"85	""Neulactil 25mg Tablet (JHC Healthcare Ltd)""	""Pericyazine""	""25mg""	""Tablet""	""Oral""	""Antipsychotic Products""	""Pericyazine""",
"""53552""",UNKNOWN,true,"0	""Quetiapine 25mg tablets (Zentiva Pharma UK Ltd)""	""Quetiapine""	""25mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Quetiapine""",
"""84868""",UNKNOWN,true,"0	""Risperidone 1mg/ml oral solution sugar free (Waymade Healthcare Plc)""	""Risperidone""	""1mg/1ml""	""Oral solution""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Risperidone""",
"""18453""",UNKNOWN,true,"4413	""Zyprexa 2.5mg tablets (Neon Healthcare Ltd)""	""Olanzapine""	""2.5mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
"""89810""",UNKNOWN,true,"1	""Risperidone 2mg tablets (Milpharm Ltd)""	""Risperidone""	""2mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Risperidone""",
"""73535""",UNKNOWN,true,"2	""Haloperidol 2.5mg/5ml oral suspension""	""Haloperidol""	""500microgram/1ml""	""Oral suspension""	""Oral""	""First-Generation Antipsychotic Drugs""	""Haloperidol""",
"""8922""",UNKNOWN,true,"914	""Oxypertine 10mg capsules""	""Oxypertine""	""10mg""	""Oral capsule""	""Oral""	""Unknown""	""Oxypertine""",
"""13820""",UNKNOWN,true,"8169	""Zyprexa 10mg tablets (Neon Healthcare Ltd)""	""Olanzapine""	""10mg""	""Oral tablet""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
"""47098""",UNKNOWN,true,"9698	""Olanzapine 5mg orodispersible tablets sugar free""	""Olanzapine""	""5mg""	""Orodispersible tablet""	""Oral""	""Second-Generation Antipsychotic Drugs/Products Used For Mania And Hypomania""	""Olanzapine""",
"""1319""",UNKNOWN,true,"38782	""Clopixol 10mg tablets (Lundbeck Ltd)""	""Zuclopenthixol""	""10mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs""	""Zuclopenthixol""",
"""80963""",UNKNOWN,true,"15	""Risperidone 1mg orodispersible tablets sugar free (A A H Pharmaceuticals Ltd)""	""Risperidone""	""1mg""	""Orodispersible tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Risperidone""",
"""2157""",UNKNOWN,true,"16685	""Perphenazine 4mg tablets""	""Perphenazine""	""4mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo""	""Perphenazine""",
"""69121""",UNKNOWN,true,"68	""Olanzapine embonate 405mg powder and solvent for prolonged-release suspension for injection vials""	""Olanzapine""	""405mg""	""Powder and solvent for prolonged-release suspension for inj""	""Intramuscular""	""Second-Generation Antipsychotic Drugs/Antipsychotic Depot Injections""	""Olanzapine""",
"""88524""",UNKNOWN,true,"0	""Haloperidol 10mg/5ml oral solution sugar free (Alliance Healthcare (Distribution) Ltd)""	""Haloperidol""	""2mg/1ml""	""Oral solution""	""Oral""	""First-Generation Antipsychotic Drugs""	""Haloperidol""",
"""69365""",UNKNOWN,true,"5	""Haloperidol 1mg/ml sugar free Oral solution (Pinewood Healthcare)""	""Haloperidol""	""1mg/ml""	""Oral Solution""	""Oral""	""Antipsychotic Products/-""	""Haloperidol""",
"""79527""",UNKNOWN,true,"1	""Promazine 25mg/5ml oral solution (Waymade Healthcare Plc)""	""Promazine""	""5mg/1ml""	""Oral solution""	""Oral""	""First-Generation Antipsychotic Drugs""	""Promazine""",
"""61748""",UNKNOWN,true,"2580	""Ebesque XL 200mg tablets (Ethypharm UK Ltd)""	""Quetiapine""	""200mg""	""Modified-release tablet""	""Oral""	""Second-Generation Antipsychotic Drugs""	""Quetiapine""",
"""26660""",UNKNOWN,true,"1	""PROMAZINE HYDROCHLORIDE""	""Promazine""	NA	NA	NA	""Unknown""	""Promazine""",
"""13338""",UNKNOWN,true,"5218	""Serenace 5mg tablets (Teva UK Ltd)""	""Haloperidol""	""5mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs""	""Haloperidol""",
"""5510""",UNKNOWN,true,"9873	""Prochlorperazine mesilate 12.5mg/ml injection""	""Prochlorperazine""	""12.5mg/ml""	""Injection""	""Intramuscular""	""Antipsychotic Products/-""	""Prochlorperazine""",
"""39887""",UNKNOWN,true,"103272	""Stemetil 5mg tablets (Sanofi)""	""Prochlorperazine""	""5mg""	""Oral tablet""	""Oral""	""First-Generation Antipsychotic Drugs/Products Used Against Nausea And Vertigo - Antihistamines, Phenothiazines & Related Products""	""Prochlorperazine""",
"""21027""",UNKNOWN,true,"15	""Triperidol 1mg Tablet (Lagap)""	""Trifluperidol""	""1mg""	""Tablet""	""Oral""	""Antipsychotic Products""	""Trifluperidol""",
