code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""",
"""32244""",UNKNOWN,true,"""8BG2.00""	""lipid lowering therapy indicated""",
"""102681""",UNKNOWN,true,"""66X4.00""	""lipid disorder follow-up assessment""",
"""44115""",UNKNOWN,true,"""8I69.00""	""lipid lowering therapy not indicated""",
"""106558""",UNKNOWN,true,"""1W2..00""	""probable familial hypercholesterolaemia""",
"""102958""",UNKNOWN,true,"""C320600""	""polygenic hypercholesterolaemia""",
"""45020""",UNKNOWN,true,"""8I2C.00""	""lipid lowering therapy contraindicated""",
"""5791""",UNKNOWN,true,"""C322.00""	""mixed hyperlipidaemia""",
"""95952""",UNKNOWN,true,"""C328.00""	""dyslipidaemia""",
"""55855""",UNKNOWN,true,"""C320.12""	""fredrickson type iia lipidaemia""",
"""59095""",UNKNOWN,true,"""C320.13""	""low density lipoproteinaemia""",
"""3484""",UNKNOWN,true,"""C320.11""	""familial hypercholesterolaemia""",
"""102390""",UNKNOWN,true,"""C322000""	""familial combined hyperlipidaemia""",
"""107668""",UNKNOWN,true,"""38Gr.00""	""dutch lipid clinic network diag crit fam hyperchol""",
"""39147""",UNKNOWN,true,"""8BAG000""	""cholesterol reduction programme - invited""",
"""7447""",UNKNOWN,true,"""C320z00""	""pure hypercholesterolaemia nos""",
"""3386""",UNKNOWN,true,"""C320000""	""familial hypercholesterolaemia""",
"""54499""",UNKNOWN,true,"""C321.11""	""fredrickson type iv lipidaemia""",
"""99456""",UNKNOWN,true,"""C321.12""	""very low density lipoprotinaemia""",
"""18708""",UNKNOWN,true,"""C32..11""	""disorder of cholesterol metabolism""",
"""107252""",UNKNOWN,true,"""C329.00""	""hypercholesterolaemia""",
"""97166""",UNKNOWN,true,"""9Oc0.00""	""attends lipid disorder monitoring""",
"""13657""",UNKNOWN,true,"""8HT1.00""	""referral to lipid clinic""",
"""339""",UNKNOWN,true,"""C320.00""	""pure hypercholesterolaemia""",
"""340""",UNKNOWN,true,"""9N0I.00""	""seen in lipid clinic""",
"""34543""",UNKNOWN,true,"""8H6E.00""	""referral to gp - lipid management""",
"""12111""",UNKNOWN,true,"""8BL1.00""	""patient on maximal tolerated lipid lowering therapy""",
"""43484""",UNKNOWN,true,"""687B.00""	""hyperlipidaemia risk assessment with new zealand table""",
"""33694""",UNKNOWN,true,"""ZC2CJ00""	""dietary advice for hyperlipidaemia""",
"""51023""",UNKNOWN,true,"""8BAG100""	""cholesterol reduction program - attended""",
"""1983""",UNKNOWN,true,"""C325z00""	""lipoprotein deficiency nos""",
"""16290""",UNKNOWN,true,"""C325300""	""a-beta-lipoproteinaemia""",
"""16306""",UNKNOWN,true,"""C325.00""	""lipoprotein deficiencies""",
"""19005""",UNKNOWN,true,"""44c2.00""	""serum apolipoprotein a-i level""",
"""23245""",UNKNOWN,true,"""44d6.00""	""plasma apolipoprotein a-i level""",
"""23246""",UNKNOWN,true,"""44c4.00""	""serum apolipoprotein b level""",
"""27151""",UNKNOWN,true,"""44d9.00""	""plasma lipoprotein a level""",
"""30335""",UNKNOWN,true,"""9N4K.00""	""dna - did not attend cholesterol clinic""",
"""32738""",UNKNOWN,true,"""44c5.00""	""serum apolipoprotein e level""",
"""34146""",UNKNOWN,true,"""C325100""	""hypo-alpha-lipoproteinaemia""",
"""34825""",UNKNOWN,true,"""C320100""	""hyperbetalipoproteinaemia""",
"""47755""",UNKNOWN,true,"""44d8.00""	""plasma apolipoprotein b level""",
"""50999""",UNKNOWN,true,"""44lT.00""	""phospholipid ratio""",
"""55959""",UNKNOWN,true,"""44c3.00""	""serum apolipoprotein a-ii level""",
"""70793""",UNKNOWN,true,"""C325200""	""hypo-beta-lipoproteinaemia""",
"""94227""",UNKNOWN,true,"""4Q3G.00""	""lipoprotein (a) level""",
"""97890""",UNKNOWN,true,"""Cyu8E00""	""[x]other disorders of lipoprotein metabolism""",
"""97989""",UNKNOWN,true,"""C320500""	""familial defective apolipoprotein b-100""",
"""109987""",UNKNOWN,true,"""4Q3G000""	""serum lipoprotein(a) level""",
"""114918""",UNKNOWN,true,"""44lK.00""	""plasma cholesterol/vldl ratio""",
"""13228""",UNKNOWN,true,"""C32..00""	""disorders of lipoid metabolism""",
"""100453""",UNKNOWN,true,"""3878.00""	""assess using si broome diagn criteria familial hypercholest""",
