code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""term""	""group""",
"""418251000006110""",UNKNOWN,true,"""Late paraphrenia""	""other psychosis""",
"""418261000006112""",UNKNOWN,true,"""[X]Paraphrenic schizophrenia""	""schizophrenia""",
"""419861000006117""",UNKNOWN,true,"""Persistent delusional disorder""	""other psychosis""",
"""423041000006119""",UNKNOWN,true,"""[X]Post-schizophrenic depression""	""schizophrenia""",
"""423271000006116""",UNKNOWN,true,"""Prepsychotic schizophrenia""	""other psychosis""",
"""423471000006117""",UNKNOWN,true,"""Prodromal schizophrenia""	""other psychosis""",
"""423731000006114""",UNKNOWN,true,"""[X]Pseudoneurotic schizophrenia""	""other psychosis""",
"""423741000006116""",UNKNOWN,true,"""[X]Pseudopsychopathic schizophrenia""	""other psychosis""",
"""424071000006112""",UNKNOWN,true,"""[X]Psychogenic paranoid psychosis""	""other psychosis""",
"""424231000006116""",UNKNOWN,true,"""Psychotic""	""other psychosis""",
"""424511000006112""",UNKNOWN,true,"""[X]Reactive psychosis""	""other psychosis""",
"""424661000006111""",UNKNOWN,true,"""[X]Recurrent manic episodes""	""bipolar""",
"""424841000006113""",UNKNOWN,true,"""[X]Residual schizophrenia""	""schizophrenia""",
"""424931000006113""",UNKNOWN,true,"""[X]Restzustand schizophrenic""	""schizophrenia""",
"""425501000006113""",UNKNOWN,true,"""Schizoaffective disorder, depressive type""	""other psychosis""",
"""425511000006111""",UNKNOWN,true,"""Schizoaffective disorder, manic type""	""other psychosis""",
"""425521000006115""",UNKNOWN,true,"""Schizoaffective disorder, mixed type""	""other psychosis""",
"""425541000006110""",UNKNOWN,true,"""Schizoaffective disorder""	""other psychosis""",
"""425551000006112""",UNKNOWN,true,"""[X]Schizoaffective psychosis NOS""	""other psychosis""",
"""425561000006114""",UNKNOWN,true,"""[X]Schizoaffective psychosis, depressive type""	""other psychosis""",
"""425571000006119""",UNKNOWN,true,"""[X]Schizoaffective psychosis, manic type""	""other psychosis""",
"""425601000006114""",UNKNOWN,true,"""[X]Schizophrenia""	""schizophrenia""",
"""425641000006111""",UNKNOWN,true,"""[X]Schizophrenic catalepsy""	""schizophrenia""",
"""425651000006113""",UNKNOWN,true,"""[X]Schizophrenic catatonia""	""schizophrenia""",
"""425671000006115""",UNKNOWN,true,"""[X]Schizophrenic reaction""	""other psychosis""",
"""425681000006117""",UNKNOWN,true,"""[X]Schizophreniform disord NOS""	""schizophrenia""",
"""425691000006119""",UNKNOWN,true,"""[X]Schizophreniform psychosis, depressive type""	""other psychosis""",
"""425701000006119""",UNKNOWN,true,"""[X]Schizophreniform psychosis, manic type""	""other psychosis""",
"""425711000006116""",UNKNOWN,true,"""[X]Schizophrenifrm psychos NOS""	""schizophrenia""",
"""425731000006110""",UNKNOWN,true,"""[X]Schizotypal personality disorder""	""other psychosis""",
"""425921000006114""",UNKNOWN,true,"""[X]Sensitiver Beziehungswahn""	""other psychosis""",
"""426881000006111""",UNKNOWN,true,"""[X]Simple schizophrenia""	""schizophrenia""",
"""428451000006119""",UNKNOWN,true,"""Psychotic symptom present""	""other psychosis""",
"""456731000006115""",UNKNOWN,true,"""Acute exacerbation of chronic schizo-affective schizophrenia""	""other psychosis""",
"""456801000006115""",UNKNOWN,true,"""Acute exacerbation subchronic schizo-affective schizophrenia""	""other psychosis""",
"""492761000000114""",UNKNOWN,true,"""Bipolar affective disorder resolved""	""bipolar""",
"""492821000000113""",UNKNOWN,true,"""Schizophrenia resolved""	""schizophrenia""",
"""492881000000114""",UNKNOWN,true,"""Psychosis resolved""	""other psychosis""",
"""513691000006116""",UNKNOWN,true,"""Severe manic bipolar I disorder without psychotic features""	""bipolar""",
"""513701000006116""",UNKNOWN,true,"""Bipolar affect disord, currently manic,severe with psychosis""	""bipolar""",
"""513711000006118""",UNKNOWN,true,"""Depressed bipolar I disorder in partial remission""	""bipolar""",
"""513721000006114""",UNKNOWN,true,"""Bipolar affect disord, now depressed, severe with psychosis""	""bipolar""",
"""513731000006112""",UNKNOWN,true,"""Bipolar affect disord, now depressed, severe, no psychosis""	""bipolar""",
"""513741000006119""",UNKNOWN,true,"""Manic bipolar I disorder in partial remission""	""bipolar""",
"""513751000006117""",UNKNOWN,true,"""Bipolar affective disorder, current episode depression""	""bipolar""",
"""513801000006112""",UNKNOWN,true,"""Bipolar affective disorder, current episode manic""	""bipolar""",
"""513811000006110""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, in full remission""	""bipolar""",
"""513861000006113""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, in full remission""	""bipolar""",
"""513871000006118""",UNKNOWN,true,"""Bipolar disorder""	""bipolar""",
"""523481000006114""",UNKNOWN,true,"""Bouffee delirante""	""other psychosis""",
"""556631000006116""",UNKNOWN,true,"""Chronic schizoaffective schizophrenia""	""other psychosis""",
"""701051000006118""",UNKNOWN,true,"""Mixed bipolar affective disorder, partial/unspec remission""	""bipolar""",
"""701071000006111""",UNKNOWN,true,"""Mixed bipolar affective disorder, severe""	""bipolar""",
"""789221000006116""",UNKNOWN,true,"""Hypomanic psychoses""	""bipolar""",
"""819351000006115""",UNKNOWN,true,"""Hebephrenic schizophrenia""	""schizophrenia""",
"""851691000006114""",UNKNOWN,true,"""Hypomanic""	""bipolar""",
"""851701000006114""",UNKNOWN,true,"""Paranoid""	""other psychosis""",
"""853201000006116""",UNKNOWN,true,"""Obsessional compulsive psychosis""	""other psychosis""",
"""882281000006113""",UNKNOWN,true,"""Schizophrenic psychoses NOS""	""schizophrenia""",
"""882291000006111""",UNKNOWN,true,"""Schizophrenic psychoses""	""schizophrenia""",
"""882301000006112""",UNKNOWN,true,"""Acute schizo affective psychosis""	""other psychosis""",
"""882311000006110""",UNKNOWN,true,"""Manic-depressive psychoses""	""bipolar""",
"""882321000006119""",UNKNOWN,true,"""Mania/hypomania""	""bipolar""",
"""882331000006116""",UNKNOWN,true,"""Paranoia""	""other psychosis""",
"""914461000006118""",UNKNOWN,true,"""[X]Capgras syndrome""	""other psychosis""",
"""914471000006113""",UNKNOWN,true,"""[X]Delusional misidentification syndrome""	""other psychosis""",
"""981141000006111""",UNKNOWN,true,"""Delusions""	""other psychosis""",
"""996171000006114""",UNKNOWN,true,"""Psychosis, schizophrenia and bipolar affective disorder resolved""	""other psychosis""",
"""1667581000000114""",UNKNOWN,true,"""[X]Paranoid state in remission""	""other psychosis""",
"""1667591000000111""",UNKNOWN,true,"""[X]Nonorganic psychosis in remission""	""other psychosis""",
"""1785851000006110""",UNKNOWN,true,"""Bipolar I disorder""	""bipolar""",
"""1785861000006112""",UNKNOWN,true,"""Bipolar II disorder""	""bipolar""",
"""1785871000006117""",UNKNOWN,true,"""[X]Bipolar II disorder""	""bipolar""",
"""1807561000006117""",UNKNOWN,true,"""Psychotic symptom""	""other psychosis""",
"""1821481000006114""",UNKNOWN,true,"""Possible early psychosis""	""other psychosis""",
"""1821491000006112""",UNKNOWN,true,"""Possible psychosis prodrome""	""other psychosis""",
