code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""group""",
"""11973""",UNKNOWN,true,"""[X]Induced psychotic disorder""	""other psychosis""",
"""105606""",UNKNOWN,true,"""[X]Folie a deux""	""other psychosis""",
"""53625""",UNKNOWN,true,"""Simple schizophrenia NOS""	""schizophrenia""",
"""30619""",UNKNOWN,true,"""Hebephrenic schizophrenia""	""schizophrenia""",
"""1494""",UNKNOWN,true,"""Paranoid schizophrenia""	""schizophrenia""",
"""48632""",UNKNOWN,true,"""[X]Mania with mood-incongruent psychotic symptoms""	""bipolar""",
"""854""",UNKNOWN,true,"""Schizophrenic disorders""	""schizophrenia""",
"""46434""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, moderate""	""bipolar""",
"""3636""",UNKNOWN,true,"""Psychotic episode NOS""	""other psychosis""",
"""34389""",UNKNOWN,true,"""[X]Delusional disorder""	""other psychosis""",
"""18909""",UNKNOWN,true,"""Hypomanic psychoses""	""bipolar""",
"""49223""",UNKNOWN,true,"""[X]Persistent delusional disorder, unspecified""	""other psychosis""",
"""16562""",UNKNOWN,true,"""[X]Bipolar affect disorder cur epi mild or moderate depressn""	""bipolar""",
"""17982""",UNKNOWN,true,"""Delusion""	""other psychosis""",
"""38063""",UNKNOWN,true,"""Residual schizophrenia""	""schizophrenia""",
"""4677""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed""	""bipolar""",
"""99199""",UNKNOWN,true,"""Subchronic catatonic schizophrenia""	""schizophrenia""",
"""104760""",UNKNOWN,true,"""Subchronic paranoid schizophrenia""	""schizophrenia""",
"""26227""",UNKNOWN,true,"""Recurrent manic episodes""	""bipolar""",
"""51903""",UNKNOWN,true,"""[X]Schizophreniform psychosis, manic type""	""other psychosis""",
"""115050""",UNKNOWN,true,"""[X]Bouffee delirante with symptoms of schizophrenia""	""other psychosis""",
"""26143""",UNKNOWN,true,"""[X]Cycloid psychosis with symptoms of schizophrenia""	""other psychosis""",
"""33338""",UNKNOWN,true,"""Atypical schizophrenia""	""schizophrenia""",
"""9521""",UNKNOWN,true,"""[X]Bipolar disorder, single manic episode""	""bipolar""",
"""35734""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, mild""	""bipolar""",
"""68326""",UNKNOWN,true,"""Unspecified bipolar affective disorder,severe with psychosis""	""bipolar""",
"""85102""",UNKNOWN,true,"""Bipolar affective disorder resolved""	""bipolar""",
"""55479""",UNKNOWN,true,"""Ideas of reference""	""other psychosis""",
"""65811""",UNKNOWN,true,"""Recurrent manic episodes, severe without mention psychosis""	""bipolar""",
"""6874""",UNKNOWN,true,"""[X]Bipolar affective disorder""	""bipolar""",
"""66766""",UNKNOWN,true,"""Paranoia querulans""	""other psychosis""",
"""8766""",UNKNOWN,true,"""[X]Symptomatic psychosis NOS""	""other psychosis""",
"""91511""",UNKNOWN,true,"""[X]Latent schizophrenic reaction""	""other psychosis""",
"""64993""",UNKNOWN,true,"""[X]Latent schizophrenia""	""other psychosis""",
"""54387""",UNKNOWN,true,"""[X]Borderline schizophrenia""	""other psychosis""",
"""40386""",UNKNOWN,true,"""[X]Prodromal schizophrenia""	""other psychosis""",
"""62449""",UNKNOWN,true,"""[X]Prepsychotic schizophrenia""	""other psychosis""",
"""71250""",UNKNOWN,true,"""[X]Pseudopsychopathic schizophrenia""	""other psychosis""",
"""26859""",UNKNOWN,true,"""[X]Schizotypal personality disorder""	""other psychosis""",
"""50868""",UNKNOWN,true,"""Folie a deux""	""other psychosis""",
"""44513""",UNKNOWN,true,"""[X]Manic episode, unspecified""	""bipolar""",
"""114206""",UNKNOWN,true,"""Acute exacerbation of chronic latent schizophrenia""	""other psychosis""",
"""94299""",UNKNOWN,true,"""Chronic latent schizophrenia""	""other psychosis""",
"""32295""",UNKNOWN,true,"""Recurrent manic episodes, severe, with psychosis""	""bipolar""",
"""113529""",UNKNOWN,true,"""Chronic catatonic schizophrenia""	""schizophrenia""",
"""46415""",UNKNOWN,true,"""Recurrent manic episode NOS""	""bipolar""",
"""63867""",UNKNOWN,true,"""Catatonic schizophrenia NOS""	""schizophrenia""",
"""44498""",UNKNOWN,true,"""Acute exacerbation of chronic schizophrenia""	""schizophrenia""",
"""12771""",UNKNOWN,true,"""Paranoid psychosis NOS""	""other psychosis""",
"""63651""",UNKNOWN,true,"""Mixed bipolar affective disorder, partial/unspec remission""	""bipolar""",
"""36126""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, mild""	""bipolar""",
"""34236""",UNKNOWN,true,"""[X]Schizophrenia""	""schizophrenia""",
"""101987""",UNKNOWN,true,"""[X]Nonorganic psychosis in remission""	""other psychosis""",
"""51302""",UNKNOWN,true,"""[X]Induced delusional disorder""	""other psychosis""",
"""63150""",UNKNOWN,true,"""Mixed bipolar affective disorder, moderate""	""bipolar""",
"""62405""",UNKNOWN,true,"""[X]Delusional misidentification syndrome""	""other psychosis""",
"""17281""",UNKNOWN,true,"""[X]Schizophrenia, schizotypal and delusional disorders""	""other psychosis""",
"""37102""",UNKNOWN,true,"""[X]Mania with mood-congruent psychotic symptoms""	""bipolar""",
"""14971""",UNKNOWN,true,"""Paraphrenia""	""other psychosis""",
"""16808""",UNKNOWN,true,"""[X]Bipolar affective disorder, current episode hypomanic""	""bipolar""",
"""44503""",UNKNOWN,true,"""[X]Other acute and transient psychotic disorders""	""other psychosis""",
"""11244""",UNKNOWN,true,"""[X]Unspecified nonorganic psychosis""	""other psychosis""",
"""2113""",UNKNOWN,true,"""[X]Paranoid psychosis""	""other psychosis""",
"""50326""",UNKNOWN,true,"""[X]Erotomania""	""other psychosis""",
"""33425""",UNKNOWN,true,"""Other affective psychosis NOS""	""other psychosis""",
"""109634""",UNKNOWN,true,"""Sander's disease""	""other psychosis""",
"""70000""",UNKNOWN,true,"""Single manic episode in full remission""	""bipolar""",
"""18053""",UNKNOWN,true,"""[X]Schizophrenifrm psychos NOS""	""schizophrenia""",
"""94001""",UNKNOWN,true,"""[X]Schizophreniform disord NOS""	""schizophrenia""",
"""33383""",UNKNOWN,true,"""Unspecified paranoid schizophrenia""	""schizophrenia""",
"""35877""",UNKNOWN,true,"""[X]Schizophrenic catatonia""	""schizophrenia""",
"""20572""",UNKNOWN,true,"""[X]Catatonic stupor""	""schizophrenia""",
"""61969""",UNKNOWN,true,"""Schizotypal personality""	""other psychosis""",
"""32222""",UNKNOWN,true,"""Simple schizophrenia""	""schizophrenia""",
"""25546""",UNKNOWN,true,"""Catatonic schizophrenia""	""schizophrenia""",
"""48054""",UNKNOWN,true,"""Hebephrenic schizophrenia NOS""	""schizophrenia""",
"""67768""",UNKNOWN,true,"""Hebephrenic schizophrenia in remission""	""schizophrenia""",
"""9281""",UNKNOWN,true,"""Paranoid schizophrenia NOS""	""schizophrenia""",
"""41992""",UNKNOWN,true,"""Other and unspecified affective psychoses""	""other psychosis""",
"""113781""",UNKNOWN,true,"""Chronic hebephrenic schizophrenia""	""schizophrenia""",
"""37296""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, NOS""	""bipolar""",
"""68647""",UNKNOWN,true,"""Unspecified bipolar affective disorder, moderate""	""bipolar""",
"""27890""",UNKNOWN,true,"""Bipolar affective disorder, currently depressed, moderate""	""bipolar""",
"""26161""",UNKNOWN,true,"""Manic psychoses""	""bipolar""",
"""8567""",UNKNOWN,true,"""Bipolar psychoses""	""bipolar""",
"""27986""",UNKNOWN,true,"""Unspecified bipolar affective disorder, NOS""	""bipolar""",
"""43405""",UNKNOWN,true,"""[X]Hebephrenic schizophrenia""	""schizophrenia""",
"""31589""",UNKNOWN,true,"""Other paranoid states""	""other psychosis""",
"""59096""",UNKNOWN,true,"""[X]Brief schizophreniform disorder""	""other psychosis""",
"""22080""",UNKNOWN,true,"""[V]Personal history of manic-depressive psychosis""	""bipolar""",
"""23963""",UNKNOWN,true,"""[V]Personal history of manic-depressive psychosis""	""bipolar""",
"""53840""",UNKNOWN,true,"""[X]Other bipolar affective disorders""	""bipolar""",
"""22117""",UNKNOWN,true,"""Psychogenic stupor""	""other psychosis""",
"""2117""",UNKNOWN,true,"""Schizo-affective schizophrenia""	""other psychosis""",
"""107222""",UNKNOWN,true,"""Acute exacerbation of chronic catatonic schizophrenia""	""schizophrenia""",
"""104065""",UNKNOWN,true,"""[X]Bipolar affective disorder type I""	""bipolar""",
"""63478""",UNKNOWN,true,"""Acute exacerbation of chronic schizo-affective schizophrenia""	""other psychosis""",
"""3984""",UNKNOWN,true,"""Chronic schizophrenic""	""schizophrenia""",
"""109485""",UNKNOWN,true,"""Single manic episode in partial or unspecified remission""	""bipolar""",
"""27770""",UNKNOWN,true,"""[X]Psychogenic paranoid psychosis""	""other psychosis""",
"""58687""",UNKNOWN,true,"""Schizophrenia in remission""	""schizophrenia""",
"""4678""",UNKNOWN,true,"""[X]Mania NOS""	""bipolar""",
"""54195""",UNKNOWN,true,"""Mixed bipolar affective disorder, severe, with psychosis""	""bipolar""",
"""35738""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, unspecified""	""bipolar""",
"""88275""",UNKNOWN,true,"""Schizophrenia resolved""	""schizophrenia""",
"""22643""",UNKNOWN,true,"""Paranoid ideation""	""other psychosis""",
"""93167""",UNKNOWN,true,"""Oneirophrenia""	""other psychosis""",
"""26299""",UNKNOWN,true,"""[X]Bipolar affect disorder cur epi manic wout psychotic symp""	""bipolar""",
"""10575""",UNKNOWN,true,"""Schizo-affective schizophrenia NOS""	""other psychosis""",
"""22644""",UNKNOWN,true,"""Poor insight into psychotic condition""	""other psychosis""",
"""55221""",UNKNOWN,true,"""[X]Capgras syndrome""	""other psychosis""",
"""31493""",UNKNOWN,true,"""[X]Schizophrenic flexibilatis cerea""	""schizophrenia""",
"""57465""",UNKNOWN,true,"""Bipolar affective disorder, now depressed, in full remission""	""bipolar""",
"""56438""",UNKNOWN,true,"""Schizo-affective schizophrenia in remission""	""other psychosis""",
"""37580""",UNKNOWN,true,"""[X]Mixed schizophrenic and affective psychosis""	""other psychosis""",
"""37178""",UNKNOWN,true,"""Recurrent manic episodes, in full remission""	""bipolar""",
"""19345""",UNKNOWN,true,"""Psychosis, schizophrenia + bipolar affective disord resolved""	""other psychosis""",
"""97919""",UNKNOWN,true,"""Acute exacerbation of chronic hebephrenic schizophrenia""	""schizophrenia""",
"""3890""",UNKNOWN,true,"""Chronic paranoid psychosis""	""other psychosis""",
"""39062""",UNKNOWN,true,"""Other schizophrenia""	""schizophrenia""",
"""29451""",UNKNOWN,true,"""[X]Manic-depress psychosis,depressd,no psychotic symptoms""	""bipolar""",
"""63698""",UNKNOWN,true,"""Unspecified bipolar affective disorder, mild""	""bipolar""",
"""73423""",UNKNOWN,true,"""Unspecified bipolar affective disorder, severe, no psychosis""	""bipolar""",
"""35607""",UNKNOWN,true,"""Bipolar affect disord, now depressed, severe, no psychosis""	""bipolar""",
"""34966""",UNKNOWN,true,"""[X]Schizophrenia, unspecified""	""schizophrenia""",
"""23616""",UNKNOWN,true,"""Subchronic schizophrenia""	""schizophrenia""",
"""61501""",UNKNOWN,true,"""[X]Catatonic schizophrenia""	""schizophrenia""",
"""31455""",UNKNOWN,true,"""Other paranoid states NOS""	""other psychosis""",
"""66077""",UNKNOWN,true,"""[X]Other persistent delusional disorders""	""other psychosis""",
"""13024""",UNKNOWN,true,"""[X]Mania without psychotic symptoms""	""bipolar""",
"""73295""",UNKNOWN,true,"""Schizophrenia simplex""	""schizophrenia""",
"""103915""",UNKNOWN,true,"""[X]Bipolar affective disorder type II""	""bipolar""",
"""23538""",UNKNOWN,true,"""Brief reactive psychosis""	""other psychosis""",
"""53985""",UNKNOWN,true,"""[X]Disorganised schizophrenia""	""schizophrenia""",
"""102427""",UNKNOWN,true,"""Catatonic schizophrenia in remission""	""schizophrenia""",
"""11596""",UNKNOWN,true,"""Unspecified manic-depressive psychoses""	""bipolar""",
"""43093""",UNKNOWN,true,"""Single manic episode, severe without mention of psychosis""	""bipolar""",
"""50218""",UNKNOWN,true,"""Single manic episode, severe, with psychosis""	""bipolar""",
"""35274""",UNKNOWN,true,"""[X]Schizoaffective psychosis, depressive type""	""other psychosis""",
"""68058""",UNKNOWN,true,"""Bouffee delirante""	""other psychosis""",
"""51032""",UNKNOWN,true,"""[X]Recurrent manic episodes""	""bipolar""",
"""73924""",UNKNOWN,true,"""[X]Bipolar II disorder""	""bipolar""",
"""31316""",UNKNOWN,true,"""Mixed bipolar affective disorder""	""bipolar""",
"""63784""",UNKNOWN,true,"""Bipolar affective disorder, currently manic, full remission""	""bipolar""",
"""49763""",UNKNOWN,true,"""Unspecified bipolar affective disorder, unspecified""	""bipolar""",
"""14743""",UNKNOWN,true,"""Simple paranoid state""	""other psychosis""",
"""12777""",UNKNOWN,true,"""H/O: psychosis""	""other psychosis""",
"""43462""",UNKNOWN,true,"""Delusion of persecution""	""other psychosis""",
"""28562""",UNKNOWN,true,"""[X]Persistent delusional disorders""	""other psychosis""",
"""16333""",UNKNOWN,true,"""Other reactive psychoses""	""other psychosis""",
"""63583""",UNKNOWN,true,"""Mixed bipolar affective disorder, NOS""	""bipolar""",
"""33693""",UNKNOWN,true,"""[X]Schizoaffective disorder, mixed type""	""other psychosis""",
"""44307""",UNKNOWN,true,"""[X]Other acute predominantly delusional psychotic disorders""	""other psychosis""",
"""44693""",UNKNOWN,true,"""[X]Bipolar affective disorder, current episode mixed""	""bipolar""",
"""58866""",UNKNOWN,true,"""Acute exacerbation subchronic schizo-affective schizophrenia""	""other psychosis""",
"""63701""",UNKNOWN,true,"""Bipolar affect disord, now depressed, severe with psychosis""	""bipolar""",
"""102311""",UNKNOWN,true,"""Unspecified latent schizophrenia""	""other psychosis""",
"""64533""",UNKNOWN,true,"""[X]Schizophrenic catalepsy""	""schizophrenia""",
"""36172""",UNKNOWN,true,"""Paranoid schizophrenia in remission""	""schizophrenia""",
"""576""",UNKNOWN,true,"""Acute schizophrenic episode""	""schizophrenia""",
"""3702""",UNKNOWN,true,"""Bipolar affective disorder, currently manic""	""bipolar""",
"""41989""",UNKNOWN,true,"""[X]Single episode agitated depressn w'out psychotic symptoms""	""other psychosis""",
"""72026""",UNKNOWN,true,"""Bipolar affect disord, now depressed, part/unspec remission""	""bipolar""",
"""14656""",UNKNOWN,true,"""Affective psychoses""	""other psychosis""",
"""24107""",UNKNOWN,true,"""[X]Chronic undifferentiated schizophrenia""	""schizophrenia""",
"""63284""",UNKNOWN,true,"""Mixed bipolar affective disorder, severe, without psychosis""	""bipolar""",
"""20785""",UNKNOWN,true,"""[X]Post-schizophrenic depression""	""schizophrenia""",
"""99000""",UNKNOWN,true,"""Cyclic schizophrenia""	""schizophrenia""",
"""60013""",UNKNOWN,true,"""[X]Undifferentiated schizophrenia""	""schizophrenia""",
"""33469""",UNKNOWN,true,"""[x]recurr depress disorder cur epi severe without psyc sympt""	""depression""",
"""7011""",UNKNOWN,true,"""single major depressive episode nos""	""depression""",
"""15220""",UNKNOWN,true,"""[x]persistant anxiety depression""	""depression""",
"""8584""",UNKNOWN,true,"""[x]depressive neurosis""	""depression""",
"""7737""",UNKNOWN,true,"""[x]neurotic depression""	""depression""",
"""42931""",UNKNOWN,true,"""on depression register""	""depression""",
"""34390""",UNKNOWN,true,"""single major depressive episode, unspecified""	""depression""",
"""1131""",UNKNOWN,true,"""neurotic depression reactive type""	""depression""",
"""2716""",UNKNOWN,true,"""h/o: depression""	""depression""",
"""100977""",UNKNOWN,true,"""suspected depression""	""depression""",
"""98414""",UNKNOWN,true,"""[x]major depression, severe without psychotic symptoms""	""depression""",
"""2560""",UNKNOWN,true,"""depressive psychoses""	""depression""",
"""32841""",UNKNOWN,true,"""referral for guided self-help for depression""	""depression""",
"""96995""",UNKNOWN,true,"""on full dose long term treatment depression - enh serv admin""	""depression""",
"""28008""",UNKNOWN,true,"""[x]other mood affective disorders""	""depression""",
"""24171""",UNKNOWN,true,"""recurrent major depressive episodes, severe, with psychosis""	""depression""",
"""112682""",UNKNOWN,true,"""referral for guided self-help for depression declined""	""depression""",
"""22116""",UNKNOWN,true,"""[x]recurrent depressive disorder, currently in remission""	""depression""",
"""47009""",UNKNOWN,true,"""[x]recurrent depress disorder cur epi severe with psyc symp""	""depression""",
"""324""",UNKNOWN,true,"""depressive disorder nec""	""depression""",
"""44300""",UNKNOWN,true,"""[x]recurrent depressive disorder, unspecified""	""depression""",
"""27491""",UNKNOWN,true,"""atypical depressive disorder""	""depression""",
"""1996""",UNKNOWN,true,"""depressed""	""depression""",
"""30483""",UNKNOWN,true,"""patient given advice about management of depression""	""depression""",
"""15219""",UNKNOWN,true,"""single major depressive episode, severe, without psychosis""	""depression""",
"""30405""",UNKNOWN,true,"""depression interim review""	""depression""",
"""51258""",UNKNOWN,true,"""depression monitoring administration""	""depression""",
"""543""",UNKNOWN,true,"""[x]depression nos""	""depression""",
"""98252""",UNKNOWN,true,"""[x]major depression, moderately severe""	""depression""",
