code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""anticoagulants""",
"""59761""",UNKNOWN,true,"0	""Heparin sodium 1,000units/1ml solution for injection ampoules (C P Pharmaceuticals Ltd)""	""Heparin""	""1000unit/1ml""	""Solution for injection""	""Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
"""31541""",UNKNOWN,true,"4	""Heparin calcium 12,500units/0.5ml solution for injection pre-filled syringes""	""Heparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Unknown""	""Heparin""",
"""61949""",UNKNOWN,true,"101	""Fondaparinux sodium 10mg/0.8ml solution for injection pre-filled syringes""	""Fondaparinux""	""12.5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Fondaparinux""",
"""32575""",UNKNOWN,true,"1	""Bemiparin sodium 7,500units/0.3ml solution for injection pre-filled syringes""	""Bemiparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Unknown""	""Bemiparin""",
"""83490""",UNKNOWN,true,"0	""Warfarin 3mg tablets (Zentiva Pharma UK Ltd)""	""Warfarin""	""3mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""14308""",UNKNOWN,true,"12926	""Tinzaparin sodium 18,000units/0.9ml solution for injection pre-filled syringes""	""Tinzaparin""	""20000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Tinzaparin""",
"""58519""",UNKNOWN,true,"0	""Warfarin 1mg tablets (DE Pharmaceuticals)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""83342""",UNKNOWN,true,"0	""Warfarin 5mg tablets (Crescent Pharma Ltd)""	""Warfarin""	""5mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""59400""",UNKNOWN,true,"28	""Warfarin 500microgram tablets (Sigma Pharmaceuticals Plc)""	""Warfarin""	""500microgram""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""79892""",UNKNOWN,true,"0	""Dalteparin sodium 18,000units/0.72ml solution for injection pre-filled syringes (J M McGill Ltd)""	""Dalteparin""	""25000unit/1ml""	""Solution for injection""	""Subcutaneous""	""Parenteral Anticoagulants""	""Dalteparin""",
"""14794""",UNKNOWN,true,"76	""Monoparin 1000iu/ml Injection (C P Pharmaceuticals Ltd)""	""Heparin""	""1000iu/ml""	""Injection""	""Intravenous Injection""	""Parenteral Anticoagulants""	""Heparin""",
"""10936""",UNKNOWN,true,"331	""HEPARIN SODIUM B.P. 5000 I/U INJ""	""Heparin""	NA	""Solution for injection""	""Intramuscular""	""Unknown""	""Heparin""",
"""87596""",UNKNOWN,true,"46	""Heparin sodium 50units/5ml I.V. flush solution ampoules (Kent Pharma (UK) Ltd)""	""Heparin""	""10unit/1ml""	""Not applicable""	""Route of administration not applicable""	""Catheter Maintenance Solutions""	""Heparin""",
"""38044""",UNKNOWN,true,"180	""Warfarin 5mg/5ml oral solution""	""Warfarin""	""1mg/1ml""	""Oral solution""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""10532""",UNKNOWN,true,"418	""Minihep calcium 5000iu/0.2ml Injection (LEO Pharma)""	""Heparin""	""5000iu/0.2ml""	""Injection""	""Intramuscular""	""Parenteral Anticoagulants""	""Heparin""",
"""65496""",UNKNOWN,true,"0	""Warfarin 500microgram tablets (Phoenix Healthcare Distribution Ltd)""	""Warfarin""	""500microgram""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""26146""",UNKNOWN,true,"1	""Heparin low molecular weight 10,000 iu/ml Sterile solution""	""Dalteparin/Heparin""	""10,000 iu/ml""	""Sterile Solution""	NA	""Parenteral Anticoagulants""	""Dalteparin/Heparin""",
"""71303""",UNKNOWN,true,"107	""Rivaroxaban 15mg tablets and Rivaroxaban 20mg tablets""	""Rivaroxaban""	NA	""Not applicable""	""Route of administration not applicable""	""Novel Oral Anticoagulants (Noacs)""	""Rivaroxaban""",
"""32511""",UNKNOWN,true,"6	""Tinzaparin 5000 i.u./5ml Sterile solution""	""Tinzaparin""	""5000 i.u./5ml""	""Sterile Solution""	NA	""Parenteral Anticoagulants""	""Tinzaparin""",
"""65462""",UNKNOWN,true,"7	""Heparin sodium 50units/5ml I.V. flush solution ampoules (LEO Pharma)""	""Heparin""	""10unit/1ml""	""Not applicable""	""Route of administration not applicable""	""Catheter Maintenance Solutions""	""Heparin""",
"""36196""",UNKNOWN,true,"194	""Heparin sodium 1,000units/1ml solution for injection ampoules""	""Heparin""	""1000unit/1ml""	""Solution for injection""	""Intravenous""	""Parenteral Anticoagulants""	""Heparin""",
"""10469""",UNKNOWN,true,"981	""Canusal 200units/2ml patency solution ampoules (Wockhardt UK Ltd)""	""Heparin""	""100unit/1ml""	""Not applicable""	""Route of administration not applicable""	""Catheter Maintenance Solutions""	""Heparin""",
"""48869""",UNKNOWN,true,"5333	""Warfarin 1mg/ml oral suspension sugar free""	""Warfarin""	""1mg/1ml""	""Oral suspension""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""73642""",UNKNOWN,true,"0	""Warfarin 1mg tablets (Zentiva Pharma UK Ltd)""	""Warfarin""	""1mg""	""Oral tablet""	""Oral""	""Oral Anticoagulants""	""Warfarin""",
"""87607""",UNKNOWN,true,"0	""Apixaban 5mg tablets (Teva UK Ltd)""	""Apixaban""	""5mg""	""Oral tablet""	""Oral""	""Novel Oral Anticoagulants (Noacs)""	""Apixaban""",
