code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Psychotropic""	""group""",
"""82510""",UNKNOWN,true,"""Zispin SolTab 30mg orodispersible tablets (Waymade Healthcare Plc)""	""Orodispersible tablet""	""Oral""	""Mirtazapine""	""30mg""	""Other Antidepressants""	""Mirtazapine""	""Antidepressants""",
"""25396""",UNKNOWN,true,"""LITHIUM CHLORIDE 400 MG SOL""	NA	NA	""Lithium""	NA	""Unknown""	""Lithium""	""Mood Stabilisers""",
"""89463""",UNKNOWN,true,"""Risperidone 500microgram tablets (Consilient Health Ltd)""	""Oral tablet""	""Oral""	""Risperidone""	""500microgram""	""Second-Generation Antipsychotic Drugs""	""Risperidone""	""Antipsychotics""",
"""24494""",UNKNOWN,true,"""Haldol 10mg/ml Liquid (Janssen-Cilag Ltd)""	""Liquid""	""Oral""	""Haloperidol""	""10mg/ml""	""Antipsychotic Products/-""	""Haloperidol""	""Antipsychotics""",
"""86970""",UNKNOWN,true,"""Aripiprazole 10mg orodispersible tablets sugar free (Accord-UK Ltd)""	""Orodispersible tablet""	""Oral""	""Aripiprazole""	""10mg""	""Second-Generation Antipsychotic Drugs""	""Aripiprazole""	""Antipsychotics""",
"""65938""",UNKNOWN,true,"""Quetiapine 25mg tablets (Sun Pharma UK Ltd)""	""Oral tablet""	""Oral""	""Quetiapine""	""25mg""	""Second-Generation Antipsychotic Drugs""	""Quetiapine""	""Antipsychotics""",
"""83468""",UNKNOWN,true,"""Clomipramine 10mg capsules (Almus Pharmaceuticals Ltd)""	""Oral capsule""	""Oral""	""Clomipramine""	""10mg""	""Unknown""	""Clomipramine""	""Antidepressants""",
"""62924""",UNKNOWN,true,"""Lurasidone 18.5mg tablets""	""Oral tablet""	""Oral""	""Lurasidone""	""18.5mg""	""Second-Generation Antipsychotic Drugs""	""Lurasidone""	""Antipsychotics""",
"""19283""",UNKNOWN,true,"""Depixol 20mg/1ml solution for injection ampoules (Lundbeck Ltd)""	""Solution for injection""	""Intramuscular""	""Flupentixol""	""20mg/1ml""	""Antipsychotic Depot Injections""	""Flupentixol""	""Antipsychotics""",
"""61835""",UNKNOWN,true,"""Amitriptyline 10mg tablets (DE Pharmaceuticals)""	""Oral tablet""	""Oral""	""Amitriptyline""	""10mg""	""Tricyclic And Related Antidepressants/Neuropathic Pain/Prophylaxis Of Migraine""	""Amitriptyline""	""Antidepressants""",
"""33493""",UNKNOWN,true,"""Sparine 100mg Tablet (Wyeth Pharmaceuticals)""	""Tablet""	""Oral""	""Promazine""	""100mg""	""Antipsychotic Products""	""Promazine""	""Antipsychotics""",
"""73980""",UNKNOWN,true,"""Abilify 5mg tablets (Lexon (UK) Ltd)""	""Oral tablet""	""Oral""	""Aripiprazole""	""5mg""	""Second-Generation Antipsychotic Drugs""	""Aripiprazole""	""Antipsychotics""",
"""75702""",UNKNOWN,true,"""Citalopram 40mg tablets (Kent Pharma (UK) Ltd)""	""Oral tablet""	""Oral""	""Citalopram""	""40mg""	""Selective Serotonin Re-Uptake Inhibitors (SSRI)""	""Citalopram""	""Antidepressants""",
"""79794""",UNKNOWN,true,"""HealthAid 5-HTP HydroxyTryptoPhan 50mg tablets (HealthAid Ltd)""	""Modified-release tablet""	""Oral""	""Oxitriptan""	""50mg""	""Nutritional Supplements""	""Oxitriptan""	""Antidepressants""",
"""19002""",UNKNOWN,true,"""Largactil 100mg Suppository (Rhone-Poulenc Rorer Ltd)""	""Suppository""	""Rectal""	""Chlorpromazine""	""100mg""	""Antipsychotic Products/-""	""Chlorpromazine""	""Antipsychotics""",
