code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Metformin""",
"""62605""",UNKNOWN,true,"0	""Metformin 850mg tablets (Kent Pharma (UK) Ltd)""	""Metformin""	""850mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""52442""",UNKNOWN,true,"0	""Metformin 500mg tablets (Pfizer Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""78392""",UNKNOWN,true,"0	""Metformin 850mg tablets (Zentiva Pharma UK Ltd)""	""Metformin""	""850mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""82890""",UNKNOWN,true,"0	""Metformin 850mg tablets (Milpharm Ltd)""	""Metformin""	""850mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""63307""",UNKNOWN,true,"11	""Metformin 1g/5ml oral solution""	""Metformin""	""200mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""73285""",UNKNOWN,true,"0	""Metformin 500mg tablets (Waymade Healthcare Plc)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""34135""",UNKNOWN,true,"1	""Metformin 500mg Tablet (M & A Pharmachem Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""50970""",UNKNOWN,true,"0	""Metformin 500mg tablets (Bristol Laboratories Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""65059""",UNKNOWN,true,"173	""Xigduo 5mg/850mg tablets (AstraZeneca UK Ltd)""	""Metformin""	""850mg + 5mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""27501""",UNKNOWN,true,"8	""Orabet 500mg Tablet (Lagap)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""72695""",UNKNOWN,true,"103	""Metformin 500mg Tablet (Celltech Pharma Europe Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""54442""",UNKNOWN,true,"0	""Metformin (roi) 1000mg Tablet""	""Metformin""	""1000mg""	""Tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""60643""",UNKNOWN,true,"1308	""Xigduo 5mg/1000mg tablets (AstraZeneca UK Ltd)""	""Metformin""	""1gram + 5mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""73254""",UNKNOWN,true,"45528	""Yaltormin SR 1000mg tablets (Wockhardt UK Ltd)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""87341""",UNKNOWN,true,"0	""Metformin 1g/5ml oral solution sugar free (Colonis Pharma Ltd)""	""Metformin""	""200mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""66136""",UNKNOWN,true,"17	""Glucophage SR 1000mg tablets (Waymade Healthcare Plc)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""34504""",UNKNOWN,true,"237	""Metformin 500mg tablets (Wockhardt UK Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""60497""",UNKNOWN,true,"13984	""Alogliptin 12.5mg / Metformin 1g tablets""	""Metformin""	""1gram + 12.5mg""	""Oral tablet""	""Oral""	""Gliptins Plus Metformin""	""Metformin""",
"""88758""",UNKNOWN,true,"0	""Metformin 500mg tablets (Ipca Laboratories UK Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""89656""",UNKNOWN,true,"0	""Metformin 500mg modified-release tablets (Brown & Burk UK Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""16044""",UNKNOWN,true,"523659	""Glucophage SR 500mg tablets (Merck Serono Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""81428""",UNKNOWN,true,"1492	""Sukkarto SR 750mg tablets (Morningside Healthcare Ltd)""	""Metformin""	""750mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""78537""",UNKNOWN,true,"12	""Metformin 850mg/5ml oral suspension""	""Metformin""	""170mg/1ml""	""Oral suspension""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""18220""",UNKNOWN,true,"111287	""Pioglitazone 15mg / Metformin 850mg tablets""	""Metformin""	""850mg + 15mg""	""Oral tablet""	""Oral""	""Glitazones Plus Metformin""	""Metformin""",
"""65057""",UNKNOWN,true,"10618	""Empagliflozin 5mg / Metformin 1g tablets""	""Metformin""	""1gram + 5mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""83088""",UNKNOWN,true,"23	""Glucorex SR 500mg tablets (GlucoRx Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""64743""",UNKNOWN,true,"389	""Canagliflozin 50mg / Metformin 850mg tablets""	""Metformin""	""850mg + 50mg""	""Oral tablet""	""Oral""	""Gliflozins Plus Metformin""	""Metformin""",
"""73460""",UNKNOWN,true,"30	""Metformin 500mg/5ml oral solution sugar free (Accord-UK Ltd)""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Unknown""	""Metformin""",
"""33674""",UNKNOWN,true,"232	""Metformin 850mg tablets (A A H Pharmaceuticals Ltd)""	""Metformin""	""850mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""31077""",UNKNOWN,true,"31154	""Competact 15mg/850mg tablets (Neon Healthcare Ltd)""	""Metformin""	""850mg + 15mg""	""Oral tablet""	""Oral""	""Glitazones Plus Metformin""	""Metformin""",
"""64939""",UNKNOWN,true,"91	""Glucient SR 1000mg tablets (Consilient Health Ltd)""	""Metformin""	""1gram""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""75700""",UNKNOWN,true,"0	""Metformin 500mg/5ml oral solution sugar free (Waymade Healthcare Plc)""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""55270""",UNKNOWN,true,"1	""Duformin 500mg Tablet (Dumex Ltd)""	""Metformin""	""500mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""60286""",UNKNOWN,true,"145	""Metformin 500mg/5ml oral suspension""	""Metformin""	""100mg/1ml""	""Oral suspension""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""11990""",UNKNOWN,true,"65664	""Metformin 500mg/5ml oral solution sugar free""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""82855""",UNKNOWN,true,"3	""Metformin 500mg modified-release tablets (Medihealth (Northern) Ltd)""	""Metformin""	""500mg""	""Modified-release tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""34836""",UNKNOWN,true,"835	""Metformin 850mg tablets (Actavis UK Ltd)""	""Metformin""	""850mg""	""Oral tablet""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
"""11610""",UNKNOWN,true,"5642	""Metformin with rosiglitazone 500mg + 2mg Tablet""	""Metformin""	""500mg + 2mg""	""Tablet""	""Oral""	""Biguanides (Metformin)/Other Antidiabetic Products""	""Metformin""",
"""43270""",UNKNOWN,true,"157	""Metformin 500mg/5ml oral solution sugar free (Rosemont Pharmaceuticals Ltd)""	""Metformin""	""100mg/1ml""	""Oral solution""	""Oral""	""Biguanides (Metformin)""	""Metformin""",
