code,code_system,include,term,notes
"""medcodeid""",UNKNOWN,true,"""Observations""	""OriginalReadCode""	""CleansedReadCode""	""term""	""SnomedCTConceptId""	""SnomedCTDescriptionId""	""EmisCodeCategoryId""",
"""905621000006113""",UNKNOWN,true,"5381	""HNG0036""	NA	""[rfc] reason for care : diabetes""	""905621000006109""	""905621000006113""	12",
"""908831000006118""",UNKNOWN,true,"229072	""HNG0605""	NA	""[rfc] reason for care : diabetes mellitus""	""908831000006102""	""908831000006118""	12",
"""914061000006110""",UNKNOWN,true,"15	""C10F1-1""	""C10F111""	""type ii diabetes mellitus with ophthalmic complications""	""422099009""	""3698440016""	32",
"""914081000006117""",UNKNOWN,true,"14	""C10F2-1""	""C10F211""	""type ii diabetes mellitus with neurological complications""	""421326000""	""3695406015""	32",
"""914221000006113""",UNKNOWN,true,"328	""C10FA""	""C10FA00""	""type 2 diabetes mellitus with mononeuropathy""	""420436000""	""2618201018""	32",
"""914231000006111""",UNKNOWN,true,"39	""C10FA-1""	""C10FA11""	""type ii diabetes mellitus with mononeuropathy""	""420436000""	""3697667019""	32",
"""914261000006119""",UNKNOWN,true,"7723	""C10FC""	""C10FC00""	""diabetes type 2 with nephropathy""	""420279001""	""3035432019""	32",
"""914271000006114""",UNKNOWN,true,"97	""C10FC-1""	""C10FC11""	""type ii diabetes mellitus with nephropathy""	""420279001""	""3013392012""	32",
"""914391000006116""",UNKNOWN,true,"836496	""C10FJ""	""C10FJ00""	""insulin treated type 2 diabetes mellitus""	""237599002""	""2967820013""	32",
"""928551000006115""",UNKNOWN,true,"669	""C10FL-1""	""C10FL11""	""type ii diabetes mellitus with persistent proteinuria""	""421986006""	""2967751013""	32",
"""928571000006113""",UNKNOWN,true,"2643	""C10FM-1""	""C10FM11""	""type ii diabetes mellitus with persistent microalbuminuria""	""420715001""	""2967769016""	32",
"""928591000006114""",UNKNOWN,true,"94	""C10FN-1""	""C10FN11""	""type ii diabetes mellitus with ketoacidosis""	""421750000""	""2967754017""	32",
"""932641000006116""",UNKNOWN,true,"27	""C103y-99""	""C103y99""	""diabetes with coma""	""630521000000101""	""932641000006116""	32",
"""1177721000000112""",UNKNOWN,true,"10249	""66As""	""66As.00""	""diabetic on subcutaneous treatment""	""527691000000107""	""1177721000000112""	1",
"""1667921000000117""",UNKNOWN,true,"470	""C10FR-1""	""C10FR11""	""type ii diabetes mellitus with gastroparesis""	""713703005""	""3698412014""	32",
"""1694761000006113""",UNKNOWN,true,"25151	""EMISNQNE23""	NA	""newly diagnosed diabetes""	""405749004""	""2157525015""	1",
"""1780981000006115""",UNKNOWN,true,"489	""EMISNQDI70""	NA	""diabetic on non-insulin injectable""	""1780981000006104""	""1780981000006115""	1",
"""1823921000006119""",UNKNOWN,true,"942	""EMISNQDI96""	NA	""diabetes mellitus confirmed""	""1823921000006103""	""1823921000006119""	27",
"""1954041000006119""",UNKNOWN,true,"3	""EMISNQDI204""	NA	""diabetic - uses carbohydrate counting""	""1954041000006103""	""1954041000006119""	1",
"""1966311000006116""",UNKNOWN,true,"44984	""66o5""	""66o5.00""	""diabetic on oral treatment and glucagon-like peptide 1 receptor agonist""	""976341000000101""	""2483721000000113""	1",
"""1966321000006112""",UNKNOWN,true,"13832	""66o6""	""66o6.00""	""diabetic on insulin and glucagon-like peptide 1 receptor agonist""	""976361000000100""	""2483761000000117""	1",
"""2460251000000115""",UNKNOWN,true,"29133	""66o2""	""66o2.00""	""diabetic on non-insulin injectable medication""	""719566006""	""3316952014""	1",
"""2683591000006110""",UNKNOWN,true,"10	""^ESCTUN268359""	NA	""unstable diabetes mellitus""	""11530004""	""2871747019""	27",
"""3209441000006114""",UNKNOWN,true,"840	""^ESCTDI320944""	NA	""diabetes mellitus type 2""	""44054006""	""197763012""	32",
"""3690681000006114""",UNKNOWN,true,"6	""^ESCTDM369068""	NA	""dm - diabetes mellitus""	""73211009""	""502372015""	32",
"""3825721000006111""",UNKNOWN,true,"1	""^ESCTTY382572""	NA	""type 2 diabetes mellitus in obese""	""81531005""	""2967826019""	31",
