code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Antidiabetic""	""group""",
"""12840""",UNKNOWN,true,"""B-d u-100 0.5ml Insulin syringe (Becton, Dickinson UK Ltd)""	""Insulin Syringe""	NA	""Insulin""	""0.5ml""	""Diabetic Hypodermic Equipment""	""Insulin""	""Insulin""",
"""68745""",UNKNOWN,true,"""Neon Verifine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Neon Diagnostics Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""71351""",UNKNOWN,true,"""Lantus 100units/ml solution for injection 3ml cartridges (Waymade Healthcare Plc)""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""16142""",UNKNOWN,true,"""Insulin aspart 100units/ml solution for injection 3ml cartridges""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Short-Acting Insulins""	""Insulin""	""Insulin""",
"""56691""",UNKNOWN,true,"""Insulin degludec 200units/ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Insulin""	""200unit/1ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""44250""",UNKNOWN,true,"""Metformin 500mg/5ml Oral solution (Hillcross Pharmaceuticals Ltd)""	""Oral solution""	""Oral""	""Metformin""	""100mg/1ml""	""Biguanides (Metformin)""	""Metformin""	""Metformin""",
"""70432""",UNKNOWN,true,"""Bilxona 30mg modified-release tablets (Accord-UK Ltd)""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""31267""",UNKNOWN,true,"""INSULIN PUR-IN MIX 50/50 100 I/U INJ""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Unknown""	""Insulin""	""Insulin""",
"""24845""",UNKNOWN,true,"""INSULIN PUR-IN ISOPHANE 100 I/U INJ""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Unknown""	""Insulin""	""Insulin""",
"""82322""",UNKNOWN,true,"""Gliclazide 30mg modified-release tablets (Actavis UK Ltd)""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""14504""",UNKNOWN,true,"""INSULIN HYPURIN PROTAMINE ZINC 100 I/U INJ""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Unknown""	""Insulin""	""Insulin""",
"""82124""",UNKNOWN,true,"""Lyumjev 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)""	""Solution for injection""	""Intravenous/Intramuscular/Subcutaneous""	""Insulin""	""100unit/1ml""	""Short-Acting Insulins""	""Insulin""	""Insulin""",
"""84885""",UNKNOWN,true,"""Gliclazide 80mg tablets (Phoenix Healthcare Distribution Ltd)""	""Oral tablet""	""Oral""	""Gliclazide""	""80mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""68415""",UNKNOWN,true,"""Gliclazide 30mg modified-release tablets (Phoenix Healthcare Distribution Ltd)""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""44473""",UNKNOWN,true,"""Edicil MR 30mg tablets (Teva UK Ltd)""	""Modified-release tablet""	""Oral""	""Gliclazide""	""30mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""1847""",UNKNOWN,true,"""Chlorpropamide 250mg tablets""	""Oral tablet""	""Oral""	""Chlorpropamide""	""250mg""	""Sulphonylureas""	""Chlorpropamide""	""Sulfonylureas""",
"""80087""",UNKNOWN,true,"""Empagliflozin 25mg / Linagliptin 5mg tablets""	""Oral tablet""	""Oral""	""Linagliptin/Empagliflozin""	""25mg + 5mg""	""Gliflozins Plus Gliptins""	""Linagliptin/Empagliflozin""	""DPP-4is, SGLT-2is""",
"""11271""",UNKNOWN,true,"""B-d u-100 1ml Insulin syringe (Becton, Dickinson UK Ltd)""	""Insulin Syringe""	NA	""Insulin""	""1ml""	""Diabetic Hypodermic Equipment""	""Insulin""	""Insulin""",
"""76991""",UNKNOWN,true,"""Humalog 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc)""	""Solution for injection""	""Intravenous/Intramuscular/Subcutaneous""	""Insulin""	""100unit/1ml""	""Short-Acting Insulins""	""Insulin""	""Insulin""",
"""60074""",UNKNOWN,true,"""Metformin 1g modified-release tablets (Waymade Healthcare Plc)""	""Modified-release tablet""	""Oral""	""Metformin""	""1gram""	""Biguanides (Metformin)""	""Metformin""	""Metformin""",
"""49172""",UNKNOWN,true,"""NovoPen Echo hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 0.5-30 units Red (Novo Nordisk Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Reusable Pens""	""Insulin""	""Insulin""",
"""67324""",UNKNOWN,true,"""Humulin M3 100units/ml suspension for injection 3ml cartridges (Waymade Healthcare Plc)""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""30unit/1ml + 70unit/1ml""	""Biphasic Insulins""	""Insulin""	""Insulin""",
"""72539""",UNKNOWN,true,"""Sitagliptin 50mg/5ml oral solution""	""Oral solution""	""Oral""	""Sitagliptin""	""10mg/1ml""	""Dipeptidyl Peptidase 4 Inhibitors (DPP 4 Inhibitors, Gliptins)""	""Sitagliptin""	""DPP-4is""",
"""46469""",UNKNOWN,true,"""Bydureon 2mg powder and solvent for prolonged-release suspension for injection vials (AstraZeneca UK Ltd)""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Exenatide""	""2mg""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""	""GLP-1RAs""",
"""32""",UNKNOWN,true,"""Gliclazide 80mg tablets""	""Oral tablet""	""Oral""	""Gliclazide""	""80mg""	""Sulphonylureas""	""Gliclazide""	""Sulfonylureas""",
"""14619""",UNKNOWN,true,"""Insulin isophane biphasic porcine 30/70 100units/ml suspension for injection 1.5ml cartridges""	""Suspension for injection""	""Intramuscular/Subcutaneous""	""Insulin""	""30unit/1ml + 70unit/1ml""	""Unknown""	""Insulin""	""Insulin""",
"""53251""",UNKNOWN,true,"""NovoRapid Penfill 100units/ml solution for injection 3ml cartridges (DE Pharmaceuticals)""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Short-Acting Insulins""	""Insulin""	""Insulin""",
"""70900""",UNKNOWN,true,"""Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/32.5gauge""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""80784""",UNKNOWN,true,"""Invokana 100mg tablets (Pharmaram Ltd)""	""Oral tablet""	""Oral""	""Canagliflozin""	""100mg""	""SGLT2 Inhibitors (Gliflozins)""	""Canagliflozin""	""SGLT-2is""",
"""91847""",UNKNOWN,true,"""t:slim t:lock 300units insulin cartridge D2011000 (Air Liquide Healthcare Ltd)""	NA	NA	""Insulin""	NA	""Insulin Pump""	""Insulin""	""Insulin""",
"""65421""",UNKNOWN,true,"""TriCare hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (Owen Mumford Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""56983""",UNKNOWN,true,"""Insupen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (Spirit Healthcare Ltd)""	""Suppository""	""Rectal""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""69548""",UNKNOWN,true,"""Saxenda 6mg/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Solution for injection""	""Subcutaneous""	""Liraglutide""	""6mg/1ml""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Liraglutide""	""GLP-1RAs""",
"""18592""",UNKNOWN,true,"""Insulin soluble bovine 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/Intravenous/Intramuscular""	""Insulin""	""100unit/1ml""	""Short-Acting Insulins/Diabetic Ketoacidosis""	""Insulin""	""Insulin""",
"""26218""",UNKNOWN,true,"""Calabren 5mg Tablet (Berk Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Glibenclamide""	""5mg""	""Sulphonylureas""	""Glibenclamide""	""Sulfonylureas""",
"""50570""",UNKNOWN,true,"""Glucophage SR 500mg tablets (Lexon (UK) Ltd)""	""Modified-release tablet""	""Oral""	""Metformin""	""500mg""	""Biguanides (Metformin)""	""Metformin""	""Metformin""",
"""7318""",UNKNOWN,true,"""Humalog 100units/ml solution for injection 3ml cartridges (Eli Lilly and Company Ltd)""	""Solution for injection""	""Intravenous/Intramuscular/Subcutaneous""	""Insulin""	""100unit/1ml""	""Short-Acting Insulins""	""Insulin""	""Insulin""",
"""6958""",UNKNOWN,true,"""Levemir FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""24795""",UNKNOWN,true,"""Insulin aspart biphasic 30/70 100units/ml suspension for injection 3ml cartridges""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""30unit/1ml + 70unit/1ml""	""Biphasic Insulins""	""Insulin""	""Insulin""",
"""16700""",UNKNOWN,true,"""Insulin zinc mixed bovine vial 100unit/ml Sterile suspension injection""	""Sterile Suspension Injection""	""Subcutaneous Injection""	""Insulin""	""100unit/ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""63785""",UNKNOWN,true,"""Dulaglutide 0.75mg/0.5ml solution for injection pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Dulaglutide""	""1.5mg/1ml""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Dulaglutide""	""GLP-1RAs""",
"""84314""",UNKNOWN,true,"""Lyumjev KwikPen 200units/ml solution for injection 3ml pre-filled pens (Eli Lilly and Company Ltd)""	""Solution for injection""	""Subcutaneous""	""Insulin""	""200unit/1ml""	""Short-Acting Insulins""	""Insulin""	""Insulin""",
"""5345""",UNKNOWN,true,"""Monoject hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12mm needle 0.36mm/28gauge (Covidien (UK) Commercial Ltd)""	""Insulin Syringe With 12Mm Needle(28G)""	NA	""Insulin""	""0.5ml""	""U100 Insulin Syringe With Needle Sterile Single-Use Or Single Patient Use""	""Insulin""	""Insulin""",
"""35468""",UNKNOWN,true,"""Insuman Basal 100units/ml suspension for injection 5ml vials (Sanofi)""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100unit/1ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""13516""",UNKNOWN,true,"""Hypurin bovine isophane 100unit/ml Injection (C P Pharmaceuticals Ltd)""	""Suspension for injection""	""Intramuscular/Subcutaneous""	""Insulin""	""100unit/1ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
"""63707""",UNKNOWN,true,"""GlucoRx FinePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""41558""",UNKNOWN,true,"""Glibenclamide 5mg tablets (Teva UK Ltd)""	""Oral tablet""	""Oral""	""Glibenclamide""	""5mg""	""Sulphonylureas""	""Glibenclamide""	""Sulfonylureas""",
"""69440""",UNKNOWN,true,"""Neon Verifine Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (Neon Diagnostics Ltd)""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Needle For Pre-Filled And Reusable Pen Injector""	""Insulin""	""Insulin""",
"""10067""",UNKNOWN,true,"""Insulin biphasic aspart human pyr 30:70; 100 units/ml Injection""	""Injection""	""Intramuscular""	""Insulin""	""30:70; 100 units/ml""	""Intermediate- And Long-Acting Insulins""	""Insulin""	""Insulin""",
