code,code_system,include,term,notes
91941,UNKNOWN,true,Sitagliptin 100mg tablets (Genus Pharmaceuticals Ltd),
60073,UNKNOWN,true,Canagliflozin 100mg tablets,
10915,UNKNOWN,true,Humaject m1 100iu/ml M1 pen (Eli Lilly and Company Ltd),
24722,UNKNOWN,true,INSULIN ISOPHANE 50%/NEUTRAL 50% 100 I/U INJ,
82533,UNKNOWN,true,Humulin S 100units/ml solution for injection 10ml vials (Waymade Healthcare Plc),
72324,UNKNOWN,true,GlucoRx CarePoint Ultra hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (GlucoRx Ltd),
90626,UNKNOWN,true,Ozempic 1mg/0.74ml solution for injection 3ml pre-filled pens (Pharmaram Ltd),
1592,UNKNOWN,true,Actrapid penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),
80319,UNKNOWN,true,Empagliflozin 10mg / Linagliptin 5mg tablets,
48149,UNKNOWN,true,Metformin 500mg tablets (Almus Pharmaceuticals Ltd),
11284,UNKNOWN,true,Amaryl 4mg tablets (Zentiva Pharma UK Ltd),
24002,UNKNOWN,true,Insuman Comb 25 100units/ml suspension for injection 5ml vials (Sanofi),
74860,UNKNOWN,true,NovoNorm 1mg tablets (Waymade Healthcare Plc),
48342,UNKNOWN,true,HumaPen Luxura hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-60 units Burgundy (Eli Lilly and Company Ltd),
58865,UNKNOWN,true,Komboglyze 2.5mg/850mg tablets (AstraZeneca UK Ltd),
61562,UNKNOWN,true,Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/29gauge,
21554,UNKNOWN,true,Insuman comb 50 100iu/ml Injection (Aventis Pharma),
62661,UNKNOWN,true,Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (AstraZeneca UK Ltd),
51650,UNKNOWN,true,Omnican Fine hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge (B.Braun Medical Ltd),
11107,UNKNOWN,true,Humulin m4 100unit/ml M4 injection (Eli Lilly and Company Ltd),
82475,UNKNOWN,true,NovoMix 30 FlexPen 100units/ml suspension for injection 3ml pre-filled pens (Waymade Healthcare Plc),
11609,UNKNOWN,true,Metformin with rosiglitazone 500mg + 1mg Tablet,
35149,UNKNOWN,true,Exenatide 10micrograms/0.04ml solution for injection 2.4ml pre-filled disposable devices,
60938,UNKNOWN,true,Mixtard 30 100units/ml suspension for injection 10ml vials (Waymade Healthcare Plc),
43065,UNKNOWN,true,Gliclazide 40mg tablets,
12300,UNKNOWN,true,SYRINGE INSULIN (BS1619/1) 2ML,
34507,UNKNOWN,true,Glibenclamide 2.5mg tablets (Wockhardt UK Ltd),
49738,UNKNOWN,true,Metformin 1g modified-release tablets (A A H Pharmaceuticals Ltd),
83493,UNKNOWN,true,Tolbutamide 500mg tablets (Almus Pharmaceuticals Ltd),
37427,UNKNOWN,true,HumaPen Luxura HD hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units (Eli Lilly and Company Ltd),
80678,UNKNOWN,true,Humalog KwikPen 100units/ml solution for injection 3ml pre-filled pens (CST Pharma Ltd),
71804,UNKNOWN,true,AllStar Pro hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Silver (Sanofi),
16682,UNKNOWN,true,Tempulin 100unit/ml Injection (Knoll Ltd),
5634,UNKNOWN,true,Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with not less than 12mm needle 0.36mm/28gauge,
20889,UNKNOWN,true,Actos 30mg tablets (Neon Healthcare Ltd),
87716,UNKNOWN,true,Humalog Mix50 Pen 100units/ml suspension for injection 3ml pre-filled pens (Sigma Pharmaceuticals Plc),
19707,UNKNOWN,true,INSULIN HUMULIN S (NEUTRAL SOLUBLE),
39150,UNKNOWN,true,Hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm safety needle 0.33mm/29gauge,
5214,UNKNOWN,true,Insulin lispro 100units/ml solution for injection 1.5ml cartridges,
55459,UNKNOWN,true,Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices,
35454,UNKNOWN,true,GlucoRx CarePoint hypodermic insulin needles for pre-filled / reusable pen injectors screw on 8mm/31gauge (GlucoRx Ltd),
75740,UNKNOWN,true,Ozempic 0.25mg/0.19ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd),
548,UNKNOWN,true,Pioglitazone 15mg tablets,
76660,UNKNOWN,true,Insulin lispro Sanofi 100units/ml solution for injection 3ml cartridges (Sanofi),
3551,UNKNOWN,true,Mixtard 20 penfill 100 100iu/ml Penfill (Novo Nordisk Ltd),
60386,UNKNOWN,true,Canagliflozin 300mg tablets,
13622,UNKNOWN,true,Hypurin porcine neutral 100unit/ml Injection (C P Pharmaceuticals Ltd),
1649,UNKNOWN,true,Human actraphane 100iu/ml Injection (Novo Nordisk Ltd),
22155,UNKNOWN,true,Humaject m5 100iu/ml M5 pen (Eli Lilly and Company Ltd),
37874,UNKNOWN,true,Vildagliptin 50mg / Metformin 850mg tablets,
18446,UNKNOWN,true,Unifine hypodermic U100 insulin syringe sterile single use / single patient use 1ml with 12mm needle 0.33mm/29gauge (Owen Mumford Ltd),
46927,UNKNOWN,true,Tolbutamide 500mg tablets (Teva UK Ltd),
10145,UNKNOWN,true,Humapen luxura insulin pen 3ml/1-60 units Insulin pen 3ml/1-60 units (Eli Lilly and Company Ltd),
75397,UNKNOWN,true,Semaglutide 0.25mg/0.19ml solution for injection 1.5ml pre-filled disposable devices,
62760,UNKNOWN,true,Jardiance 10mg tablets (Boehringer Ingelheim Ltd),
52221,UNKNOWN,true,Diagemet XL 500mg tablets (Genus Pharmaceuticals Ltd),
35144,UNKNOWN,true,Byetta 5micrograms/0.02ml solution for injection 1.2ml pre-filled pens (AstraZeneca UK Ltd),
22823,UNKNOWN,true,INSULIN ISOPHANE (PURIFIED) 100 I/U INJ,
10277,UNKNOWN,true,Humulin M3 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),
61311,UNKNOWN,true,Glimepiride 4mg tablets (Sigma Pharmaceuticals Plc),
60028,UNKNOWN,true,Hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4mm/32gauge,
18593,UNKNOWN,true,Humalog Mix50 100units/ml suspension for injection 3ml cartridges (Eli Lilly and Company Ltd),
7757,UNKNOWN,true,INSULIN NEULENTE (ZINC SUSP)(PURIFIED) 100 I/U INJ,
7166,UNKNOWN,true,Glucophage 500mg tablets (Merck Serono Ltd),
5892,UNKNOWN,true,NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd),
5267,UNKNOWN,true,"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 8mm needle 0.3mm/30gauge (Becton, Dickinson UK Ltd)",
7349,UNKNOWN,true,Actrapid 100units/ml solution for injection 10ml vials (Novo Nordisk Ltd),
40110,UNKNOWN,true,Glucophage 500mg oral powder sachets (Merck Serono Ltd),
14506,UNKNOWN,true,INSULIN BOVINE PROTAMINE ZINC 100 I/U INJ,
10242,UNKNOWN,true,Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 6mm/31gauge,
80987,UNKNOWN,true,Exenatide 2mg/0.85ml prolonged-release suspension for injection pre-filled disposable devices,
68214,UNKNOWN,true,Metformin 500mg/5ml oral solution sugar free (A A H Pharmaceuticals Ltd),
9865,UNKNOWN,true,Repaglinide 500microgram tablets,
40007,UNKNOWN,true,Glucophage 1000mg oral powder sachets (Merck Serono Ltd),
91611,UNKNOWN,true,Metformin 500mg tablets (Sandoz Ltd),
66098,UNKNOWN,true,JuniorSTAR hypodermic insulin injection pen reusable for 3ml cartridge 0.5 unit dial up / range 1-30 units Silver (Sanofi),
44810,UNKNOWN,true,Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/32gauge,
21564,UNKNOWN,true,Gliclazide 80mg tablets (Wockhardt UK Ltd),
9707,UNKNOWN,true,Repaglinide 1mg tablets,
43833,UNKNOWN,true,ClikSTAR hypodermic insulin injection pen reusable for 3ml cartridge 1 unit dial up / range 1-80 units Blue (Sanofi),
15232,UNKNOWN,true,Avandia 8mg tablets (GlaxoSmithKline UK Ltd),
17343,UNKNOWN,true,Gliclazide 80mg tablets (A A H Pharmaceuticals Ltd),
66150,UNKNOWN,true,Glucoject hypodermic insulin needles for pre-filled / reusable pen injectors screw on 4mm/32gauge (A. Menarini Diagnostics Ltd),
74680,UNKNOWN,true,NovoMix 30 Penfill 100units/ml suspension for injection 3ml cartridges (DE Pharmaceuticals),
22058,UNKNOWN,true,Pur-in mix 15/85 Injection (C P Pharmaceuticals Ltd),
11601,UNKNOWN,true,Rosiglitazone 2mg / Metformin 500mg tablets,
91178,UNKNOWN,true,Metformin 850mg modified-release tablets,
55910,UNKNOWN,true,Tresiba Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd),
57457,UNKNOWN,true,Metformin 500mg tablets (Milpharm Ltd),
71395,UNKNOWN,true,Humalog Mix25 100units/ml suspension for injection 3ml cartridges (Sigma Pharmaceuticals Plc),
90199,UNKNOWN,true,Tirzepatide 7.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices,
14938,UNKNOWN,true,Insulin soluble bovine cartridge 100unit/ml Solution for injection,
2459,UNKNOWN,true,Pork Mixtard 30 100units/ml suspension for injection 10ml vials (Novo Nordisk Ltd),
68934,UNKNOWN,true,Diabiom 30mg tablets (Tillomed Laboratories Ltd),
39149,UNKNOWN,true,Galvus 50mg tablets (Novartis Pharmaceuticals UK Ltd),
56437,UNKNOWN,true,Gliclazide 60mg modified-release tablets,
41431,UNKNOWN,true,Onglyza 5mg tablets (AstraZeneca UK Ltd),
