code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""term""	""database""",
"""932641000006116""",UNKNOWN,true,"""diabetes with coma""	""Aurum""",
"""1177721000000112""",UNKNOWN,true,"""diabetic on subcutaneous treatment""	""Aurum""",
"""1667921000000117""",UNKNOWN,true,"""type ii diabetes mellitus with gastroparesis""	""Aurum""",
"""1694761000006113""",UNKNOWN,true,"""newly diagnosed diabetes""	""Aurum""",
"""1780981000006115""",UNKNOWN,true,"""diabetic on non-insulin injectable""	""Aurum""",
"""1823921000006119""",UNKNOWN,true,"""diabetes mellitus confirmed""	""Aurum""",
"""1954041000006119""",UNKNOWN,true,"""diabetic - uses carbohydrate counting""	""Aurum""",
"""1966311000006116""",UNKNOWN,true,"""diabetic on oral treatment and glucagon-like peptide 1 receptor agonist""	""Aurum""",
"""1966321000006112""",UNKNOWN,true,"""diabetic on insulin and glucagon-like peptide 1 receptor agonist""	""Aurum""",
"""2460251000000115""",UNKNOWN,true,"""diabetic on non-insulin injectable medication""	""Aurum""",
"""2683591000006110""",UNKNOWN,true,"""unstable diabetes mellitus""	""Aurum""",
"""3209441000006114""",UNKNOWN,true,"""diabetes mellitus type 2""	""Aurum""",
"""3690681000006114""",UNKNOWN,true,"""dm - diabetes mellitus""	""Aurum""",
"""3825721000006111""",UNKNOWN,true,"""type 2 diabetes mellitus in obese""	""Aurum""",
"""3825731000006114""",UNKNOWN,true,"""diabetes mellitus type 2 in obese""	""Aurum""",
"""4758011000006112""",UNKNOWN,true,"""type 2 diabetes mellitus with hyperosmolar coma""	""Aurum""",
"""5109461000006115""",UNKNOWN,true,"""diabetes type 2 on insulin""	""Aurum""",
"""5505651000006113""",UNKNOWN,true,"""diabetes mellitus uncontrolled""	""Aurum""",
"""6204751000006114""",UNKNOWN,true,"""diabetes mellitus type 2 in nonobese""	""Aurum""",
"""6969931000006116""",UNKNOWN,true,"""diabetes type 2 with neurological disorder""	""Aurum""",
"""6977431000006113""",UNKNOWN,true,"""diabetes type 2 with ketoacidosis""	""Aurum""",
"""7281511000006118""",UNKNOWN,true,"""type 2 diabetes mellitus uncontrolled""	""Aurum""",
"""7288191000006110""",UNKNOWN,true,"""type 2 diabetes mellitus well controlled""	""Aurum""",
"""7306751000006110""",UNKNOWN,true,"""brittle type 2 diabetes mellitus""	""Aurum""",
