code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antidiabetic""	""group""",
"""758441000033111""",UNKNOWN,true,"""Insulin Syringe  Disposable  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""758541000033112""",UNKNOWN,true,"""Insulin Syringe  Disposable  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""759841000033115""",UNKNOWN,true,"""Insulin Zinc Suspension (Human)  Injection  100 units/ml, 10 ml vial""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""762441000033118""",UNKNOWN,true,"""Insulin lispro 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""06010101""	""Insulin""	""Insulin""",
"""763341000033116""",UNKNOWN,true,"""Pork Insulatard 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	NA	""Insulin""	""Insulin""",
"""763941000033117""",UNKNOWN,true,"""Insulin Zinc Suspension  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""764941000033119""",UNKNOWN,true,"""Insulin Zinc Suspension Lente (Evans)  Injection  100u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""766241000033115""",UNKNOWN,true,"""Insulin Syringe  Pre-set  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""766741000033114""",UNKNOWN,true,"""Insulin Syringe  Re-usable  0.5 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""766841000033116""",UNKNOWN,true,"""Insulin Syringe  Re-usable  1 ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""776041000033117""",UNKNOWN,true,"""Isophane Insulin (Human, Prb)  Cartridges  100 units/ml""	NA	NA	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""779141000033111""",UNKNOWN,true,"""Insulin isophane human 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""06010102""	""Insulin""	""Insulin""",
"""779641000033118""",UNKNOWN,true,"""Isophane Insulin Injection (Evans)  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
"""779841000033117""",UNKNOWN,true,"""Isophane Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	NA	""Insulin""	""Insulin""",
