code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Mood Stabiliser""",
"""817841000033117""",UNKNOWN,true,"""Lamotrigine 200mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lamotrigine""	""200.000mg""	""04080100""	""Lamotrigine""",
"""832941000033117""",UNKNOWN,true,"""Lithium citrate 520mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Lithium""	""104.000mg/1.000ml""	""04020300""	""Lithium""",
"""833441000033118""",UNKNOWN,true,"""Lithium Succinate  Ointment""	NA	NA	""Lithium""	NA	NA	""Lithium""",
"""834441000033116""",UNKNOWN,true,"""Lithium Citrate  Sugar free syrup  10.8 mmol/5 ml""	""Oral solution""	""Oral""	""Lithium""	NA	NA	""Lithium""",
"""834541000033115""",UNKNOWN,true,"""Lithium Citrate  Sugar free syrup  5.4 mmol/5 ml""	""Oral solution""	""Oral""	""Lithium""	NA	NA	""Lithium""",
"""835641000033115""",UNKNOWN,true,"""Liskonum 450mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""450.000mg""	NA	""Lithium""",
"""835741000033112""",UNKNOWN,true,"""Litarex 564mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""564.000mg""	NA	""Lithium""",
"""835841000033119""",UNKNOWN,true,"""Lithium carbonate 250mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Lithium""	""250.000mg""	""04020300""	""Lithium""",
"""835941000033110""",UNKNOWN,true,"""Lithium carbonate 400mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""400.000mg""	""04020300""	""Lithium""",
"""837441000033112""",UNKNOWN,true,"""Lithium carbonate 200mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""200.000mg""	""04020300""	""Lithium""",
"""837541000033113""",UNKNOWN,true,"""Lithium Carbonate  M/R tablets  300 mg""	""Tablet""	""Oral""	""Lithium""	NA	NA	""Lithium""",
"""837641000033114""",UNKNOWN,true,"""Lithium carbonate 450mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""450.000mg""	""04020300""	""Lithium""",
"""837741000033117""",UNKNOWN,true,"""Lithium citrate 564mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""564.000mg""	""04020300""	""Lithium""",
"""1123841000033114""",UNKNOWN,true,"""Priadel 520mg/5ml liquid""	""Oral solution""	""Oral""	""Lithium""	""104.000mg/1.000ml""	NA	""Lithium""",
"""1132941000033114""",UNKNOWN,true,"""Priadel 200mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""200.000mg""	NA	""Lithium""",
"""1133041000033116""",UNKNOWN,true,"""Priadel 400mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Lithium""	""400.000mg""	NA	""Lithium""",
"""1358241000033111""",UNKNOWN,true,"""Sodium valproate 400mg powder and solvent for solution for injection vials""	""Powder and solvent for solution for injection""	""Intravenous""	""Valproate""	""400.000mg""	""04080100""	""Valproate""",
"""1358941000033119""",UNKNOWN,true,"""Sodium Valproate  Sugar-free liquid  200 mg/5 ml""	NA	NA	""Valproate""	NA	NA	""Valproate""",
"""1359341000033113""",UNKNOWN,true,"""Sodium valproate 200mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""200.000mg""	""04080100""	""Valproate""",
"""1359441000033119""",UNKNOWN,true,"""Sodium valproate 300mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""300.000mg""	""04080100""	""Valproate""",
"""1359541000033118""",UNKNOWN,true,"""Sodium valproate 500mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Valproate""	""500.000mg""	""04080100""	""Valproate""",
"""1361241000033114""",UNKNOWN,true,"""Sodium valproate 200mg/5ml oral solution""	""Oral solution""	""Oral""	""Valproate""	""40.000mg/1.000ml""	""04080100""	""Valproate""",
"""1363641000033113""",UNKNOWN,true,"""Sodium valproate 200mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Valproate""	""40.000mg/1.000ml""	""04080100""	""Valproate""",
"""1363741000033116""",UNKNOWN,true,"""Sodium Valproate  Syrup  200 mg/5 ml""	""Oral solution""	""Oral""	""Valproate""	NA	NA	""Valproate""",
"""1364941000033115""",UNKNOWN,true,"""Sodium valproate 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Valproate""	""100.000mg""	""04080100""	""Valproate""",
"""1365041000033115""",UNKNOWN,true,"""Sodium valproate 200mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""200.000mg""	""04080100""	""Valproate""",
"""1365141000033116""",UNKNOWN,true,"""Sodium valproate 500mg gastro-resistant tablets""	""Gastro-resistant tablet""	""Oral""	""Valproate""	""500.000mg""	""04080100""	""Valproate""",
"""1415041000033114""",UNKNOWN,true,"""Tegretol 100mg Chewtabs""	""Chewable tablet""	""Oral""	""Carbamazepine""	""100.000mg""	NA	""Carbamazepine""",
