code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""bnftext""	""Other Antidiabetic""",
"""9748""",UNKNOWN,true,"""Repaglinide 2mg tablets""	""Oral tablet""	""Oral""	""Repaglinide""	""2mg""	""Meglitinides (Glinides)""	""Repaglinide""",
"""78258""",UNKNOWN,true,"""Pioglitazone 15mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Pioglitazone""	""3mg/1ml""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""61925""",UNKNOWN,true,"""NovoNorm 500microgram tablets (Waymade Healthcare Plc)""	""Oral tablet""	""Oral""	""Repaglinide""	""500microgram""	""Meglitinides (Glinides)""	""Repaglinide""",
"""57659""",UNKNOWN,true,"""Pioglitazone 30mg tablets (Actavis UK Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""11483""",UNKNOWN,true,"""Nateglinide 60mg tablets""	""Oral tablet""	""Oral""	""Nateglinide""	""60mg""	""Meglitinides (Glinides)""	""Nateglinide""",
"""36774""",UNKNOWN,true,"""Prandin 1mg tablets (Novo Nordisk Ltd)""	""Oral tablet""	""Oral""	""Repaglinide""	""1mg""	""Meglitinides (Glinides)""	""Repaglinide""",
"""14164""",UNKNOWN,true,"""Avandamet 2mg/1000mg tablets (GlaxoSmithKline UK Ltd)""	""Oral tablet""	""Oral""	""Rosiglitazone""	""2mg + 1gram""	""Unknown""	""Rosiglitazone""",
"""64900""",UNKNOWN,true,"""Glidipion 30mg tablets (Actavis UK Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""48139""",UNKNOWN,true,"""Pioglitazone 30mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""6855""",UNKNOWN,true,"""Avandamet 2mg/500mg tablets (GlaxoSmithKline UK Ltd)""	""Oral tablet""	""Oral""	""Rosiglitazone""	""2mg + 500mg""	""Unknown""	""Rosiglitazone""",
"""84958""",UNKNOWN,true,"""Pioglitazone 15mg / Metformin 850mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""850mg + 15mg""	""Glitazones Plus Metformin""	""Pioglitazone""",
"""23945""",UNKNOWN,true,"""Starlix 60mg tablets (Novartis Pharmaceuticals UK Ltd)""	""Oral tablet""	""Oral""	""Nateglinide""	""60mg""	""Meglitinides (Glinides)""	""Nateglinide""",
"""65562""",UNKNOWN,true,"""Pioglitazone 30mg tablets (Alliance Healthcare (Distribution) Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""17580""",UNKNOWN,true,"""Avandamet 1mg/500mg tablets (GlaxoSmithKline UK Ltd)""	""Oral tablet""	""Oral""	""Rosiglitazone""	""1mg + 500mg""	""Unknown""	""Rosiglitazone""",
"""62426""",UNKNOWN,true,"""Pioglitazone 30mg tablets (Accord-UK Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""30mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""10051""",UNKNOWN,true,"""Pioglitazone 45mg tablets""	""Oral tablet""	""Oral""	""Pioglitazone""	""45mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""11316""",UNKNOWN,true,"""NovoNorm 500microgram tablets (Novo Nordisk Ltd)""	""Oral tablet""	""Oral""	""Repaglinide""	""500microgram""	""Meglitinides (Glinides)""	""Repaglinide""",
"""7375""",UNKNOWN,true,"""Rosiglitazone 4mg / Metformin 1g tablets""	""Oral tablet""	""Oral""	""Rosiglitazone""	""1gram + 4mg""	""Glitazones Plus Metformin""	""Rosiglitazone""",
"""83456""",UNKNOWN,true,"""Acarbose 50mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Acarbose""	""50mg""	""Other Antidiabetic Products""	""Acarbose""",
"""5174""",UNKNOWN,true,"""Acarbose 100mg tablets""	""Oral tablet""	""Oral""	""Acarbose""	""100mg""	""Other Antidiabetic Products""	""Acarbose""",
"""56208""",UNKNOWN,true,"""Pioglitazone 15mg tablets (A A H Pharmaceuticals Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""15mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""5621""",UNKNOWN,true,"""Glucobay 50mg tablets (Bayer Plc)""	""Oral tablet""	""Oral""	""Acarbose""	""50mg""	""Other Antidiabetic Products""	""Acarbose""",
"""82372""",UNKNOWN,true,"""Competact 15mg/850mg tablets (DE Pharmaceuticals)""	""Oral tablet""	""Oral""	""Pioglitazone""	""850mg + 15mg""	""Glitazones Plus Metformin""	""Pioglitazone""",
"""52203""",UNKNOWN,true,"""Enyglid 0.5mg tablets (Krka UK Ltd)""	""Oral tablet""	""Oral""	""Repaglinide""	""500microgram""	""Meglitinides (Glinides)""	""Repaglinide""",
"""19472""",UNKNOWN,true,"""Actos 45mg tablets (Neon Healthcare Ltd)""	""Oral tablet""	""Oral""	""Pioglitazone""	""45mg""	""Thiazolidinedione (Glitazones)""	""Pioglitazone""",
"""36948""",UNKNOWN,true,"""Prandin 0.5mg tablets (Novo Nordisk Ltd)""	""Oral tablet""	""Oral""	""Repaglinide""	""500microgram""	""Meglitinides (Glinides)""	""Repaglinide""",
