code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""Lipid regulating meds""",
"""89510""",UNKNOWN,true,"24	""Rosuvastatin 20mg tablets (A A H Pharmaceuticals Ltd)""	""Rosuvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Rosuvastatin""",
"""3411""",UNKNOWN,true,"196202	""Lipitor 10mg tablets (Viatris UK Healthcare Ltd)""	""Atorvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""45235""",UNKNOWN,true,"10	""Simvastatin 20mg tablets (Sandoz Ltd)""	""Simvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""420""",UNKNOWN,true,"112017	""Cerivastatin 100microgram tablets""	""Cerivastatin""	""100microgram""	""Oral tablet""	""Oral""	""Unknown""	""Cerivastatin""",
"""30618""",UNKNOWN,true,"165	""Estroven Tablet (Estroven Ltd)""	""Nicotinic acid""	NA	""Tablet""	""Oral""	""-""	""Nicotinic acid""",
"""11785""",UNKNOWN,true,"60404	""Colestyramine 4g oral powder sachets sugar free""	""Colestyramine""	""4gram""	""Powder for oral suspension""	""Oral""	""Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products""	""Colestyramine""",
"""87497""",UNKNOWN,true,"0	""Simvastatin 20mg tablets (Mawdsley-Brooks & Company Ltd)""	""Simvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""78993""",UNKNOWN,true,"0	""Fluvastatin 80mg modified-release tablets (Waymade Healthcare Plc)""	""Fluvastatin""	""80mg""	""Modified-release tablet""	""Oral""	""Statins""	""Fluvastatin""",
"""802""",UNKNOWN,true,"414416	""Simvador 40mg tablets (Dexcel-Pharma Ltd)""	""Simvastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""54992""",UNKNOWN,true,"62	""Atorvastatin 10mg/5ml oral suspension""	""Atorvastatin""	""2mg/1ml""	""Oral suspension""	""Oral""	""Statins""	""Atorvastatin""",
"""88306""",UNKNOWN,true,"0	""Atorvastatin 10mg tablets (Amarox Ltd)""	""Atorvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""72308""",UNKNOWN,true,"0	""Fluvastatin 20mg capsules (Alliance Healthcare (Distribution) Ltd)""	""Fluvastatin""	""20mg""	""Oral capsule""	""Oral""	""Statins""	""Fluvastatin""",
"""4928""",UNKNOWN,true,"35889	""Lipantil Micro 200 capsules (Viatris UK Healthcare Ltd)""	""Fenofibrate""	""200mg""	""Oral capsule""	""Oral""	""Fibrates""	""Fenofibrate""",
"""5985""",UNKNOWN,true,"4995	""Lescol XL 80mg tablets (Novartis Pharmaceuticals UK Ltd)""	""Fluvastatin""	""80mg""	""Modified-release tablet""	""Oral""	""Statins""	""Fluvastatin""",
"""57329""",UNKNOWN,true,"12	""Simvastatin 25mg/5ml oral suspension""	""Simvastatin""	""5mg/1ml""	""Oral suspension""	""Oral""	""Statins""	""Simvastatin""",
"""53676""",UNKNOWN,true,"0	""Simvastatin 20mg tablets (Tillomed Laboratories Ltd)""	""Simvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""48058""",UNKNOWN,true,"33	""Simvastatin 10mg tablets (Sun Pharma UK Ltd)""	""Simvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""47090""",UNKNOWN,true,"1213	""Atorvastatin 10mg chewable tablets sugar free""	""Atorvastatin""	""10mg""	""Chewable tablet""	""Oral""	""Unknown""	""Atorvastatin""",
"""34814""",UNKNOWN,true,"23	""Simvastatin 20mg tablets (Wockhardt UK Ltd)""	""Simvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""63343""",UNKNOWN,true,"0	""Generic Crampex tablets""	""Nicotinic acid""	""200mg + 20microgram + 20mg""	""Oral tablet""	""Oral""	""Other Muscle Relaxants""	""Nicotinic acid""",
"""60101""",UNKNOWN,true,"41	""Colestyramine 4g oral powder sachets sugar free (Teva UK Ltd)""	""Colestyramine""	""4gram""	""Powder for oral suspension""	""Oral""	""Bile Acid Sequestrants/Bile Acid Sequestrants - Lipid-Regulating Products""	""Colestyramine""",
"""31658""",UNKNOWN,true,"6	""Cerivastatin 800microgram tablets""	""Cerivastatin""	""800microgram""	""Oral tablet""	""Oral""	""Unknown""	""Cerivastatin""",
"""92382""",UNKNOWN,true,"0	""Ciprofibrate 100mg tablets (Necessity Supplies Ltd)""	""Ciprofibrate""	""100mg""	""Oral tablet""	""Oral""	""Fibrates""	""Ciprofibrate""",
"""2955""",UNKNOWN,true,"56313	""Lipitor 40mg tablets (Viatris UK Healthcare Ltd)""	""Atorvastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
"""82561""",UNKNOWN,true,"48	""Supralip 160mg tablets (Waymade Healthcare Plc)""	""Fenofibrate""	""160mg""	""Oral tablet""	""Oral""	""Fibrates""	""Fenofibrate""",
"""81602""",UNKNOWN,true,"0	""Rosuvastatin 10mg tablets (A A H Pharmaceuticals Ltd)""	""Rosuvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Rosuvastatin""",
"""34353""",UNKNOWN,true,"1017	""Simvastatin 40mg tablets (Viatris UK Healthcare Ltd)""	""Simvastatin""	""40mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""31221""",UNKNOWN,true,"81	""Bezafibrate 200mg tablets (Viatris UK Healthcare Ltd)""	""Bezafibrate""	""200mg""	""Oral tablet""	""Oral""	""Fibrates""	""Bezafibrate""",
"""64968""",UNKNOWN,true,"0	""Simvastatin 10mg tablets (DE Pharmaceuticals)""	""Simvastatin""	""10mg""	""Oral tablet""	""Oral""	""Statins""	""Simvastatin""",
"""91213""",UNKNOWN,true,"0	""Niaspan 375mg modified-release tablets (Abbott Laboratories Ltd)""	""Nicotinic acid/Niaspan""	""375mg""	""Modified-release tablet""	""Oral""	""Unknown""	""Nicotinic acid/Niaspan""",
"""7374""",UNKNOWN,true,"105587	""Lipitor 20mg tablets (Viatris UK Healthcare Ltd)""	""Atorvastatin""	""20mg""	""Oral tablet""	""Oral""	""Statins""	""Atorvastatin""",
