code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""cat""",
"""13108""",UNKNOWN,true,"""2BBX.00""	""o/e - left eye diabetic maculopathy""	""Unknown""",
"""13191""",UNKNOWN,true,"""9OL..11""	""diabetes clinic administration""	""Unknown""",
"""13192""",UNKNOWN,true,"""9OLA.00""	""diabetes monitor. check done""	""Unknown""",
"""13194""",UNKNOWN,true,"""9OL4.00""	""diabetes monitoring 1st letter""	""Unknown""",
"""13195""",UNKNOWN,true,"""9OL5.00""	""diabetes monitoring 2nd letter""	""Unknown""",
"""13197""",UNKNOWN,true,"""9OL1.00""	""attends diabetes monitoring""	""Unknown""",
"""1323""",UNKNOWN,true,"""F420.00""	""diabetic retinopathy""	""Unknown""",
"""13279""",UNKNOWN,true,"""C104y00""	""other specified diabetes mellitus with renal complications""	""Other""",
"""13678""",UNKNOWN,true,"""ZL62600""	""referral to diabetic liaison nurse""	""Unknown""",
"""14049""",UNKNOWN,true,"""42WZ.00""	""hb. a1c - diabetic control nos""	""Unknown""",
"""14050""",UNKNOWN,true,"""42c..00""	""hba1 - diabetic control""	""Unknown""",
"""1407""",UNKNOWN,true,"""C10FJ00""	""insulin treated type 2 diabetes mellitus""	""Type 2""",
"""14803""",UNKNOWN,true,"""C100100""	""diabetes mellitus, adult onset, no mention of complication""	""Type 2""",
"""14889""",UNKNOWN,true,"""C100111""	""maturity onset diabetes""	""Other""",
"""1549""",UNKNOWN,true,"""C10E.00""	""type 1 diabetes mellitus""	""Type 1""",
"""15690""",UNKNOWN,true,"""C103.00""	""diabetes mellitus with ketoacidotic coma""	""Unknown""",
"""16230""",UNKNOWN,true,"""C106.00""	""diabetes mellitus with neurological manifestation""	""Unknown""",
"""1647""",UNKNOWN,true,"""C108.00""	""insulin dependent diabetes mellitus""	""Type 1""",
"""16490""",UNKNOWN,true,"""66AH.00""	""diabetic treatment changed""	""Unknown""",
"""16491""",UNKNOWN,true,"""C106.13""	""diabetes mellitus with polyneuropathy""	""Unknown""",
"""16502""",UNKNOWN,true,"""C104.00""	""diabetes mellitus with renal manifestation""	""Unknown""",
"""1682""",UNKNOWN,true,"""C101.00""	""diabetes mellitus with ketoacidosis""	""Unknown""",
"""1684""",UNKNOWN,true,"""66A4.00""	""diabetic on oral treatment""	""Type 2""",
"""16881""",UNKNOWN,true,"""ZV65312""	""[v]dietary counselling in diabetes mellitus""	""Unknown""",
"""16946""",UNKNOWN,true,"""13L4.11""	""diabetic child""	""Unknown""",
"""17067""",UNKNOWN,true,"""F171100""	""autonomic neuropathy due to diabetes""	""Unknown""",
"""17095""",UNKNOWN,true,"""2G5A.00""	""o/e - right diabetic foot at risk""	""Unknown""",
"""17247""",UNKNOWN,true,"""F35z000""	""diabetic mononeuritis nos""	""Unknown""",
"""17262""",UNKNOWN,true,"""C109600""	""non-insulin-dependent diabetes mellitus with retinopathy""	""Type 2""",
"""17313""",UNKNOWN,true,"""F440700""	""diabetic iritis""	""Unknown""",
"""17545""",UNKNOWN,true,"""C108F11""	""type i diabetes mellitus with diabetic cataract""	""Type 1""",
"""17858""",UNKNOWN,true,"""C108.12""	""type 1 diabetes mellitus""	""Type 1""",
"""17859""",UNKNOWN,true,"""C109.12""	""type 2 diabetes mellitus""	""Type 2""",
"""17869""",UNKNOWN,true,"""66AL.00""	""diabetic-uncooperative patient""	""Unknown""",
"""17886""",UNKNOWN,true,"""66AM.00""	""diabetic - follow-up default""	""Unknown""",
"""18056""",UNKNOWN,true,"""2G5C.00""	""foot abnormality - diabetes related""	""Unknown""",
"""18066""",UNKNOWN,true,"""8CE0.00""	""diabetic leaflet given""	""Unknown""",
"""18142""",UNKNOWN,true,"""N030000""	""diabetic cheiroarthropathy""	""Unknown""",
"""18143""",UNKNOWN,true,"""C109G11""	""type ii diabetes mellitus with arthropathy""	""Type 2""",
"""18167""",UNKNOWN,true,"""66AT.00""	""annual diabetic blood test""	""Unknown""",
"""18209""",UNKNOWN,true,"""C109012""	""type 2 diabetes mellitus with renal complications""	""Type 2""",
"""18219""",UNKNOWN,true,"""C109.13""	""type ii diabetes mellitus""	""Type 2""",
"""18230""",UNKNOWN,true,"""C108J12""	""type 1 diabetes mellitus with neuropathic arthropathy""	""Type 1""",
"""18264""",UNKNOWN,true,"""C109J12""	""insulin treated type ii diabetes mellitus""	""Type 2""",
"""18278""",UNKNOWN,true,"""C109J00""	""insulin treated type 2 diabetes mellitus""	""Type 2""",
"""18311""",UNKNOWN,true,"""68A7.00""	""diabetic retinopathy screening""	""Unknown""",
"""18387""",UNKNOWN,true,"""C10E700""	""type 1 diabetes mellitus with retinopathy""	""Type 1""",
"""18390""",UNKNOWN,true,"""C10FM00""	""type 2 diabetes mellitus with persistent microalbuminuria""	""Type 2""",
"""18425""",UNKNOWN,true,"""C10FB00""	""type 2 diabetes mellitus with polyneuropathy""	""Type 2""",
"""18496""",UNKNOWN,true,"""C10F600""	""type 2 diabetes mellitus with retinopathy""	""Type 2""",
"""18505""",UNKNOWN,true,"""C108.11""	""iddm-insulin dependent diabetes mellitus""	""Type 1""",
"""18642""",UNKNOWN,true,"""C10EH00""	""type 1 diabetes mellitus with arthropathy""	""Type 1""",
"""18662""",UNKNOWN,true,"""8HBH.00""	""diabetic retinopathy 6 month review""	""Unknown""",
"""18683""",UNKNOWN,true,"""C10E500""	""type 1 diabetes mellitus with ulcer""	""Type 1""",
"""18747""",UNKNOWN,true,"""8I6F.00""	""diabetic retinopathy screening not indicated""	""Unknown""",
"""18777""",UNKNOWN,true,"""C10F000""	""type 2 diabetes mellitus with renal complications""	""Type 2""",
"""18824""",UNKNOWN,true,"""8I3W.00""	""diabetic foot examination declined""	""Unknown""",
"""19381""",UNKNOWN,true,"""8HTk.00""	""referral to diabetic eye clinic""	""Unknown""",
"""19739""",UNKNOWN,true,"""68A9.00""	""diabetic retinopathy screening offered""	""Unknown""",
"""20696""",UNKNOWN,true,"""66AA.11""	""injection sites - diabetic""	""Unknown""",
"""20900""",UNKNOWN,true,"""9OLA.11""	""diabetes monitored""	""Unknown""",
"""21472""",UNKNOWN,true,"""Q441.00""	""neonatal diabetes mellitus""	""Other""",
"""21482""",UNKNOWN,true,"""C102.00""	""diabetes mellitus with hyperosmolar coma""	""Unknown""",
"""21689""",UNKNOWN,true,"""13AB.00""	""diabetic lipid lowering diet""	""Unknown""",
"""21983""",UNKNOWN,true,"""C108012""	""type 1 diabetes mellitus with renal complications""	""Type 1""",
"""22023""",UNKNOWN,true,"""66AJz00""	""diabetic - poor control nos""	""Unknown""",
"""22130""",UNKNOWN,true,"""9OL3.00""	""diabetes monitoring default""	""Unknown""",
"""22487""",UNKNOWN,true,"""C10N.00""	""secondary diabetes mellitus""	""Other""",
"""22573""",UNKNOWN,true,"""C106z00""	""diabetes mellitus nos with neurological manifestation""	""Unknown""",
"""22823""",UNKNOWN,true,"""66Ab.00""	""diabetic foot examination""	""Unknown""",
"""22871""",UNKNOWN,true,"""C10EP00""	""type 1 diabetes mellitus with exudative maculopathy""	""Type 1""",
"""22884""",UNKNOWN,true,"""C10F.11""	""type ii diabetes mellitus""	""Type 2""",
"""22967""",UNKNOWN,true,"""2BBF.00""	""retinal abnormality - diabetes related""	""Unknown""",
"""2340""",UNKNOWN,true,"""F381311""	""diabetic amyotrophy""	""Unknown""",
"""2342""",UNKNOWN,true,"""F372.12""	""diabetic neuropathy""	""Unknown""",
"""23479""",UNKNOWN,true,"""C350011""	""bronzed diabetes""	""Other""",
"""2378""",UNKNOWN,true,"""66AJ.00""	""diabetic - poor control""	""Unknown""",
"""2379""",UNKNOWN,true,"""9N1Q.00""	""seen in diabetic clinic""	""Unknown""",
"""24327""",UNKNOWN,true,"""M271000""	""ischaemic ulcer diabetic foot""	""Unknown""",
"""24363""",UNKNOWN,true,"""8A13.00""	""diabetic stabilisation""	""Unknown""",
"""24423""",UNKNOWN,true,"""C108.13""	""type i diabetes mellitus""	""Type 1""",
"""24458""",UNKNOWN,true,"""C109711""	""type ii diabetes mellitus - poor control""	""Type 2""",
"""24490""",UNKNOWN,true,"""C100000""	""diabetes mellitus, juvenile type, no mention of complication""	""Type 1""",
"""24571""",UNKNOWN,true,"""F372200""	""asymptomatic diabetic neuropathy""	""Unknown""",
"""24693""",UNKNOWN,true,"""C109G00""	""non-insulin dependent diabetes mellitus with arthropathy""	""Type 2""",
"""24694""",UNKNOWN,true,"""C108B00""	""insulin dependent diabetes mellitus with mononeuropathy""	""Type 1""",
"""2471""",UNKNOWN,true,"""K01x100""	""nephrotic syndrome in diabetes mellitus""	""Unknown""",
"""2475""",UNKNOWN,true,"""C104.11""	""diabetic nephropathy""	""Unknown""",
"""2478""",UNKNOWN,true,"""66AJ100""	""brittle diabetes""	""Unknown""",
"""24836""",UNKNOWN,true,"""C109C12""	""type 2 diabetes mellitus with nephropathy""	""Type 2""",
"""25041""",UNKNOWN,true,"""ZC2CA00""	""dietary advice for type ii diabetes""	""Type 2""",
"""25591""",UNKNOWN,true,"""C10FQ00""	""type 2 diabetes mellitus with exudative maculopathy""	""Type 2""",
"""25627""",UNKNOWN,true,"""C10F700""	""type 2 diabetes mellitus - poor control""	""Type 2""",
"""25636""",UNKNOWN,true,"""66Aa.00""	""diabetic diet - poor compliance""	""Unknown""",
"""26054""",UNKNOWN,true,"""C10FL00""	""type 2 diabetes mellitus with persistent proteinuria""	""Type 2""",
"""26108""",UNKNOWN,true,"""C10B000""	""steroid induced diabetes mellitus without complication""	""Other""",
"""26603""",UNKNOWN,true,"""9OL2.00""	""refuses diabetes monitoring""	""Unknown""",
"""26604""",UNKNOWN,true,"""66AY.00""	""diabetic diet - good compliance""	""Unknown""",
"""26605""",UNKNOWN,true,"""9OLB.00""	""attended diabetes structured education programme""	""Unknown""",
"""26664""",UNKNOWN,true,"""2G5B.00""	""o/e - left diabetic foot at risk""	""Unknown""",
"""26666""",UNKNOWN,true,"""2G5E.00""	""o/e - right diabetic foot at low risk""	""Unknown""",
"""26667""",UNKNOWN,true,"""2G5I.00""	""o/e - left diabetic foot at low risk""	""Unknown""",
"""26855""",UNKNOWN,true,"""C108400""	""unstable insulin dependent diabetes mellitus""	""Type 1""",
"""27891""",UNKNOWN,true,"""N030100""	""diabetic charcot arthropathy""	""Unknown""",
"""28574""",UNKNOWN,true,"""9h4..00""	""exception reporting: diabetes quality indicators""	""Unknown""",
"""28769""",UNKNOWN,true,"""66AV.00""	""diabetic on insulin and oral treatment""	""Type 2""",
"""28856""",UNKNOWN,true,"""8CP2.00""	""transition of diabetes care options discussed""	""Unknown""",
"""28873""",UNKNOWN,true,"""66Ai.00""	""diabetic 6 month review""	""Unknown""",
"""29041""",UNKNOWN,true,"""66AN.00""	""date diabetic treatment start""	""Unknown""",
"""2986""",UNKNOWN,true,"""F420200""	""preproliferative diabetic retinopathy""	""Unknown""",
"""29979""",UNKNOWN,true,"""C109900""	""non-insulin-dependent diabetes mellitus without complication""	""Type 2""",
"""30294""",UNKNOWN,true,"""C10EL00""	""type 1 diabetes mellitus with persistent microalbuminuria""	""Type 1""",
"""30323""",UNKNOWN,true,"""C10EK00""	""type 1 diabetes mellitus with persistent proteinuria""	""Type 1""",
"""30477""",UNKNOWN,true,"""F420700""	""high risk proliferative diabetic retinopathy""	""Unknown""",
"""30648""",UNKNOWN,true,"""9N4p.00""	""did not attend diabetic retinopathy clinic""	""Unknown""",
"""31053""",UNKNOWN,true,"""R054300""	""[d]widespread diabetic foot gangrene""	""Unknown""",
"""31141""",UNKNOWN,true,"""9OL8.00""	""diabetes monitor.phone invite""	""Unknown""",
"""31156""",UNKNOWN,true,"""2G5J.00""	""o/e - left diabetic foot at moderate risk""	""Unknown""",
"""31157""",UNKNOWN,true,"""2G5F.00""	""o/e - right diabetic foot at moderate risk""	""Unknown""",
"""31171""",UNKNOWN,true,"""2G5G.00""	""o/e - right diabetic foot at high risk""	""Unknown""",
"""31172""",UNKNOWN,true,"""2G5K.00""	""o/e - left diabetic foot at high risk""	""Unknown""",
"""31240""",UNKNOWN,true,"""9OL7.00""	""diabetes monitor.verbal invite""	""Unknown""",
"""31241""",UNKNOWN,true,"""9OLZ.00""	""diabetes monitoring admin.nos""	""Unknown""",
"""31310""",UNKNOWN,true,"""C108900""	""insulin dependent diabetes maturity onset""	""Other""",
"""31790""",UNKNOWN,true,"""F372.00""	""polyneuropathy in diabetes""	""Unknown""",
"""32193""",UNKNOWN,true,"""C11y000""	""steroid induced diabetes""	""Other""",
"""32359""",UNKNOWN,true,"""ZRbH.00""	""perceived control of insulin-dependent diabetes""	""Type 1""",
"""32403""",UNKNOWN,true,"""C107.11""	""diabetes mellitus with gangrene""	""Unknown""",
"""32556""",UNKNOWN,true,"""C107.12""	""diabetes with gangrene""	""Unknown""",
"""32619""",UNKNOWN,true,"""66Af.00""	""patient diabetes education review""	""Unknown""",
"""32627""",UNKNOWN,true,"""C10FN00""	""type 2 diabetes mellitus with ketoacidosis""	""Type 2""",
"""32739""",UNKNOWN,true,"""9N0n.00""	""seen in community diabetes specialist clinic""	""Unknown""",
"""32770""",UNKNOWN,true,"""44V3.00""	""glucose tol. test diabetic""	""Unknown""",
"""3286""",UNKNOWN,true,"""F420100""	""proliferative diabetic retinopathy""	""Unknown""",
"""33254""",UNKNOWN,true,"""C105.00""	""diabetes mellitus with ophthalmic manifestation""	""Unknown""",
