code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""dmdcode""	""gemscriptcode""	""productname""	""drugsubstance""	""strength""	""formulation""	""route""	""bnfcode""	""bnfchapter""	""Statin""",
"""9897""",UNKNOWN,true,"408024009	""76618020""	""Rosuvastatin 40mg tablets""	""Rosuvastatin calcium""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Rosuvastatin""",
"""9920""",UNKNOWN,true,"4896511000001103	""87027020""	""Simvador 20mg tablets (Discovery Pharmaceuticals)""	""Simvastatin""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""9930""",UNKNOWN,true,"4172111000001108	""76259020""	""Crestor 40mg tablets (AstraZeneca UK Ltd)""	""Rosuvastatin calcium""	""40mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Rosuvastatin""",
"""10172""",UNKNOWN,true,"414178007	""89246020""	""Simvastatin 40mg / Ezetimibe 10mg tablets""	""Simvastatin/Ezetimibe""	""40mg + 10mg""	""Tablet""	""Oral""	""02120200/02120400""	""Ezetimibe/Statins""	""Other""",
"""10183""",UNKNOWN,true,"240715001000027104	""89260020""	""Simvastatin 40mg with ezetimibe 10mg tablet""	""Simvastatin/Ezetimibe""	""40mg + 10mg""	""Tablets""	""Oral""	""02120200/02120400""	""Ezetimibe/Statins""	""Other""",
"""10206""",UNKNOWN,true,"240725001000027104	""89262020""	""Simvastatin 80mg with ezetimibe 10mg tablet""	""Simvastatin/Ezetimibe""	""80mg + 10mg""	""Tablets""	""Oral""	""02120200/02120400""	""Ezetimibe/Statins""	""Other""",
"""11627""",UNKNOWN,true,"36566411000001104	""75346020""	""Fluvastatin 80mg modified-release tablets""	""Fluvastatin sodium""	""80mg""	""Modified-release tablet""	""Oral""	""02120400""	""Statins""	""fluvastatin""",
"""11815""",UNKNOWN,true,"240705001000027104	""89258020""	""Simvastatin 20mg with ezetimibe 10mg tablet""	""Simvastatin/Ezetimibe""	""20mg + 10mg""	""Tablets""	""Oral""	""02120200/02120400""	""Ezetimibe/Statins""	""Other""",
"""13041""",UNKNOWN,true,"4896211000001101	""87025020""	""Simvador 10mg tablets (Discovery Pharmaceuticals)""	""Simvastatin""	""10mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Simvastatin""",
"""14219""",UNKNOWN,true,"414179004	""89250020""	""Simvastatin 80mg / Ezetimibe 10mg tablets""	""Simvastatin/Ezetimibe""	""80mg + 10mg""	""Tablet""	""Oral""	""02120200/02120400""	""Ezetimibe/Statins""	""Other""",
"""15252""",UNKNOWN,true,"4171311000001101	""76624020""	""Crestor 20mg tablets (AstraZeneca UK Ltd)""	""Rosuvastatin calcium""	""20mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Rosuvastatin""",
"""16186""",UNKNOWN,true,"9310611000001104	""89255020""	""Inegy 10mg/80mg tablets (Merck Sharp & Dohme Ltd)""	""Simvastatin/Ezetimibe""	""80mg + 10mg""	""Tablet""	""Oral""	""02120200/02120400""	""Ezetimibe/Statins""	""Other""",
"""17059""",UNKNOWN,true,"9310311000001108	""89248020""	""Inegy 10mg/40mg tablets (Merck Sharp & Dohme Ltd)""	""Simvastatin/Ezetimibe""	""40mg + 10mg""	""Tablet""	""Oral""	""02120200/02120400""	""Ezetimibe/Statins""	""Other""",
"""17683""",UNKNOWN,true,"756111000001109	""81729020""	""Lipitor 80mg tablets (Pfizer Ltd)""	""Atorvastatin calcium trihydrate""	""80mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Atorvastatin""",
"""17688""",UNKNOWN,true,"9747511000001108	""89883020""	""Crestor 5mg tablets (AstraZeneca UK Ltd)""	""Rosuvastatin calcium""	""5mg""	""Tablet""	""Oral""	""02120400""	""Statins""	""Rosuvastatin""",
"""18442""",UNKNOWN,true,"201215001000027104	""76531020""	""Lipobay 400microgram Tablet (Bayer Plc)""	""Cerivastatin sodium""	""400microgram""	""Tablet""	""Oral""	""02120400""	""Statins""	""Other""",
