code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""SH""	""Group""",
"""43355""",UNKNOWN,true,"""TN85.00""	""injury ?accidental, by crashing of motor vehicle""	1	""unknown intent""",
"""43382""",UNKNOWN,true,"""U40C.00""	""[x]poisoning/exposure, ? intent, to pesticide""	1	""unknown intent""",
"""43891""",UNKNOWN,true,"""TN4..00""	""injury ?accidental, drowning""	1	""unknown intent""",
"""44168""",UNKNOWN,true,"""U4A..00""	""[x]contact with blunt object, undetermined intent""	1	""unknown intent""",
"""44497""",UNKNOWN,true,"""U4y0.00""	""[x]other specified event undetermind intent occurrn at home""	1	""unknown intent""",
"""44508""",UNKNOWN,true,"""U204000""	""[x]int self poison/exposure to psychotropic drug at home""	1	""self harm""",
"""44530""",UNKNOWN,true,"""U202000""	""[x]int self poison/exposure to sedative hypnotic at home""	1	""self harm""",
"""44827""",UNKNOWN,true,"""U47..00""	""[x]exposure to smoke, fire and flames, undetermined intent""	1	""unknown intent""",
"""44886""",UNKNOWN,true,"""U200.12""	""[x]overdose - ibuprofen""	1	""unknown intent""",
"""45166""",UNKNOWN,true,"""U2D0.00""	""[x]intent self harm by crash of motor vehicl occurrn at home""	1	""self harm""",
"""45709""",UNKNOWN,true,"""U25..00""	""[x]intent self harm by other/unspecified firearm discharge""	1	""self harm""",
"""45710""",UNKNOWN,true,"""U205.00""	""[x]intent self poison/exposure to narcotic drug""	1	""self harm""",
"""45748""",UNKNOWN,true,"""U202.12""	""[x]overdose - diazepam""	1	""unknown intent""",
"""45796""",UNKNOWN,true,"""U72..00""	""[x]sequel intentn self-harm assault+event of undeterm intent""	1	""self harm""",
"""46144""",UNKNOWN,true,"""U49..00""	""[x]contact with sharp object, undetermined intent""	1	""unknown intent""",
"""46154""",UNKNOWN,true,"""ZX15.00""	""drowning self""	1	""self harm""",
"""46280""",UNKNOWN,true,"""U204.11""	""[x]overdose - antidepressant""	1	""unknown intent""",
"""46456""",UNKNOWN,true,"""TKx1.00""	""suicide and selfinflicted injury by burns or fire""	1	""self harm""",
"""46623""",UNKNOWN,true,"""TN84.00""	""injury ?accidental, by electrocution""	1	""unknown intent""",
"""46747""",UNKNOWN,true,"""U2B..00""	""[x]intentional self harm by jumping from a high place""	1	""self harm""",
"""47283""",UNKNOWN,true,"""ZX11.11""	""bites self""	1	""self harm""",
"""47501""",UNKNOWN,true,"""TKx..00""	""suicide and selfinflicted injury by other means""	1	""self harm""",
"""47623""",UNKNOWN,true,"""ZX1..12""	""sib - self-injurious behaviour""	1	""self harm""",
"""48238""",UNKNOWN,true,"""TN55.00""	""injury ?accidental, by explosive""	1	""unknown intent""",
"""48324""",UNKNOWN,true,"""U202.16""	""[x]overdose - benzodiazepine""	1	""unknown intent""",
"""48345""",UNKNOWN,true,"""ZX1N.00""	""stabbing self""	1	""self harm""",
"""48871""",UNKNOWN,true,"""TK20.00""	""suicide + selfinflicted poisoning by motor veh exhaust gas""	1	""self harm""",
"""48934""",UNKNOWN,true,"""U200000""	""[x]int self poison/exposure to nonopioid analgesic at home""	1	""self harm""",
"""49135""",UNKNOWN,true,"""TK1y.00""	""suicide and selfinflicted poisoning by other utility gas""	1	""self harm""",
"""49552""",UNKNOWN,true,"""U202.17""	""[x]overdose - barbiturate""	1	""unknown intent""",
"""50482""",UNKNOWN,true,"""ZX1J.00""	""self-electrocution""	1	""self harm""",
