code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""desc""	""BMICat""",
"""1018""",UNKNOWN,true,"""1622.00""	""weight increasing""	""None""",
"""1581""",UNKNOWN,true,"""162..00""	""weight symptom""	""None""",
"""3355""",UNKNOWN,true,"""66C9.11""	""weight loss advised""	""Overweight""",
"""3646""",UNKNOWN,true,"""R034100""	""[d]failure to gain weight""	""None""",
"""3647""",UNKNOWN,true,"""R032.00""	""[d]abnormal loss of weight""	""None""",
"""4663""",UNKNOWN,true,"""1625.00""	""abnormal weight loss""	""None""",
"""5812""",UNKNOWN,true,"""1625.11""	""abnormal weight loss - symptom""	""None""",
"""6533""",UNKNOWN,true,"""R031.00""	""[d]abnormal weight gain""	""None""",
"""8041""",UNKNOWN,true,"""66C..11""	""weight monitoring""	""None""",
"""8481""",UNKNOWN,true,"""66CC.00""	""wants to lose weight""	""None""",
"""8964""",UNKNOWN,true,"""8B57.00""	""weight reducing diet""	""Overweight""",
"""11443""",UNKNOWN,true,"""ZC1..00""	""actions to lose weight""	""None""",
"""11763""",UNKNOWN,true,"""ZC2C700""	""patient advised about weight-reducing diet""	""Overweight""",
"""11882""",UNKNOWN,true,"""67I9.00""	""advice about weight""	""None""",
"""12398""",UNKNOWN,true,"""1D1A.00""	""complaining of weight loss""	""None""",
"""12521""",UNKNOWN,true,"""L161.11""	""excessive weight gain in pregnancy""	""None""",
"""13056""",UNKNOWN,true,"""679P.00""	""health education - weight management""	""None""",
"""13076""",UNKNOWN,true,"""13A3.00""	""weight reducing diet""	""Overweight""",
"""14763""",UNKNOWN,true,"""1621.00""	""weight steady""	""None""",
"""14764""",UNKNOWN,true,"""162Z.00""	""weight symptom nos""	""None""",
"""17470""",UNKNOWN,true,"""6878.00""	""obesity screen""	""None""",
"""17897""",UNKNOWN,true,"""ZV77800""	""[v]screening for obesity""	""None""",
"""17949""",UNKNOWN,true,"""6878.11""	""weight screen""	""None""",
"""19208""",UNKNOWN,true,"""1624.00""	""abnormal weight gain""	""None""",
"""20118""",UNKNOWN,true,"""62O..12""	""static weight gain pregnancy""	""None""",
"""20915""",UNKNOWN,true,"""C38z100""	""adiposity""	""Overweight""",
"""21520""",UNKNOWN,true,"""22AZ.00""	""o/e - weight nos""	""None""",
"""22142""",UNKNOWN,true,"""ZG53.00""	""advice about weight""	""None""",
"""22343""",UNKNOWN,true,"""ZC17.00""	""exercising to lose weight""	""None""",
"""23376""",UNKNOWN,true,"""22A3.00""	""o/e - weight within 10% ideal""	""None""",
"""25061""",UNKNOWN,true,"""66CB.00""	""ideal weight""	""None""",
"""25951""",UNKNOWN,true,"""8HHH.00""	""refer to weight management programme""	""None""",
"""26182""",UNKNOWN,true,"""66CH.00""	""weight management plan started""	""None""",
"""26351""",UNKNOWN,true,"""1626.00""	""intentional weight loss""	""None""",
"""26415""",UNKNOWN,true,"""66CA.00""	""ideal weight discussed""	""None""",
"""28107""",UNKNOWN,true,"""L161.00""	""oedema or excessive weight gain in pregnancy no hypertension""	""None""",
"""29721""",UNKNOWN,true,"""66CD.00""	""difficulty maintaining weight loss""	""None""",
"""32879""",UNKNOWN,true,"""66CG.00""	""weight management programme offered""	""None""",
"""34363""",UNKNOWN,true,"""1621.11""	""weight static""	""None""",
"""35079""",UNKNOWN,true,"""ZC16.00""	""abuse of drugs to lose weight""	""None""",
"""35407""",UNKNOWN,true,"""66CJ.00""	""weight management plan completed""	""None""",
"""36019""",UNKNOWN,true,"""C381.00""	""localised adiposity - fat pad""	""Overweight""",
"""37937""",UNKNOWN,true,"""22A8.00""	""weight loss from baseline weight""	""None""",
"""38543""",UNKNOWN,true,"""E202z11""	""weight fixation""	""None""",
"""42309""",UNKNOWN,true,"""22A7.00""	""baseline weight""	""None""",
"""43000""",UNKNOWN,true,"""L16D.00""	""excessive weight gain in pregnancy""	""None""",
"""43806""",UNKNOWN,true,"""ZC1A.00""	""excessive exercising to lose weight""	""None""",
"""47626""",UNKNOWN,true,"""Z7D1500""	""overestimates own body weight""	""None""",
"""49407""",UNKNOWN,true,"""L2B..00""	""low weight gain in pregnancy""	""None""",
"""52605""",UNKNOWN,true,"""ZC15.00""	""self-induced vomiting to lose weight""	""None""",
"""53921""",UNKNOWN,true,"""L161000""	""oedema or excessive weight gain in pregnancy, unspecified""	""None""",
"""56117""",UNKNOWN,true,"""Z7D1600""	""underestimates own body weight""	""None""",
"""57111""",UNKNOWN,true,"""22Z..00""	""height and weight""	""None""",
"""61420""",UNKNOWN,true,"""ZC2CN00""	""dietary advice for weight gain""	""None""",
"""61563""",UNKNOWN,true,"""L161300""	""oedema or excessive weight gain in pregnancy - not delivered""	""None""",
"""61835""",UNKNOWN,true,"""L161z00""	""oedema or excessive weight gain in pregnancy nos""	""None""",
"""67437""",UNKNOWN,true,"""9N4v.00""	""did not attend weight monitoring clinic""	""None""",
"""94885""",UNKNOWN,true,"""6B4..00""	""counterweight weight management programme""	""Overweight""",
"""96348""",UNKNOWN,true,"""6B4..11""	""counterweight programme""	""Overweight""",
"""98136""",UNKNOWN,true,"""8IAM.00""	""referral to weight management service declined""	""None""",
"""98344""",UNKNOWN,true,"""8IAH.00""	""body weight measurement declined""	""None""",
"""101043""",UNKNOWN,true,"""8Cd7.00""	""advice given about weight management""	""None""",
"""101444""",UNKNOWN,true,"""8IAu.00""	""weight management advice declined""	""None""",
"""102295""",UNKNOWN,true,"""14f..11""	""history of attempted weight loss""	""None""",
"""102439""",UNKNOWN,true,"""66CV.00""	""reason for initial weight gain""	""None""",
"""102563""",UNKNOWN,true,"""1627.00""	""unintentional weight loss""	""None""",
"""102566""",UNKNOWN,true,"""9NS0300""	""referral to weight management service offered""	""None""",
"""102631""",UNKNOWN,true,"""8CP5.00""	""discussion about weight management programme""	""None""",
"""102645""",UNKNOWN,true,"""8HHH000""	""referral to local authority weight management programme""	""None""",
"""102852""",UNKNOWN,true,"""9NiX.00""	""dna weight management special interest gp clinic""	""None""",
"""102856""",UNKNOWN,true,"""1628.00""	""pattern of weight gain""	""None""",
"""103195""",UNKNOWN,true,"""14f..00""	""h/o: attempted weight loss""	""None""",
"""103849""",UNKNOWN,true,"""8CdC.00""	""weight management service opportunity signposted""	""None""",
"""103926""",UNKNOWN,true,"""9c01000""	""expectation of weight management programme""	""None""",
"""104002""",UNKNOWN,true,"""22A9.00""	""percentage weight loss""	""None""",
"""105170""",UNKNOWN,true,"""67K9.00""	""cycle of change stage, weight management""	""None""",
"""105258""",UNKNOWN,true,"""22Y4.00""	""total body fat""	""None""",
"""105396""",UNKNOWN,true,"""8H4n.00""	""referral to weight management special interest gp""	""None""",
"""105791""",UNKNOWN,true,"""22K9000""	""baseline body mass index centile""	""None""",
"""106030""",UNKNOWN,true,"""66CW.00""	""unsuitable for weight management programme""	""None""",
"""107431""",UNKNOWN,true,"""9N1yK00""	""seen in weight management clinic""	""None""",
"""108278""",UNKNOWN,true,"""66Cd.00""	""intensive weight management programme declined""	""None""",
"""108351""",UNKNOWN,true,"""1629.00""	""unintentional weight gain""	""None""",
"""108608""",UNKNOWN,true,"""66Cb.00""	""intensive weight management programme commenced""	""None""",
"""110331""",UNKNOWN,true,"""66Cc.00""	""intensive weight management programme ended""	""None""",
"""110708""",UNKNOWN,true,"""8HHH100""	""referral to residential weight management programme""	""None""",
"""111889""",UNKNOWN,true,"""66Ca.00""	""weight loss confidence score""	""None""",
"""112985""",UNKNOWN,true,"""66CY.00""	""weight loss importance score""	""None""",
"""114994""",UNKNOWN,true,"""64k..00""	""down's syndrome weight centile""	""None""",
"""11458""",UNKNOWN,true,"""8CA4000""	""pt advised re wt reducing diet""	""Overweight""",
"""21744""",UNKNOWN,true,"""9OK..11""	""obesity clinic administration""	""Obese""",
"""57410""",UNKNOWN,true,"""C233.00""	""mild protein energy malnutrition""	""Underweight""",
"""98680""",UNKNOWN,true,"""C230.00""	""moderate protein-calorie malnutrition (wt for age 60-74%)""	""Underweight""",
