code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""readcode""	""clinicalevents""	""immunisationevents""	""referralevents""	""testevents""	""term""	""databaserelease""	""period""",
"""106170""",UNKNOWN,true,"""L21zz00""	3	0	0	0	""multiple pregnancy nos""	""May 2013""	""unspecified""",
"""47925""",UNKNOWN,true,"""4443100""	8	0	2	1	""hpl - human placental lactogen abnormal""	""February 2009""	""late pregnancy""",
"""24243""",UNKNOWN,true,"""L263400""	20	0	1	0	""labour and delivery complic by meconium in amniotic fluid""	""February 2009""	""late pregnancy""",
"""97459""",UNKNOWN,true,"""L300700""	2	0	0	0	""obstructed labour due to compound presentation""	""August 2009""	""postnatal""",
"""64976""",UNKNOWN,true,"""Z243200""	3	0	0	0	""first stage of labour not established""	""February 2009""	""postnatal""",
"""53660""",UNKNOWN,true,"""L451100""	26	0	2	0	""obstetric breast abscess - delivered""	""February 2009""	""unspecified""",
"""5357""",UNKNOWN,true,"""7E08500""	1116	0	54	0	""dilation of cervix and extraction termination of pregnancy""	""February 2009""	""unspecified""",
"""73308""",UNKNOWN,true,"""L29z.00""	16	0	0	0	""problems affecting labour nos""	""February 2009""	""postnatal""",
"""23009""",UNKNOWN,true,"""Q213.11""	358	0	0	0	""fetal distress in labour - liveborn""	""February 2009""	""postnatal""",
"""15828""",UNKNOWN,true,"""14Y4.00""	3348	0	18	0	""born by breech delivery""	""February 2009""	""postnatal""",
"""66578""",UNKNOWN,true,"""L31..00""	7	0	1	0	""abnormal forces of labour""	""February 2009""	""postnatal""",
"""4243""",UNKNOWN,true,"""L466.00""	8473	0	1463	35	""galactorrhoea in pregnancy and the puerperium""	""February 2009""	""postnatal""",
"""70092""",UNKNOWN,true,"""L460.00""	112	0	1	0	""retracted nipple in pregnancy, the puerperium or lactation""	""February 2009""	""postnatal""",
"""16995""",UNKNOWN,true,"""L462.00""	1633	0	3	0	""breast engorgement in pregnancy, the puerperium or lactation""	""February 2009""	""postnatal""",
"""112102""",UNKNOWN,true,"""L092200""	1	0	0	0	""broad ligament damage following abortive pregnancy""	""September 2017""	""unspecified""",
"""14899""",UNKNOWN,true,"""621Z.00""	42925	0	1537	2	""patient pregnant nos""	""February 2009""	""early pregnancy""",
"""61563""",UNKNOWN,true,"""L161300""	42	0	0	0	""oedema or excessive weight gain in pregnancy - not delivered""	""February 2009""	""unspecified""",
"""13432""",UNKNOWN,true,"""63D..00""	96980	0	1	1	""placental details""	""February 2009""	""late pregnancy""",
"""64523""",UNKNOWN,true,"""L091z00""	12	0	0	0	""delayed/excess haemorrhage nos following abortive pregnancy""	""February 2009""	""unspecified""",
"""20621""",UNKNOWN,true,"""ZV25313""	90	0	17	0	""[v]admission for termination of pregnancy""	""February 2009""	""unspecified""",
"""20910""",UNKNOWN,true,"""ZV25311""	101	0	1	0	""[v]admission for termination of pregnancy (top)""	""February 2009""	""unspecified""",
"""70149""",UNKNOWN,true,"""L16A100""	2	0	0	0	""glycosuria during pregnancy - delivered""	""February 2009""	""unspecified""",
"""59573""",UNKNOWN,true,"""L176500""	28	0	0	0	""viral hepatitis comp pregnancy, childbirth & the puerperium""	""February 2009""	""postnatal""",
"""14540""",UNKNOWN,true,"""4JL3.11""	1	0	0	4	""amniotic fluid for c/s""	""February 2009""	""late pregnancy""",
