code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""Antidiabetic""	""group""	""database""",
"""720441000033110""",UNKNOWN,true,"""Humulin M5  Cartridges (1.5 Ml)""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""720541000033111""",UNKNOWN,true,"""Humalog 100units/ml solution for injection 1.5ml cartridges""	""Solution for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""720941000033117""",UNKNOWN,true,"""Human Actrapid Penfill  Cartridges (3 Ml)  100 units/ml""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""721041000033110""",UNKNOWN,true,"""Human Actrapid Penfill 100units/ml solution for injection 1.5ml cartridges""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""721141000033114""",UNKNOWN,true,"""Humulin M5 50/50  Cartridges""	NA	NA	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""721641000033116""",UNKNOWN,true,"""Human Insulatard Ge  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""722841000033112""",UNKNOWN,true,"""Humulin M5 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml + 50.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""722941000033116""",UNKNOWN,true,"""Human Mixtard 30 Ge  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""723241000033118""",UNKNOWN,true,"""Humalog 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous/ Intramuscular""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""724041000033112""",UNKNOWN,true,"""Humulin I 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""724141000033111""",UNKNOWN,true,"""Humulin M1  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""724241000033116""",UNKNOWN,true,"""Humulin M2  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""724341000033114""",UNKNOWN,true,"""Humulin S 100units/ml solution for injection 10ml vials""	""Solution for injection""	""Subcutaneous/ Intravenous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""724541000033119""",UNKNOWN,true,"""Humulin Zn 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""100.000unit/1.000ml + 100.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""725041000033113""",UNKNOWN,true,"""Human Actraphane(Nova)  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""725141000033112""",UNKNOWN,true,"""Human Initard 50/50 Insulin  Injection  100 units/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""725241000033117""",UNKNOWN,true,"""Humulin M4  Injection""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
"""725341000033110""",UNKNOWN,true,"""Humulin M3 100units/ml suspension for injection 10ml vials""	""Suspension for injection""	""Subcutaneous""	""Insulin""	""70.000unit/1.000ml + 70.000unit/1.000ml + 30.000unit/1.000ml + 30.000unit/1.000ml""	""Insulin""	""Insulin""	""Aurum""",
"""725541000033115""",UNKNOWN,true,"""Human Velosulin  Injection  100 u/ml""	""Solution for injection""	""Intramuscular""	""Insulin""	NA	""Insulin""	""Insulin""	""Aurum""",
