code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""DPP4i""",
"""8959241000033118""",UNKNOWN,true,"""Alogliptin 6.25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Alogliptin""	""6.250mg""	""06010203""	""Alogliptin""",
"""8959341000033111""",UNKNOWN,true,"""Alogliptin 12.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Alogliptin""	""12.500mg""	""06010203""	""Alogliptin""",
"""8959441000033117""",UNKNOWN,true,"""Alogliptin 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Alogliptin""	""25.000mg""	""06010203""	""Alogliptin""",
"""8959541000033116""",UNKNOWN,true,"""Vipidia 6.25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Alogliptin""	""6.250mg""	NA	""Alogliptin""",
"""8959641000033115""",UNKNOWN,true,"""Vipidia 12.5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Alogliptin""	""12.500mg""	NA	""Alogliptin""",
"""8959741000033112""",UNKNOWN,true,"""Vipidia 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Alogliptin""	""25.000mg""	NA	""Alogliptin""",
"""8959841000033119""",UNKNOWN,true,"""Alogliptin 12.5mg / Metformin 1g tablets""	""Tablet/ Oral Tablet""	""Oral""	""Alogliptin""	""12.500mg + 1.000gram""	""06010203""	""Alogliptin""",
"""8959941000033110""",UNKNOWN,true,"""Vipdomet 12.5mg/1000mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Alogliptin""	""12.500mg + 1.000gram""	NA	""Alogliptin""",
"""11898041000033111""",UNKNOWN,true,"""Saxagliptin 5mg / Dapagliflozin 10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Saxagliptin""	""10.000mg + 5.000mg""	""06010203""	""Saxagliptin""",
"""11898141000033110""",UNKNOWN,true,"""Qtern 5mg/10mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Saxagliptin""	""10.000mg + 5.000mg""	NA	""Saxagliptin""",
"""13116741000033112""",UNKNOWN,true,"""Empagliflozin 10mg / Linagliptin 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""10.000mg + 5.000mg""	""06010203""	""Linagliptin""",
"""13116841000033119""",UNKNOWN,true,"""Empagliflozin 25mg / Linagliptin 5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""25.000mg + 5.000mg""	""06010203""	""Linagliptin""",
"""13116941000033110""",UNKNOWN,true,"""Glyxambi 10mg/5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""10.000mg + 5.000mg""	NA	""Linagliptin""",
"""13117041000033111""",UNKNOWN,true,"""Glyxambi 25mg/5mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Linagliptin""	""25.000mg + 5.000mg""	NA	""Linagliptin""",
"""14121441000033118""",UNKNOWN,true,"""Sitagliptin 100mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Sitagliptin""	""20.000mg/1.000ml""	""06010203""	""Sitagliptin""",
"""14219541000033113""",UNKNOWN,true,"""Sitagliptin 125mg/5ml oral solution sugar free""	""Oral solution""	""Oral""	""Sitagliptin""	""25.000mg/1.000ml""	""06010203""	""Sitagliptin""",
