code,code_system,include,term,notes
"""medcode""",UNKNOWN,true,"""Read.code""	""Term""	""Group""",
"""14784""",UNKNOWN,true,"""E117""	""Unspecified bipolar affective disorder""	""bipolar""",
"""49763""",UNKNOWN,true,"""E1170""	""\\""Unspecified bipolar affective disorder, unspecified\\""""	""bipolar""",
"""63698""",UNKNOWN,true,"""E1171""	""\\""Unspecified bipolar affective disorder, mild\\""""	""bipolar""",
"""68647""",UNKNOWN,true,"""E1172""	""\\""Unspecified bipolar affective disorder, moderate\\""""	""bipolar""",
"""73423""",UNKNOWN,true,"""E1173""	""\\""Unspecified bipolar affective disorder, severe, no psychosis\\""""	""bipolar""",
"""68326""",UNKNOWN,true,"""E1174""	""\\""Unspecified bipolar affective disorder,severe with psychosis\\""""	""bipolar""",
"""70721""",UNKNOWN,true,"""E1175""	""\\""Unspecified bipolar affect disord, partial/unspec remission\\""""	""bipolar""",
"""24230""",UNKNOWN,true,"""E1176""	""\\""Unspecified bipolar affective disorder, in full remission\\""""	""bipolar""",
"""27986""",UNKNOWN,true,"""E117z""	""\\""Unspecified bipolar affective disorder, NOS\\""""	""bipolar""",
"""60178""",UNKNOWN,true,"""E11y""	""Other and unspecified manic-depressive psychoses""	""bipolar""",
"""11596""",UNKNOWN,true,"""E11y0""	""Unspecified manic-depressive psychoses""	""bipolar""",
"""70925""",UNKNOWN,true,"""E11y1""	""Atypical manic disorder""	""bipolar""",
"""70399""",UNKNOWN,true,"""E11y3""	""Other mixed manic-depressive psychoses""	""bipolar""",
"""33426""",UNKNOWN,true,"""E11yz""	""Other and unspecified manic-depressive psychoses NOS""	""bipolar""",
"""41992""",UNKNOWN,true,"""E11z""	""Other and unspecified affective psychoses""	""bipolar""",
"""54607""",UNKNOWN,true,"""E11z0""	""Unspecified affective psychoses NOS""	""bipolar""",
"""33425""",UNKNOWN,true,"""E11zz""	""Other affective psychosis NOS""	""bipolar""",
"""4261""",UNKNOWN,true,"""E12""	""Paranoid states""	""other psychosis""",
"""14743""",UNKNOWN,true,"""E120""	""Simple paranoid state""	""other psychosis""",
"""3890""",UNKNOWN,true,"""E121""	""Chronic paranoid psychosis""	""other psychosis""",
"""109634""",UNKNOWN,true,"""E121-1""	""Sander's disease""	""other psychosis""",
"""14971""",UNKNOWN,true,"""E122""	""Paraphrenia""	""other psychosis""",
"""62680""",UNKNOWN,true,"""E123""	""Shared paranoid disorder""	""other psychosis""",
"""50868""",UNKNOWN,true,"""E123-1""	""Folie a deux""	""other psychosis""",
"""31589""",UNKNOWN,true,"""E12y""	""Other paranoid states""	""other psychosis""",
"""66766""",UNKNOWN,true,"""E12y0""	""Paranoia querulans""	""other psychosis""",
"""31455""",UNKNOWN,true,"""E12yz""	""Other paranoid states NOS""	""other psychosis""",
"""12771""",UNKNOWN,true,"""E12z""	""Paranoid psychosis NOS""	""other psychosis""",
"""31984""",UNKNOWN,true,"""E13""	""Other nonorganic psychoses""	""other psychosis""",
"""20228""",UNKNOWN,true,"""E13-1""	""Reactive psychoses""	""other psychosis""",
"""15053""",UNKNOWN,true,"""E133""	""Acute paranoid reaction""	""other psychosis""",
"""68058""",UNKNOWN,true,"""E133-1""	""Bouffee delirante""	""other psychosis""",
"""24345""",UNKNOWN,true,"""E134""	""Psychogenic paranoid psychosis""	""other psychosis""",
"""16333""",UNKNOWN,true,"""E13y""	""Other reactive psychoses""	""other psychosis""",
"""22117""",UNKNOWN,true,"""E13y0""	""Psychogenic stupor""	""other psychosis""",
"""23538""",UNKNOWN,true,"""E13y1""	""Brief reactive psychosis""	""other psychosis""",
"""26119""",UNKNOWN,true,"""E13yz""	""Other reactive psychoses NOS""	""other psychosis""",
"""14965""",UNKNOWN,true,"""E13z""	""Nonorganic psychosis NOS""	""other psychosis""",
"""3636""",UNKNOWN,true,"""E13z-1""	""Psychotic episode NOS""	""other psychosis""",
"""16537""",UNKNOWN,true,"""E1y""	""Other specified non-organic psychoses""	""other psychosis""",
"""22188""",UNKNOWN,true,"""E1z""	""Non-organic psychosis NOS""	""other psychosis""",
"""61969""",UNKNOWN,true,"""E2122""	""Schizotypal personality""	""other psychosis""",
"""8766""",UNKNOWN,true,"""Eu0z-2""	""[X]Symptomatic psychosis NOS""	""other psychosis""",
"""17281""",UNKNOWN,true,"""Eu2""	""\\""[X]Schizophrenia, schizotypal and delusional disorders\\""""	""other psychosis""",
"""34236""",UNKNOWN,true,"""Eu20""	""[X]Schizophrenia""	""schizophrenia""",
"""16764""",UNKNOWN,true,"""Eu200""	""[X]Paranoid schizophrenia""	""schizophrenia""",
"""50060""",UNKNOWN,true,"""Eu200-1""	""[X]Paraphrenic schizophrenia""	""schizophrenia""",
"""43405""",UNKNOWN,true,"""Eu201""	""[X]Hebephrenic schizophrenia""	""schizophrenia""",
"""53985""",UNKNOWN,true,"""Eu201-1""	""[X]Disorganised schizophrenia""	""schizophrenia""",
"""61501""",UNKNOWN,true,"""Eu202""	""[X]Catatonic schizophrenia""	""schizophrenia""",
"""20572""",UNKNOWN,true,"""Eu202-1""	""[X]Catatonic stupor""	""schizophrenia""",
"""64533""",UNKNOWN,true,"""Eu202-2""	""[X]Schizophrenic catalepsy""	""schizophrenia""",
"""35877""",UNKNOWN,true,"""Eu202-3""	""[X]Schizophrenic catatonia""	""schizophrenia""",
"""31493""",UNKNOWN,true,"""Eu202-4""	""[X]Schizophrenic flexibilatis cerea""	""schizophrenia""",
"""60013""",UNKNOWN,true,"""Eu203""	""[X]Undifferentiated schizophrenia""	""schizophrenia""",
"""91547""",UNKNOWN,true,"""Eu203-1""	""[X]Atypical schizophrenia""	""schizophrenia""",
"""20785""",UNKNOWN,true,"""Eu204""	""[X]Post-schizophrenic depression""	""schizophrenia""",
"""64264""",UNKNOWN,true,"""Eu205""	""[X]Residual schizophrenia""	""schizophrenia""",
"""24107""",UNKNOWN,true,"""Eu205-1""	""[X]Chronic undifferentiated schizophrenia""	""schizophrenia""",
"""35848""",UNKNOWN,true,"""Eu206""	""[X]Simple schizophrenia""	""schizophrenia""",
"""49420""",UNKNOWN,true,"""Eu20y""	""[X]Other schizophrenia""	""schizophrenia""",
"""94001""",UNKNOWN,true,"""Eu20y-2""	""[X]Schizophreniform disord NOS""	""schizophrenia""",
"""18053""",UNKNOWN,true,"""Eu20y-3""	""[X]Schizophrenifrm psychos NOS""	""schizophrenia""",
"""34966""",UNKNOWN,true,"""Eu20z""	""\\""[X]Schizophrenia, unspecified\\""""	""schizophrenia""",
"""39316""",UNKNOWN,true,"""Eu21""	""[X]Schizotypal disorder""	""other psychosis""",
"""91511""",UNKNOWN,true,"""Eu21-1""	""[X]Latent schizophrenic reaction""	""other psychosis""",
"""54387""",UNKNOWN,true,"""Eu21-2""	""[X]Borderline schizophrenia""	""other psychosis""",
"""64993""",UNKNOWN,true,"""Eu21-3""	""[X]Latent schizophrenia""	""other psychosis""",
"""62449""",UNKNOWN,true,"""Eu21-4""	""[X]Prepsychotic schizophrenia""	""other psychosis""",
"""40386""",UNKNOWN,true,"""Eu21-5""	""[X]Prodromal schizophrenia""	""other psychosis""",
"""49852""",UNKNOWN,true,"""Eu21-6""	""[X]Pseudoneurotic schizophrenia""	""other psychosis""",
"""71250""",UNKNOWN,true,"""Eu21-7""	""[X]Pseudopsychopathic schizophrenia""	""other psychosis""",
"""26859""",UNKNOWN,true,"""Eu21-8""	""[X]Schizotypal personality disorder""	""other psychosis""",
"""28562""",UNKNOWN,true,"""Eu22""	""[X]Persistent delusional disorders""	""other psychosis""",
"""34389""",UNKNOWN,true,"""Eu220""	""[X]Delusional disorder""	""other psychosis""",
"""2113""",UNKNOWN,true,"""Eu220-1""	""[X]Paranoid psychosis""	""other psychosis""",
"""11172""",UNKNOWN,true,"""Eu220-2""	""[X]Paranoid state""	""other psychosis""",
"""47947""",UNKNOWN,true,"""Eu220-3""	""[X]Paraphrenia - late""	""other psychosis""",
"""65127""",UNKNOWN,true,"""Eu220-4""	""[X]Sensitiver Beziehungswahn""	""other psychosis""",
"""4843""",UNKNOWN,true,"""Eu220-5""	""[X]Paranoia""	""other psychosis""",
"""62405""",UNKNOWN,true,"""Eu221""	""[X]Delusional misidentification syndrome""	""other psychosis""",
"""55221""",UNKNOWN,true,"""Eu221-1""	""[X]Capgras syndrome""	""other psychosis""",
"""101720""",UNKNOWN,true,"""Eu223""	""[X]Paranoid state in remission""	""other psychosis""",
"""66077""",UNKNOWN,true,"""Eu22y""	""[X]Other persistent delusional disorders""	""other psychosis""",
"""40981""",UNKNOWN,true,"""Eu22y-1""	""[X]Delusional dysmorphophobia""	""other psychosis""",
"""50248""",UNKNOWN,true,"""Eu22y-2""	""[X]Involutional paranoid state""	""other psychosis""",
"""55236""",UNKNOWN,true,"""Eu22y-3""	""[X]Paranoia querulans""	""other psychosis""",
"""49223""",UNKNOWN,true,"""Eu22z""	""\\""[X]Persistent delusional disorder, unspecified\\""""	""other psychosis""",
"""25019""",UNKNOWN,true,"""Eu23""	""[X]Acute and transient psychotic disorders""	""other psychosis""",
"""36720""",UNKNOWN,true,"""Eu230""	""[X]Acute polymorphic psychot disord without symp of schizoph""	""other psychosis""",
"""50023""",UNKNOWN,true,"""Eu230-1""	""[X]Bouffee delirante""	""other psychosis""",
"""21455""",UNKNOWN,true,"""Eu230-2""	""[X]Cycloid psychosis""	""other psychosis""",
"""21595""",UNKNOWN,true,"""Eu231""	""[X]Acute polymorphic psychot disord with symp of schizophren""	""other psychosis""",
"""115050""",UNKNOWN,true,"""Eu231-1""	""[X]Bouffee delirante with symptoms of schizophrenia""	""other psychosis""",
"""26143""",UNKNOWN,true,"""Eu231-2""	""[X]Cycloid psychosis with symptoms of schizophrenia""	""other psychosis""",
"""11778""",UNKNOWN,true,"""Eu232""	""[X]Acute schizophrenia-like psychotic disorder""	""other psychosis""",
"""59096""",UNKNOWN,true,"""Eu232-1""	""[X]Brief schizophreniform disorder""	""other psychosis""",
"""70884""",UNKNOWN,true,"""Eu232-2""	""[X]Brief schizophrenifrm psych""	""other psychosis""",
"""94604""",UNKNOWN,true,"""Eu232-4""	""[X]Schizophrenic reaction""	""other psychosis""",
"""44307""",UNKNOWN,true,"""Eu233""	""[X]Other acute predominantly delusional psychotic disorders""	""other psychosis""",
"""27770""",UNKNOWN,true,"""Eu233-2""	""[X]Psychogenic paranoid psychosis""	""other psychosis""",
"""44503""",UNKNOWN,true,"""Eu23y""	""[X]Other acute and transient psychotic disorders""	""other psychosis""",
"""34168""",UNKNOWN,true,"""Eu23z""	""\\""[X]Acute and transient psychotic disorder, unspecified\\""""	""other psychosis""",
"""31707""",UNKNOWN,true,"""Eu23z-1""	""\\""[X]Acute and transient psychotic disorder, unspecified\\""""	""other psychosis""",
"""29651""",UNKNOWN,true,"""Eu23z-2""	""[X]Reactive psychosis""	""other psychosis""",
"""51302""",UNKNOWN,true,"""Eu24""	""[X]Induced delusional disorder""	""other psychosis""",
"""105606""",UNKNOWN,true,"""Eu24-1""	""[X]Folie a deux""	""other psychosis""",
"""47230""",UNKNOWN,true,"""Eu24-2""	""[X]Induced paranoid disorder""	""other psychosis""",
"""11973""",UNKNOWN,true,"""Eu24-3""	""[X]Induced psychotic disorder""	""other psychosis""",
"""9422""",UNKNOWN,true,"""Eu25""	""[X]Schizoaffective disorders""	""other psychosis""",
"""33847""",UNKNOWN,true,"""Eu250""	""\\""[X]Schizoaffective disorder, manic type\\""""	""other psychosis""",
"""16905""",UNKNOWN,true,"""Eu250-1""	""\\""[X]Schizoaffective psychosis, manic type\\""""	""other psychosis""",
"""51903""",UNKNOWN,true,"""Eu250-2""	""\\""[X]Schizophreniform psychosis, manic type\\""""	""other psychosis""",
"""11055""",UNKNOWN,true,"""Eu251""	""\\""[X]Schizoaffective disorder, depressive type\\""""	""other psychosis""",
"""35274""",UNKNOWN,true,"""Eu251-1""	""\\""[X]Schizoaffective psychosis, depressive type\\""""	""other psychosis""",
"""41022""",UNKNOWN,true,"""Eu251-2""	""\\""[X]Schizophreniform psychosis, depressive type\\""""	""other psychosis""",
"""33693""",UNKNOWN,true,"""Eu252""	""\\""[X]Schizoaffective disorder, mixed type\\""""	""other psychosis""",
"""104763""",UNKNOWN,true,"""Eu252-1""	""[X]Cyclic schizophrenia""	""other psychosis""",
"""37580""",UNKNOWN,true,"""Eu252-2""	""[X]Mixed schizophrenic and affective psychosis""	""other psychosis""",
"""58532""",UNKNOWN,true,"""Eu25y""	""[X]Other schizoaffective disorders""	""other psychosis""",
"""37681""",UNKNOWN,true,"""Eu25z""	""\\""[X]Schizoaffective disorder, unspecified\\""""	""other psychosis""",
"""33410""",UNKNOWN,true,"""Eu25z-1""	""[X]Schizoaffective psychosis NOS""	""other psychosis""",
"""101987""",UNKNOWN,true,"""Eu26""	""[X]Nonorganic psychosis in remission""	""other psychosis""",
"""30985""",UNKNOWN,true,"""Eu2y""	""[X]Other nonorganic psychotic disorders""	""other psychosis""",
"""31738""",UNKNOWN,true,"""Eu2y-1""	""[X]Chronic hallucinatory psychosis""	""other psychosis""",
"""11244""",UNKNOWN,true,"""Eu2z""	""[X]Unspecified nonorganic psychosis""	""other psychosis""",
"""694""",UNKNOWN,true,"""Eu2z-1""	""[X]Psychosis NOS""	""other psychosis""",
"""12173""",UNKNOWN,true,"""Eu30""	""[X]Manic episode""	""bipolar""",
"""2741""",UNKNOWN,true,"""Eu300""	""[X]Hypomania""	""bipolar""",
"""13024""",UNKNOWN,true,"""Eu301""	""[X]Mania without psychotic symptoms""	""bipolar""",
"""9521""",UNKNOWN,true,"""Eu30-1""	""\\""[X]Bipolar disorder, single manic episode\\""""	""bipolar""",
"""21065""",UNKNOWN,true,"""Eu302""	""[X]Mania with psychotic symptoms""	""bipolar""",
"""37102""",UNKNOWN,true,"""Eu302-1""	""[X]Mania with mood-congruent psychotic symptoms""	""bipolar""",
"""48632""",UNKNOWN,true,"""Eu302-2""	""[X]Mania with mood-incongruent psychotic symptoms""	""bipolar""",
"""32088""",UNKNOWN,true,"""Eu30y""	""[X]Other manic episodes""	""bipolar""",
"""44513""",UNKNOWN,true,"""Eu30z""	""\\""[X]Manic episode, unspecified\\""""	""bipolar""",
"""4678""",UNKNOWN,true,"""Eu30z-1""	""[X]Mania NOS""	""bipolar""",
"""6874""",UNKNOWN,true,"""Eu31""	""[X]Bipolar affective disorder""	""bipolar""",
"""16808""",UNKNOWN,true,"""Eu310""	""\\""[X]Bipolar affective disorder, current episode hypomanic\\""""	""bipolar""",
"""26299""",UNKNOWN,true,"""Eu311""	""[X]Bipolar affect disorder cur epi manic wout psychotic symp""	""bipolar""",
"""1531""",UNKNOWN,true,"""Eu31-1""	""[X]Manic-depressive illness""	""bipolar""",
"""28277""",UNKNOWN,true,"""Eu312""	""[X]Bipolar affect disorder cur epi manic with psychotic symp""	""bipolar""",
"""6710""",UNKNOWN,true,"""Eu31-2""	""[X]Manic-depressive psychosis""	""bipolar""",
"""16562""",UNKNOWN,true,"""Eu313""	""[X]Bipolar affect disorder cur epi mild or moderate depressn""	""bipolar""",
"""66153""",UNKNOWN,true,"""Eu31-3""	""[X]Manic-depressive reaction""	""bipolar""",
"""23713""",UNKNOWN,true,"""Eu314""	""\\""[X]Bipol aff disord, curr epis sev depress, no psychot symp\\""""	""bipolar""",
