code,code_system,include,term,notes
"""chapter""",UNKNOWN,true,"""code""	""title""	""primary_only""	""type""",
"""05""",UNKNOWN,true,"""F12.5""	""Mental and behavioural disorders due to use of cannabinoids: Psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F12.6""	""Mental and behavioural disorders due to use of cannabinoids: Amnesic syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F12.7""	""Mental and behavioural disorders due to use of cannabinoids: Residual and late-onset psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F12.8""	""Mental and behavioural disorders due to use of cannabinoids: Other mental and behavioural disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F12.9""	""Mental and behavioural disorders due to use of cannabinoids: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.-""	""Mental and behavioural disorders due to use of sedatives or hypnotics""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F13.0""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Acute intoxication""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.1""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Harmful use""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.2""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Dependence syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.3""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Withdrawal state""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.4""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Withdrawal state with delirium""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.5""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.6""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Amnesic syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.7""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Residual and late-onset psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.8""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Other mental and behavioural disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F13.9""	""Mental and behavioural disorders due to use of sedatives or hypnotics: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.-""	""Mental and behavioural disorders due to use of cocaine""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F14.0""	""Mental and behavioural disorders due to use of cocaine: Acute intoxication""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.1""	""Mental and behavioural disorders due to use of cocaine: Harmful use""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.2""	""Mental and behavioural disorders due to use of cocaine: Dependence syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.3""	""Mental and behavioural disorders due to use of cocaine: Withdrawal state""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.4""	""Mental and behavioural disorders due to use of cocaine: Withdrawal state with delirium""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.5""	""Mental and behavioural disorders due to use of cocaine: Psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.6""	""Mental and behavioural disorders due to use of cocaine: Amnesic syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.7""	""Mental and behavioural disorders due to use of cocaine: Residual and late-onset psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.8""	""Mental and behavioural disorders due to use of cocaine: Other mental and behavioural disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F14.9""	""Mental and behavioural disorders due to use of cocaine: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.-""	""Mental and behavioural disorders due to use of other stimulants, including caffeine""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F15.0""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Acute intoxication""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.1""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Harmful use""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.2""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Dependence syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.3""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Withdrawal state""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.4""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Withdrawal state with delirium""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.5""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.6""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Amnesic syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.7""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Residual and late-onset psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.8""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Other mental and behavioural disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F15.9""	""Mental and behavioural disorders due to use of other stimulants, including caffeine: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.-""	""Mental and behavioural disorders due to use of hallucinogens""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F16.0""	""Mental and behavioural disorders due to use of hallucinogens: Acute intoxication""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.1""	""Mental and behavioural disorders due to use of hallucinogens: Harmful use""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.2""	""Mental and behavioural disorders due to use of hallucinogens: Dependence syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.3""	""Mental and behavioural disorders due to use of hallucinogens: Withdrawal state""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.4""	""Mental and behavioural disorders due to use of hallucinogens: Withdrawal state with delirium""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.5""	""Mental and behavioural disorders due to use of hallucinogens: Psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.6""	""Mental and behavioural disorders due to use of hallucinogens: Amnesic syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.7""	""Mental and behavioural disorders due to use of hallucinogens: Residual and late-onset psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.8""	""Mental and behavioural disorders due to use of hallucinogens: Other mental and behavioural disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F16.9""	""Mental and behavioural disorders due to use of hallucinogens: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.-""	""Mental and behavioural disorders due to use of tobacco""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F17.0""	""Mental and behavioural disorders due to use of tobacco: Acute intoxication""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.1""	""Mental and behavioural disorders due to use of tobacco: Harmful use""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.2""	""Mental and behavioural disorders due to use of tobacco: Dependence syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.3""	""Mental and behavioural disorders due to use of tobacco: Withdrawal state""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.4""	""Mental and behavioural disorders due to use of tobacco: Withdrawal state with delirium""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.5""	""Mental and behavioural disorders due to use of tobacco: Psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.6""	""Mental and behavioural disorders due to use of tobacco: Amnesic syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.7""	""Mental and behavioural disorders due to use of tobacco: Residual and late-onset psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.8""	""Mental and behavioural disorders due to use of tobacco: Other mental and behavioural disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F17.9""	""Mental and behavioural disorders due to use of tobacco: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.-""	""Mental and behavioural disorders due to use of volatile solvents""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F18.0""	""Mental and behavioural disorders due to use of volatile solvents: Acute intoxication""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.1""	""Mental and behavioural disorders due to use of volatile solvents: Harmful use""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.2""	""Mental and behavioural disorders due to use of volatile solvents: Dependence syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.3""	""Mental and behavioural disorders due to use of volatile solvents: Withdrawal state""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.4""	""Mental and behavioural disorders due to use of volatile solvents: Withdrawal state with delirium""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.5""	""Mental and behavioural disorders due to use of volatile solvents: Psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.6""	""Mental and behavioural disorders due to use of volatile solvents: Amnesic syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.7""	""Mental and behavioural disorders due to use of volatile solvents: Residual and late-onset psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.8""	""Mental and behavioural disorders due to use of volatile solvents: Other mental and behavioural disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F18.9""	""Mental and behavioural disorders due to use of volatile solvents: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.-""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F19.0""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Acute intoxication""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.1""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Harmful use""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.2""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Dependence syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.3""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.4""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Withdrawal state with delirium""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.5""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.6""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Amnesic syndrome""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.7""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Residual and late-onset psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.8""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Other mental and behavioural disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F19.9""	""Mental and behavioural disorders due to multiple drug use and use of other psychoactive substances: Unspecified mental and behavioural disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F20.-""	""Schizophrenia""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F20.0""	""Paranoid schizophrenia""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F20.1""	""Hebephrenic schizophrenia""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F20.2""	""Catatonic schizophrenia""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F20.3""	""Undifferentiated schizophrenia""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F20.4""	""Post-schizophrenic depression""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F20.5""	""Residual schizophrenia""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F20.6""	""Simple schizophrenia""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F20.8""	""Other schizophrenia""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F20.9""	""Schizophrenia, unspecified""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F21""	""Schizotypal disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F22.-""	""Persistent delusional disorders""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F22.0""	""Delusional disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F22.8""	""Other persistent delusional disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F22.9""	""Persistent delusional disorder, unspecified""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F23.-""	""Acute and transient psychotic disorders""	TRUE	""group_heading""",
"""05""",UNKNOWN,true,"""F23.0""	""Acute polymorphic psychotic disorder without symptoms of schizophrenia""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F23.1""	""Acute polymorphic psychotic disorder with symptoms of schizophrenia""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F23.2""	""Acute schizophrenia-like psychotic disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F23.3""	""Other acute predominantly delusional psychotic disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F23.8""	""Other acute and transient psychotic disorders""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F23.9""	""Acute and transient psychotic disorder, unspecified""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F24""	""Induced delusional disorder""	TRUE	""psych_primary""",
"""05""",UNKNOWN,true,"""F25.-""	""Schizoaffective disorders""	TRUE	""group_heading""",
