code,code_system,include,term,notes
"""prodcode""",UNKNOWN,true,"""therapyevents""	""productname""	""ingredient""	""strength""	""formulation""	""route""	""bnftext""	""GLP-1RA""",
"""46458""",UNKNOWN,true,"8624	""Exenatide 2mg powder and solvent for prolonged-release suspension for injection vials""	""Exenatide""	""2mg""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""89476""",UNKNOWN,true,"838	""Wegovy FlexTouch 2.4mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)""	""Semaglutide""	""3.2mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""55723""",UNKNOWN,true,"812	""Lixisenatide 10micrograms/0.2ml solution for injection 3ml pre-filled disposable devices and Lixisenatide 20micrograms/0.2ml solution for injection 3ml pre-filled disposable devices""	""Lixisenatide""	NA	""Not applicable""	""Route of administration not applicable""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Lixisenatide""",
"""91455""",UNKNOWN,true,"0	""Rybelsus 7mg tablets (Pharmaram Ltd)""	""Semaglutide""	""7mg""	""Oral tablet""	""Oral""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""89369""",UNKNOWN,true,"696	""Wegovy FlexTouch 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens (Novo Nordisk Ltd)""	""Semaglutide""	""1.34mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Semaglutide""",
"""89231""",UNKNOWN,true,"20	""Tirzepatide 2.5mg/0.5ml solution for injection pre-filled disposable devices""	""Tirzepatide""	""5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""90254""",UNKNOWN,true,"4065	""Mounjaro KwikPen 7.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)""	""Tirzepatide""	""12.5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
"""85945""",UNKNOWN,true,"0	""Bydureon 2mg powder and solvent for prolonged-release suspension for injection pre-filled pens (CST Pharma Ltd)""	""Exenatide""	""2mg""	""Powder and solvent for prolonged-release suspension for inj""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)""	""Exenatide""",
"""63562""",UNKNOWN,true,"810	""Insulin degludec 100units/ml / Liraglutide 3.6mg/ml solution for injection 3ml pre-filled disposable devices""	""Liraglutide""	""100unit/1ml + 3.6mg/1ml""	""Solution for injection""	""Subcutaneous""	""Intermediate- And Long-Acting Insulins/GLP-1 Receptor Agonists Plus Insulin""	""Liraglutide""",
"""89876""",UNKNOWN,true,"300	""Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens (Eli Lilly and Company Ltd)""	""Tirzepatide""	""5mg/1ml""	""Solution for injection""	""Subcutaneous""	""Glucagon-Like Peptide-1 Receptor Agonists ( GLP-1 Receptor Agonists, Incretin Mimetics)/Dual GIP And GLP-1 Receptor Agonists""	""Tirzepatide""",
