code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""GLP-1RA""",
"""14116441000033115""",UNKNOWN,true,"""Tirzepatide 5mg/0.5ml solution for injection pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""10.000mg/1.000ml""	""06010203""	""Tirzepatide""",
"""14116541000033119""",UNKNOWN,true,"""Mounjaro 2.5mg/0.5ml solution for injection pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""5.000mg/1.000ml""	NA	""Tirzepatide""",
"""14116641000033118""",UNKNOWN,true,"""Mounjaro 5mg/0.5ml solution for injection pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""10.000mg/1.000ml""	NA	""Tirzepatide""",
"""14237541000033113""",UNKNOWN,true,"""Semaglutide 0.25mg/0.37ml solution for injection 1.5ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""676.000microgram/1.000ml""	""06010203""	""Semaglutide""",
"""14237641000033114""",UNKNOWN,true,"""Semaglutide 1.7mg/0.75ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""2.270mg/1.000ml""	""06010203""	""Semaglutide""",
"""14237741000033117""",UNKNOWN,true,"""Semaglutide 2.4mg/0.75ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""3.200mg/1.000ml""	""06010203""	""Semaglutide""",
"""14237841000033110""",UNKNOWN,true,"""Wegovy FlexTouch 0.25mg/0.37ml solution for injection 1.5ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""676.000microgram/1.000ml""	NA	""Semaglutide""",
"""14237941000033119""",UNKNOWN,true,"""Wegovy FlexTouch 0.5mg/0.37ml solution for injection 1.5ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""1.340mg/1.000ml""	NA	""Semaglutide""",
"""14238041000033116""",UNKNOWN,true,"""Wegovy FlexTouch 1.7mg/0.75ml solution for injection 3ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""2.270mg/1.000ml""	NA	""Semaglutide""",
"""14238141000033117""",UNKNOWN,true,"""Wegovy FlexTouch 1mg/0.75ml solution for injection 3ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""1.340mg/1.000ml""	NA	""Semaglutide""",
"""14238241000033112""",UNKNOWN,true,"""Wegovy FlexTouch 2.4mg/0.75ml solution for injection 3ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""3.200mg/1.000ml""	NA	""Semaglutide""",
"""14238441000033113""",UNKNOWN,true,"""Semaglutide 1mg/0.75ml solution for injection 3ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Semaglutide""	""1.340mg/1.000ml""	""06010203""	""Semaglutide""",
"""14283841000033114""",UNKNOWN,true,"""Tirzepatide 2.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""4.167mg/1.000ml""	""06010203""	""Tirzepatide""",
"""14283941000033118""",UNKNOWN,true,"""Tirzepatide 5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""8.333mg/1.000ml""	""06010203""	""Tirzepatide""",
"""14284041000033116""",UNKNOWN,true,"""Tirzepatide 7.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""12.500mg/1.000ml""	""06010203""	""Tirzepatide""",
"""14284141000033117""",UNKNOWN,true,"""Tirzepatide 10mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""16.667mg/1.000ml""	""06010203""	""Tirzepatide""",
"""14284241000033112""",UNKNOWN,true,"""Tirzepatide 12.5mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""20.833mg/1.000ml""	""06010203""	""Tirzepatide""",
"""14284341000033119""",UNKNOWN,true,"""Tirzepatide 15mg/0.6ml solution for injection 2.4ml pre-filled disposable devices""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""25.000mg/1.000ml""	""06010203""	""Tirzepatide""",
"""14284541000033114""",UNKNOWN,true,"""Mounjaro KwikPen 2.5mg/0.6ml solution for injection 2.4ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""4.167mg/1.000ml""	NA	""Tirzepatide""",
"""14284741000033118""",UNKNOWN,true,"""Mounjaro KwikPen 5mg/0.6ml solution for injection 2.4ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""8.333mg/1.000ml""	NA	""Tirzepatide""",
"""14284841000033111""",UNKNOWN,true,"""Mounjaro KwikPen 7.5mg/0.6ml solution for injection 2.4ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""12.500mg/1.000ml""	NA	""Tirzepatide""",
"""14284941000033115""",UNKNOWN,true,"""Mounjaro KwikPen 10mg/0.6ml solution for injection 2.4ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""16.667mg/1.000ml""	NA	""Tirzepatide""",
"""14285041000033115""",UNKNOWN,true,"""Mounjaro KwikPen 12.5mg/0.6ml solution for injection 2.4ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""20.833mg/1.000ml""	NA	""Tirzepatide""",
"""14285141000033116""",UNKNOWN,true,"""Mounjaro KwikPen 15mg/0.6ml solution for injection 2.4ml pre-filled pens""	""Solution for injection""	""Subcutaneous""	""Tirzepatide""	""25.000mg/1.000ml""	NA	""Tirzepatide""",
