code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Antiplatelets""",
"""8031441000033112""",UNKNOWN,true,"""Clopidogrel 1mg/ml oral suspension""	""Oral suspension""	""Oral""	""Clopidogrel""	""1.000mg/1.000ml""	""02090000""	""Clopidogrel""",
"""8300741000033118""",UNKNOWN,true,"""Clopidogrel 4mg oral powder sachets""	""Oral powder/ Powder""	""Oral""	""Clopidogrel""	""4.000mg""	""02090000""	""Clopidogrel""",
"""8301241000033117""",UNKNOWN,true,"""Clopidogrel 75mg/5ml oral solution""	""Oral solution""	""Oral""	""Clopidogrel""	""15.000mg/1.000ml""	""02090000""	""Clopidogrel""",
"""8619141000033116""",UNKNOWN,true,"""Molita 200mg/25mg modified-release capsules""	""Modified-release capsule""	""Oral""	""Aspirin/Dipyridamole""	""25.000mg + 200.000mg""	NA	""Aspirin/Dipyridamole""",
"""9165341000033117""",UNKNOWN,true,"""Attia 200mg modified-release capsules""	""Modified-release capsule""	""Oral""	""Dipyridamole""	""200.000mg""	NA	""Dipyridamole""",
"""10024941000033116""",UNKNOWN,true,"""Bisoprolol 5mg / Aspirin 75mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Aspirin""	""75.000mg + 5.000mg""	""02040000""	""Aspirin""",
"""10025041000033116""",UNKNOWN,true,"""Bisoprolol 5mg / Aspirin 100mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Aspirin""	""100.000mg + 5.000mg""	""02040000""	""Aspirin""",
"""10025241000033112""",UNKNOWN,true,"""Bisoprolol 10mg / Aspirin 100mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Aspirin""	""100.000mg + 10.000mg""	""02040000""	""Aspirin""",
"""10333041000033118""",UNKNOWN,true,"""Ofcram PR 200mg capsules""	""Modified-release capsule""	""Oral""	""Dipyridamole""	""200.000mg""	NA	""Dipyridamole""",
"""11072641000033113""",UNKNOWN,true,"""Dipyridamole 200mg/5ml oral suspension sugar free""	""Oral suspension""	""Oral""	""Dipyridamole""	""40.000mg/1.000ml""	""02090000""	""Dipyridamole""",
"""11422441000033119""",UNKNOWN,true,"""Ticagrelor 60mg tablets""	""Tablet/ Oral Tablet""	""Oral/ Gastroenteral""	""Ticagrelor""	""60.000mg""	""02090000""	""Ticagrelor""",
"""11422741000033114""",UNKNOWN,true,"""Brilique 60mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Ticagrelor""	""60.000mg""	NA	""Ticagrelor""",
"""11716941000033112""",UNKNOWN,true,"""Danamep 75mg dispersible tablets""	""Dispersible tablet""	""Oral""	""Aspirin""	""75.000mg""	NA	""Aspirin""",
"""12195441000033115""",UNKNOWN,true,"""Trolactin 200mg modified-release capsules""	""Modified-release capsule""	""Oral""	""Dipyridamole""	""200.000mg""	NA	""Dipyridamole""",
"""12371041000033112""",UNKNOWN,true,"""Ticagrelor 90mg orodispersible tablets sugar free""	""Orodispersible tablet""	""Oral""	""Ticagrelor""	""90.000mg""	""02090000""	""Ticagrelor""",
"""12371141000033111""",UNKNOWN,true,"""Brilique 90mg orodispersible tablets""	""Orodispersible tablet""	""Oral""	""Ticagrelor""	""90.000mg""	NA	""Ticagrelor""",
"""13283841000033111""",UNKNOWN,true,"""Clopidogrel 25mg/5ml oral suspension""	""Oral suspension""	""Oral""	""Clopidogrel""	""5.000mg/1.000ml""	""02090000""	""Clopidogrel""",
"""13862341000033115""",UNKNOWN,true,"""Aspirin 325mg / Caffeine 15mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Aspirin""	""325.000mg + 15.000mg""	""04070100""	""Aspirin""",
