code,code_system,include,term,notes
"""prodcodeid""",UNKNOWN,true,"""productname""	""formulation""	""route""	""ingredient""	""strength""	""BNFChapter""	""Psychotropic""	""group""",
"""249341000033115""",UNKNOWN,true,"""Chlorpromazine 50mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Chlorpromazine""	""50.000mg""	""04020100""	""Chlorpromazine""	""Antipsychotics""",
"""259141000033116""",UNKNOWN,true,"""Cipramil 20mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Citalopram""	""20.000mg""	NA	""Citalopram""	""Antidepressants""",
"""259241000033111""",UNKNOWN,true,"""Citalopram 20mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Citalopram""	""20.000mg""	""04030300""	""Citalopram""	""Antidepressants""",
"""262041000033115""",UNKNOWN,true,"""Clomipramine 10mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""10.000mg""	""04030100""	""Clomipramine""	""Antidepressants""",
"""262141000033116""",UNKNOWN,true,"""Clomipramine 25mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""25.000mg""	""04030100""	""Clomipramine""	""Antidepressants""",
"""262241000033111""",UNKNOWN,true,"""Clomipramine 50mg capsules""	""Capsule/ Oral capsule""	""Oral""	""Clomipramine""	""50.000mg""	""04030100""	""Clomipramine""	""Antidepressants""",
"""273641000033114""",UNKNOWN,true,"""Clopixol Acuphase 50mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""50.000mg/1.000ml""	NA	""Zuclopenthixol""	""Antipsychotics""",
"""274841000033112""",UNKNOWN,true,"""Clopixol Acuphase 100mg/2ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""50.000mg/1.000ml""	NA	""Zuclopenthixol""	""Antipsychotics""",
"""275441000033113""",UNKNOWN,true,"""Clomipramine Hydrochloride  Injection  12.5mg/ml""	""Solution for injection""	""Intramuscular""	""Clomipramine""	NA	NA	""Clomipramine""	""Antidepressants""",
"""276041000033113""",UNKNOWN,true,"""Clopixol 200mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""200.000mg/1.000ml""	NA	""Zuclopenthixol""	""Antipsychotics""",
"""276141000033112""",UNKNOWN,true,"""Clopixol Conc 500mg/1ml solution for injection ampoules""	""Solution for injection""	""Intramuscular""	""Zuclopenthixol""	""500.000mg/1.000ml""	NA	""Zuclopenthixol""	""Antipsychotics""",
"""284741000033110""",UNKNOWN,true,"""Clomipramine 25mg/5ml oral solution""	""Oral solution""	""Oral""	""Clomipramine""	""5.000mg/1.000ml""	""04030100""	""Clomipramine""	""Antidepressants""",
"""284941000033113""",UNKNOWN,true,"""Clozaril 25mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clozapine""	""25.000mg""	NA	""Clozapine""	""Antipsychotics""",
"""285041000033113""",UNKNOWN,true,"""Clozaril 100mg tablets""	""Tablet/ Oral Tablet""	""Oral""	""Clozapine""	""100.000mg""	NA	""Clozapine""	""Antipsychotics""",
"""285741000033111""",UNKNOWN,true,"""Clomipramine 75mg modified-release tablets""	""Modified-release tablet""	""Oral""	""Clomipramine""	""75.000mg""	""04030100""	""Clomipramine""	""Antidepressants""",
