"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"anticoagulants"
"38536"	17	"Fondaparinux sodium 1.5mg/0.3ml solution for injection pre-filled syringes"	"Fondaparinux"	"5mg/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Fondaparinux"
"31937"	4841	"Warfarin 5mg tablets (Teva UK Ltd)"	"Warfarin"	"5mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"16530"	10865	"Fragmin 12,500units/0.5ml solution for injection pre-filled syringes (Pfizer Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"56398"	2	"Fragmin 5,000units/0.2ml solution for injection pre-filled syringes (Mawdsley-Brooks & Company Ltd)"	"Dalteparin"	"25000unit/1ml"	"Solution for injection"	"Subcutaneous"	"Parenteral Anticoagulants"	"Dalteparin"
"33558"	1	"Monoparin calcium 5,000units/0.2ml solution for injection ampoules (Wockhardt UK Ltd)"	"Heparin"	"25000unit/1ml"	"Solution for injection"	"Intravenous/Subcutaneous"	"Parenteral Anticoagulants"	"Heparin"
"72120"	8	"Lixiana 15mg tablets (Daiichi Sankyo UK Ltd)"	"Edoxaban"	"15mg"	"Oral tablet"	"Oral"	"Novel Oral Anticoagulants (Noacs)"	"Edoxaban"
"66570"	0	"Warfarin 1mg tablets (Waymade Healthcare Plc)"	"Warfarin"	"1mg"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"17592"	547	"Innohep 4,500units/0.45ml solution for injection pre-filled syringes (LEO Pharma)"	"Tinzaparin"	"10000unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Tinzaparin"
"44866"	448	"Warfarin sodium 1mg/ml oral supension SF"	"Warfarin"	"1mg/ml"	"Oral Suspension Sugar-Free"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"62309"	0	"Warfarin 500microgram tablets (Kent Pharma (UK) Ltd)"	"Warfarin"	"500microgram"	"Oral tablet"	"Oral"	"Oral Anticoagulants"	"Warfarin"
"9140"	1175	"Dalteparin sodium 10,000units/4ml solution for injection ampoules"	"Dalteparin"	"2500unit/1ml"	"Solution for injection"	"Subcutaneous/Intravenous"	"Parenteral Anticoagulants"	"Dalteparin"
"70866"	6433	"Inhixa 40mg/0.4ml solution for injection pre-filled syringes (Techdow Pharma England Ltd)"	"Enoxaparin"	"100mg/1ml"	"Solution for injection"	"Intravenous/Intraarterial/Subcutaneous"	"Parenteral Anticoagulants"	"Enoxaparin"
