"medcodeid"	"TermRead"	"TermSNOMED"	"TermEMIS"	"SNOMED"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"Observations"
"914461000006118"	"[X]Capgras syndrome"	"[X]Capgras syndrome"	NA	"44906001"	"Eu221-1"	"Eu22111"	"other psychosis"	366
"914471000006113"	"[X]Delusional misidentification syndrome"	"[X]Delusional misidentification syndrome"	NA	"44906001"	"Eu221"	"Eu22100"	"other psychosis"	130
"981141000006111"	"Delusions"	"Delusions"	"Delusions"	"981141000006107"	"EMISCDE13"	NA	"other psychosis"	488
"996171000006114"	"Psychosis, schizophrenia and bipolar affective disorder resolved"	"Psychosis, schizophrenia and bipolar affective disorder resolved (finding)"	NA	"200951000000109"	"212T"	"212T.00"	"other psychosis"	32103
"1667581000000114"	"[X]Paranoid state in remission"	"[X]Paranoid state in remission"	NA	"755301000000102"	"Eu223"	"Eu22300"	"other psychosis"	4637
"1667591000000111"	"[X]Nonorganic psychosis in remission"	"[X]Nonorganic psychosis in remission"	NA	"755311000000100"	"Eu26"	"Eu26.00"	"other psychosis"	5289
"1785851000006110"	"Bipolar I disorder"	"[X]Bipolar affective disorder type I"	NA	"371596008"	"Eu318"	"Eu31800"	"bipolar"	3251
"1785861000006112"	"Bipolar II disorder"	"[X]Bipolar affective disorder type II"	NA	"83225003"	"Eu319"	"Eu31900"	"bipolar"	24129
"1785871000006117"	"[X]Bipolar II disorder"	"[X]Bipolar II disorder"	NA	"83225003"	"Eu319-1"	"Eu31911"	"bipolar"	1095
"1807561000006117"	"Psychotic symptom"	NA	NA	NA	"JHCPS8"	NA	"other psychosis"	220
"1821481000006114"	"Possible early psychosis"	NA	NA	NA	"JHCPO1"	NA	"other psychosis"	1
"1821491000006112"	"Possible psychosis prodrome"	NA	NA	NA	"JHCPO2"	NA	"other psychosis"	1
"1974351000006118"	"Paranoid schizophrenia, continuous"	NA	NA	NA	"EMISICD10|F2000"	NA	"schizophrenia"	7
"1974391000006112"	"Paranoid schizophrenia, episodic with progressive deficit"	NA	NA	NA	"EMISICD10|F2001"	NA	"schizophrenia"	20
"1974431000006118"	"Paranoid schizophrenia, episodic with stable deficit"	NA	NA	NA	"EMISICD10|F2002"	NA	"schizophrenia"	5
"1974451000006113"	"Paranoid schizophrenia, episodic remittent"	NA	NA	NA	"EMISICD10|F2003"	NA	"schizophrenia"	6
"1974481000006117"	"Paranoid schizophrenia, incomplete remission"	NA	NA	NA	"EMISICD10|F2004"	NA	"schizophrenia"	65
"1974511000006113"	"Paranoid schizophrenia, complete remission"	NA	NA	NA	"EMISICD10|F2005"	NA	"schizophrenia"	56
"1974541000006112"	"Paranoid schizophrenia, course uncertain, period of observation too short"	NA	NA	NA	"EMISICD10|F2009"	NA	"schizophrenia"	5
"1974601000006111"	"Hebephrenic schizophrenia, continuous"	NA	NA	NA	"EMISICD10|F2010"	NA	"schizophrenia"	29
"1974611000006114"	"Hebephrenic schizophrenia, episodic with progressive deficit"	NA	NA	NA	"EMISICD10|F2011"	NA	"schizophrenia"	1
"1974621000006118"	"Hebephrenic schizophrenia, episodic with stable deficit"	NA	NA	NA	"EMISICD10|F2012"	NA	"schizophrenia"	1
"1974641000006113"	"Hebephrenic schizophrenia, episodic remittent"	NA	NA	NA	"EMISICD10|F2013"	NA	"schizophrenia"	3
"1974671000006117"	"Hebephrenic schizophrenia, incomplete remission"	NA	NA	NA	"EMISICD10|F2014"	NA	"schizophrenia"	5
"1974691000006116"	"Hebephrenic schizophrenia, complete remission"	NA	NA	NA	"EMISICD10|F2015"	NA	"schizophrenia"	4
"1974721000006114"	"Hebephrenic schizophrenia, course uncertain, period of observation too short"	NA	NA	NA	"EMISICD10|F2019"	NA	"schizophrenia"	1
"1974751000006117"	"Catatonic schizophrenia, continuous"	NA	NA	NA	"EMISICD10|F2020"	NA	"schizophrenia"	3
"1974781000006113"	"Catatonic schizophrenia, episodic with progressive deficit"	NA	NA	NA	"EMISICD10|F2021"	NA	"schizophrenia"	1
"1974801000006112"	"Catatonic schizophrenia, episodic with stable deficit"	NA	NA	NA	"EMISICD10|F2022"	NA	"schizophrenia"	1
"1974831000006116"	"Catatonic schizophrenia, episodic remittent"	NA	NA	NA	"EMISICD10|F2023"	NA	"schizophrenia"	17
"1974861000006113"	"Catatonic schizophrenia, incomplete remission"	NA	NA	NA	"EMISICD10|F2024"	NA	"schizophrenia"	2
"1974891000006117"	"Catatonic schizophrenia, complete remission"	NA	NA	NA	"EMISICD10|F2025"	NA	"schizophrenia"	1
"1974921000006111"	"Catatonic schizophrenia, course uncertain, period of observation too short"	NA	NA	NA	"EMISICD10|F2029"	NA	"schizophrenia"	1
"1974951000006119"	"Undifferentiated schizophrenia, continuous"	NA	NA	NA	"EMISICD10|F2030"	NA	"schizophrenia"	1
"1975051000006119"	"Undifferentiated schizophrenia, incomplete remission"	NA	NA	NA	"EMISICD10|F2034"	NA	"schizophrenia"	2
"1975191000006114"	"Post-schizophrenic depression, continuous"	NA	NA	NA	"EMISICD10|F2040"	NA	"other psychosis"	10
"1975211000006110"	"Post-schizophrenic depression, episodic with progressive deficit"	"Post-schizophrenic depression, episodic with progressive deficit"	"Post-schizophrenic depression, episodic with progressive deficit"	"1975211000006106"	"EMISICD10|F2041"	NA	"schizophrenia"	1
"1975231000006116"	"Post-schizophrenic depression, episodic with stable deficit"	NA	NA	NA	"EMISICD10|F2042"	NA	"other psychosis"	1
"1975261000006113"	"Post-schizophrenic depression, episodic remittent"	NA	NA	NA	"EMISICD10|F2043"	NA	"other psychosis"	1
