"prodcodeid"	"term"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"concat"	"match"	"Antihypertensives"
"10944041000033114"	"Entresto 49mg/51mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Entresto 49mg/51mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Valsartan"	"49.000mg + 51.000mg"	NA	"entresto 49mg 51mg tablets entresto 49mg 51mg tablets  novartis pharmaceuticals uk ltd  sacubitril  valsartan"	1	"Valsartan"
"10944141000033113"	"Entresto 97mg/103mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Entresto 97mg/103mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Valsartan"	"97.000mg + 103.000mg"	NA	"entresto 97mg 103mg tablets entresto 97mg 103mg tablets  novartis pharmaceuticals uk ltd  sacubitril  valsartan"	1	"Valsartan"
"11072741000033116"	"Hydralazine 25mg/5ml oral solution"	"Hydralazine 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Hydralazine"	"5.000mg/1.000ml"	"02050100"	"hydralazine 25mg 5ml oral solution hydralazine 25mg 5ml oral solution hydralazine hydrochloride"	1	"Hydralazine"
"11567441000033119"	"Prazosin 500micrograms/5ml oral solution"	"Prazosin 500micrograms/5ml oral solution"	"Oral solution"	"Oral"	"Prazosin"	"100.000microgram/1.000ml"	"02050400"	"prazosin 500micrograms 5ml oral solution prazosin 500micrograms 5ml oral solution prazosin hydrochloride"	1	"Prazosin"
"11734641000033115"	"Selexipag 200microgram tablets"	"Selexipag 200microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Selexipag"	"200.000microgram"	"02050100"	"selexipag 200microgram tablets selexipag 200microgram tablets selexipag"	1	"Selexipag"
"11734741000033112"	"Selexipag 400microgram tablets"	"Selexipag 400microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Selexipag"	"400.000microgram"	"02050100"	"selexipag 400microgram tablets selexipag 400microgram tablets selexipag"	1	"Selexipag"
"11734841000033119"	"Selexipag 600microgram tablets"	"Selexipag 600microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Selexipag"	"600.000microgram"	"02050100"	"selexipag 600microgram tablets selexipag 600microgram tablets selexipag"	1	"Selexipag"
"11734941000033110"	"Selexipag 800microgram tablets"	"Selexipag 800microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Selexipag"	"800.000microgram"	"02050100"	"selexipag 800microgram tablets selexipag 800microgram tablets selexipag"	1	"Selexipag"
"11735041000033110"	"Selexipag 1mg tablets"	"Selexipag 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Selexipag"	"1.000mg"	"02050100"	"selexipag 1mg tablets selexipag 1mg tablets selexipag"	1	"Selexipag"
"11735141000033114"	"Selexipag 1.2mg tablets"	"Selexipag 1.2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Selexipag"	"1.200mg"	"02050100"	"selexipag 1 2mg tablets selexipag 1 2mg tablets selexipag"	1	"Selexipag"
"11735241000033119"	"Selexipag 1.4mg tablets"	"Selexipag 1.4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Selexipag"	"1.400mg"	"02050100"	"selexipag 1 4mg tablets selexipag 1 4mg tablets selexipag"	1	"Selexipag"
"11735341000033112"	"Selexipag 1.6mg tablets"	"Selexipag 1.6mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Selexipag"	"1.600mg"	"02050100"	"selexipag 1 6mg tablets selexipag 1 6mg tablets selexipag"	1	"Selexipag"
"11735541000033117"	"Uptravi 400microgram tablets (Janssen-Cilag Ltd)"	"Uptravi 400microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Selexipag"	"400.000microgram"	NA	"uptravi 400microgram tablets uptravi 400microgram tablets  janssen cilag ltd  selexipag"	1	"Selexipag"
"11803241000033110"	"Regaine for Women Once a Day 5% scalp foam (McNeil Products Ltd)"	"Regaine for Women Once a Day 5% scalp foam"	"Cutaneous foam/ Foam"	"Cutaneous"	"Minoxidil"	"50.000mg/1.000gram"	NA	"regaine for women once a day 5  scalp foam regaine for women once a day 5  scalp foam  mcneil products ltd  minoxidil"	1	"Minoxidil"
