"prodcodeid"	"term"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"concat"	"match"	"Antihypertensives"
"971241000033111"	"Nifedipine 30mg modified-release tablets"	"Nifedipine 30mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"30.000mg"	"02060200"	"nifedipine 30mg modified release tablets nifedipine 30mg modified release tablets nifedipine"	1	"Nifedipine"
"971341000033118"	"Nifedipine 60mg modified-release tablets"	"Nifedipine 60mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"60.000mg"	"02060200"	"nifedipine 60mg modified release tablets nifedipine 60mg modified release tablets nifedipine"	1	"Nifedipine"
"971441000033112"	"Nicardipine 30mg modified-release capsules"	"Nicardipine 30mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Nicardipine"	"30.000mg"	"02060200"	"nicardipine 30mg modified release capsules nicardipine 30mg modified release capsules nicardipine hydrochloride"	1	"Nicardipine"
"971541000033113"	"Nicardipine 45mg modified-release capsules"	"Nicardipine 45mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Nicardipine"	"45.000mg"	"02060200"	"nicardipine 45mg modified release capsules nicardipine 45mg modified release capsules nicardipine hydrochloride"	1	"Nicardipine"
"971841000033110"	"Nifedipine 10mg modified-release tablets"	"Nifedipine 10mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"10.000mg"	"02060200"	"nifedipine 10mg modified release tablets nifedipine 10mg modified release tablets nifedipine"	1	"Nifedipine"
"972441000033116"	"Nifedipine 40mg modified-release tablets"	"Nifedipine 40mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"40.000mg"	"02060200"	"nifedipine 40mg modified release tablets nifedipine 40mg modified release tablets nifedipine"	1	"Nifedipine"
"974141000033119"	"Nifedipine 20mg modified-release capsules"	"Nifedipine 20mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Nifedipine"	"20.000mg"	"02060200"	"nifedipine 20mg modified release capsules nifedipine 20mg modified release capsules nifedipine"	1	"Nifedipine"
"974941000033117"	"Nifedipine  Tablets  20 mg"	"Nifedipine  Tablets  20 mg"	"Tablet"	"Oral"	"Nifedipine"	NA	NA	"na nifedipine  tablets  20 mg nifedipine"	1	"Nifedipine"
"977341000033113"	"Nifedipine  Tablets  10 mg"	"Nifedipine  Tablets  10 mg"	"Tablet"	"Oral"	"Nifedipine"	NA	NA	"na nifedipine  tablets  10 mg nifedipine"	1	"Nifedipine"
"977441000033119"	"Nimodipine 30mg tablets"	"Nimodipine 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nimodipine"	"30.000mg"	"02060200"	"nimodipine 30mg tablets nimodipine 30mg tablets nimodipine"	1	"Nimodipine"
"977641000033117"	"Nifedipine  Tablets  10 mg"	"Nifedipine  Tablets  10 mg"	"Tablet"	"Oral"	"Nifedipine"	NA	NA	"na nifedipine  tablets  10 mg nifedipine"	1	"Nifedipine"
"977741000033114"	"Nimotop 30mg tablets (Bayer Plc)"	"Nimotop 30mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nimodipine"	"30.000mg"	NA	"nimotop 30mg tablets nimotop 30mg tablets  bayer plc  nimodipine"	1	"Nimodipine"
"998541000033110"	"Odrik 1mg capsules (Aventis Pharma)"	"Odrik 1mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Trandolapril"	"1.000mg"	NA	"odrik 1mg capsules odrik 1mg capsules  aventis pharma  trandolapril"	1	"Trandolapril"
"998641000033111"	"Odrik 2mg capsules (Aventis Pharma)"	"Odrik 2mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Trandolapril"	"2.000mg"	NA	"odrik 2mg capsules odrik 2mg capsules  aventis pharma  trandolapril"	1	"Trandolapril"
"998741000033119"	"Odrik 500microgram capsules (Aventis Pharma)"	"Odrik 500microgram capsules"	"Capsule/ Oral capsule"	"Oral"	"Trandolapril"	"500.000microgram"	NA	"odrik 500microgram capsules odrik 500microgram capsules  aventis pharma  trandolapril"	1	"Trandolapril"
"1065941000033115"	"Perdix 15mg tablets (UCB Pharma Ltd)"	"Perdix 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Moexipril"	"15.000mg"	NA	"perdix 15mg tablets perdix 15mg tablets  ucb pharma ltd  moexipril hydrochloride"	1	"Moexipril"
"1066041000033113"	"Perdix 7.5mg tablets (UCB Pharma Ltd)"	"Perdix 7.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Moexipril"	"7.500mg"	NA	"perdix 7 5mg tablets perdix 7 5mg tablets  ucb pharma ltd  moexipril hydrochloride"	1	"Moexipril"
"1067841000033115"	"Perindopril erbumine 2mg tablets"	"Perindopril erbumine 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perindopril"	"2.000mg"	"02050501"	"perindopril erbumine 2mg tablets perindopril erbumine 2mg tablets perindopril erbumine"	1	"Perindopril"
"1067941000033111"	"Perindopril erbumine 4mg tablets"	"Perindopril erbumine 4mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Perindopril"	"4.000mg"	"02050501"	"perindopril erbumine 4mg tablets perindopril erbumine 4mg tablets perindopril erbumine"	1	"Perindopril"
"1070341000033119"	"Phenoxybenzamine 10mg capsules"	"Phenoxybenzamine 10mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Phenoxybenzamine"	"10.000mg"	"02050400"	"phenoxybenzamine 10mg capsules phenoxybenzamine 10mg capsules phenoxybenzamine hydrochloride"	1	"Phenoxybenzamine"
"1080841000033119"	"Physiotens 200microgram tablets (Viatris UK Healthcare Ltd)"	"Physiotens 200microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Moxonidine"	"200.000microgram"	NA	"physiotens 200microgram tablets physiotens 200microgram tablets  viatris uk healthcare ltd  moxonidine"	1	"Moxonidine"
"1080941000033110"	"Physiotens 400microgram tablets (Viatris UK Healthcare Ltd)"	"Physiotens 400microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Moxonidine"	"400.000microgram"	NA	"physiotens 400microgram tablets physiotens 400microgram tablets  viatris uk healthcare ltd  moxonidine"	1	"Moxonidine"
"1091141000033117"	"Pindolol 15mg tablets"	"Pindolol 15mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pindolol"	"15.000mg"	"02040000"	"pindolol 15mg tablets pindolol 15mg tablets pindolol"	1	"Pindolol"
"1091241000033112"	"Pindolol 5mg tablets"	"Pindolol 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Pindolol"	"5.000mg"	"02040000"	"pindolol 5mg tablets pindolol 5mg tablets pindolol"	1	"Pindolol"
"1093941000033116"	"Plendil 2.5mg modified-release tablets (AstraZeneca UK Ltd)"	"Plendil 2.5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"2.500mg"	NA	"plendil 2 5mg modified release tablets plendil 2 5mg modified release tablets  astrazeneca uk ltd  felodipine"	1	"Felodipine"
"1094041000033119"	"Plendil 10mg modified-release tablets (AstraZeneca UK Ltd)"	"Plendil 10mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"10.000mg"	NA	"plendil 10mg modified release tablets plendil 10mg modified release tablets  astrazeneca uk ltd  felodipine"	1	"Felodipine"
"1094141000033115"	"Plendil 5mg modified-release tablets (AstraZeneca UK Ltd)"	"Plendil 5mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Felodipine"	"5.000mg"	NA	"plendil 5mg modified release tablets plendil 5mg modified release tablets  astrazeneca uk ltd  felodipine"	1	"Felodipine"
"1110141000033119"	"Polythiazide 1mg tablets"	"Polythiazide 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Polythiazide"	"1.000mg"	"02020100"	"polythiazide 1mg tablets polythiazide 1mg tablets polythiazide"	1	"Polythiazide"
"1111441000033118"	"Propranolol Hydrochloride  Capsules  160 mg"	"Propranolol Hydrochloride  Capsules  160 mg"	"Capsule"	"Oral"	"Propranolol"	NA	NA	"na propranolol hydrochloride  capsules  160 mg propranolol"	1	"Propranolol"
"1112341000033115"	"Propranolol Hydrochloride  Capsules  80 mg"	"Propranolol Hydrochloride  Capsules  80 mg"	"Capsule"	"Oral"	"Propranolol"	NA	NA	"na propranolol hydrochloride  capsules  80 mg propranolol"	1	"Propranolol"
"1119641000033117"	"Propranolol 1mg/1ml solution for injection ampoules"	"Propranolol 1mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Propranolol"	"1.000mg/1.000ml"	"02040000"	"propranolol 1mg 1ml solution for injection ampoules propranolol 1mg 1ml solution for injection ampoules propranolol hydrochloride"	1	"Propranolol"
"1124041000033116"	"Propranolol 160mg modified-release capsules"	"Propranolol 160mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Propranolol"	"160.000mg"	"02040000"	"propranolol 160mg modified release capsules propranolol 160mg modified release capsules propranolol hydrochloride"	1	"Propranolol"
"1125341000033118"	"Propranolol 10mg/5ml oral solution sugar free"	"Propranolol 10mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Propranolol"	"2.000mg/1.000ml"	"02040000"	"propranolol 10mg 5ml oral solution sugar free propranolol 10mg 5ml oral solution sugar free propranolol hydrochloride"	1	"Propranolol"
"1125441000033112"	"Propranolol 5mg/5ml oral solution sugar free"	"Propranolol 5mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Propranolol"	"1.000mg/1.000ml"	"02040000"	"propranolol 5mg 5ml oral solution sugar free propranolol 5mg 5ml oral solution sugar free propranolol hydrochloride"	1	"Propranolol"
"1125541000033113"	"Propranolol 50mg/5ml oral solution sugar free"	"Propranolol 50mg/5ml oral solution sugar free"	"Oral solution"	"Oral"	"Propranolol"	"10.000mg/1.000ml"	"02040000"	"propranolol 50mg 5ml oral solution sugar free propranolol 50mg 5ml oral solution sugar free propranolol hydrochloride"	1	"Propranolol"
"1128041000033113"	"Propranolol Hydrochloride  M/R tablets  160 mg"	"Propranolol Hydrochloride  M/R tablets  160 mg"	"Tablet"	"Oral"	"Propranolol"	NA	NA	"na propranolol hydrochloride  m r tablets  160 mg propranolol"	1	"Propranolol"
"1128141000033112"	"Prazosin Hydrochloride  Starter pack"	"Prazosin Hydrochloride  Starter pack"	"Tablet"	"Oral"	"Prazosin"	NA	NA	"na prazosin hydrochloride  starter pack prazosin"	1	"Prazosin"
"1128241000033117"	"Prazosin Hydrochloride  Starter pack"	"Prazosin Hydrochloride  Starter pack"	"Tablet"	"Oral"	"Prazosin"	NA	NA	"na prazosin hydrochloride  starter pack prazosin"	1	"Prazosin"
"1130041000033112"	"Propranolol 80mg modified-release capsules"	"Propranolol 80mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Propranolol"	"80.000mg"	"02040000"	"propranolol 80mg modified release capsules propranolol 80mg modified release capsules propranolol hydrochloride"	1	"Propranolol"
"1131341000033118"	"Prazosin 500microgram tablets"	"Prazosin 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prazosin"	"500.000microgram"	"02050400"	"prazosin 500microgram tablets prazosin 500microgram tablets prazosin hydrochloride"	1	"Prazosin"
"1131441000033112"	"Prazosin 1mg tablets"	"Prazosin 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prazosin"	"1.000mg"	"02050400"	"prazosin 1mg tablets prazosin 1mg tablets prazosin hydrochloride"	1	"Prazosin"
"1131541000033113"	"Prazosin 2mg tablets"	"Prazosin 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prazosin"	"2.000mg"	"02050400"	"prazosin 2mg tablets prazosin 2mg tablets prazosin hydrochloride"	1	"Prazosin"
"1131641000033114"	"Prazosin 5mg tablets"	"Prazosin 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Prazosin"	"5.000mg"	"02050400"	"prazosin 5mg tablets prazosin 5mg tablets prazosin hydrochloride"	1	"Prazosin"
"1132741000033111"	"Prestim tablets (Meda Pharmaceuticals Ltd)"	"Prestim tablets"	"Tablet/ Oral Tablet"	"Oral"	"Bendroflumethiazide/Timolol"	"2.500mg + 10.000mg"	NA	"prestim tablets prestim tablets  meda pharmaceuticals ltd  bendroflumethiazide  timolol maleate"	1	"Bendroflumethiazide/Timolol"
"1135041000033117"	"Propranolol 10mg tablets"	"Propranolol 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Propranolol"	"10.000mg"	"02040000"	"propranolol 10mg tablets propranolol 10mg tablets propranolol hydrochloride"	1	"Propranolol"
"1135141000033118"	"Propranolol 160mg tablets"	"Propranolol 160mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Propranolol"	"160.000mg"	"02040000"	"propranolol 160mg tablets propranolol 160mg tablets propranolol hydrochloride"	1	"Propranolol"
"1135241000033113"	"Propranolol 40mg tablets"	"Propranolol 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Propranolol"	"40.000mg"	"02040000"	"propranolol 40mg tablets propranolol 40mg tablets propranolol hydrochloride"	1	"Propranolol"
"1135341000033115"	"Propranolol 80mg tablets"	"Propranolol 80mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Propranolol"	"80.000mg"	"02040000"	"propranolol 80mg tablets propranolol 80mg tablets propranolol hydrochloride"	1	"Propranolol"
"1140241000033117"	"Prescal 2.5mg tablets (Novartis Pharmaceuticals UK Ltd)"	"Prescal 2.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Isradipine"	"2.500mg"	NA	"prescal 2 5mg tablets prescal 2 5mg tablets  novartis pharmaceuticals uk ltd  isradipine"	1	"Isradipine"
"1149241000033111"	"Quinapril 5mg tablets"	"Quinapril 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"5.000mg"	"02050501"	"quinapril 5mg tablets quinapril 5mg tablets quinapril hydrochloride"	1	"Quinapril"
"1149341000033118"	"Quinapril 10mg tablets"	"Quinapril 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"10.000mg"	"02050501"	"quinapril 10mg tablets quinapril 10mg tablets quinapril hydrochloride"	1	"Quinapril"
"1149441000033112"	"Quinapril 20mg tablets"	"Quinapril 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"20.000mg"	"02050501"	"quinapril 20mg tablets quinapril 20mg tablets quinapril hydrochloride"	1	"Quinapril"
"1149541000033113"	"Quinapril 40mg tablets"	"Quinapril 40mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Quinapril"	"40.000mg"	"02050501"	"quinapril 40mg tablets quinapril 40mg tablets quinapril hydrochloride"	1	"Quinapril"
"1151341000033117"	"Ramipril 1.25mg capsules"	"Ramipril 1.25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Ramipril"	"1.250mg"	"02050501"	"ramipril 1 25mg capsules ramipril 1 25mg capsules ramipril"	1	"Ramipril"
"1151441000033111"	"Ramipril 2.5mg capsules"	"Ramipril 2.5mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Ramipril"	"2.500mg"	"02050501"	"ramipril 2 5mg capsules ramipril 2 5mg capsules ramipril"	1	"Ramipril"
"1151541000033112"	"Ramipril 5mg capsules"	"Ramipril 5mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Ramipril"	"5.000mg"	"02050501"	"ramipril 5mg capsules ramipril 5mg capsules ramipril"	1	"Ramipril"
"1165041000033114"	"Reserpine  Tablets  0.25 mg"	"Reserpine  Tablets  0.25 mg"	"Tablet"	"Oral"	"Reserpine"	NA	NA	"na reserpine  tablets  0 25 mg reserpine"	1	"Reserpine"
"1180941000033115"	"Rogitine 10mg/1ml solution for injection ampoules (Alliance Pharmaceuticals Ltd)"	"Rogitine 10mg/1ml solution for injection ampoules"	"Solution for injection"	"Intravenous/ Intramuscular"	"Phentolamine"	"10.000mg/1.000ml"	NA	"rogitine 10mg 1ml solution for injection ampoules rogitine 10mg 1ml solution for injection ampoules  alliance pharmaceuticals ltd  phentolamine mesilate"	1	"Phentolamine"
"1268141000033119"	"Sectral 100mg capsules (Neon Healthcare Ltd)"	"Sectral 100mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Acebutolol"	"100.000mg"	NA	"sectral 100mg capsules sectral 100mg capsules  neon healthcare ltd  acebutolol hydrochloride"	1	"Acebutolol"
"1268241000033114"	"Sectral 200mg capsules (Neon Healthcare Ltd)"	"Sectral 200mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Acebutolol"	"200.000mg"	NA	"sectral 200mg capsules sectral 200mg capsules  neon healthcare ltd  acebutolol hydrochloride"	1	"Acebutolol"
"1271741000033116"	"Securon IV 5mg/2ml solution for injection ampoules (Viatris UK Healthcare Ltd)"	"Securon IV 5mg/2ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Verapamil"	"2.500mg/1.000ml"	NA	"securon iv 5mg 2ml solution for injection ampoules securon iv 5mg 2ml solution for injection ampoules  viatris uk healthcare ltd  verapamil hydrochloride"	1	"Verapamil"
"1274641000033111"	"Secadrex 200mg/12.5mg tablets (Sanofi)"	"Secadrex 200mg/12.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Hydrochlorothiazide/Acebutolol"	"200.000mg + 12.500mg"	NA	"secadrex 200mg 12 5mg tablets secadrex 200mg 12 5mg tablets  sanofi  acebutolol hydrochloride  hydrochlorothiazide"	1	"Hydrochlorothiazide/Acebutolol"
"1274741000033119"	"Securon 120mg tablets (Abbott Laboratories Ltd)"	"Securon 120mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Verapamil"	"120.000mg"	NA	"securon 120mg tablets securon 120mg tablets  abbott laboratories ltd  verapamil hydrochloride"	1	"Verapamil"
"1275141000033117"	"Securon SR 240mg tablets (Viatris UK Healthcare Ltd)"	"Securon SR 240mg tablets"	"Modified-release tablet"	"Oral"	"Verapamil"	"240.000mg"	NA	"securon sr 240mg tablets securon sr 240mg tablets  viatris uk healthcare ltd  verapamil hydrochloride"	1	"Verapamil"
"1278241000033118"	"Sectral 400mg tablets (Neon Healthcare Ltd)"	"Sectral 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Acebutolol"	"400.000mg"	NA	"sectral 400mg tablets sectral 400mg tablets  neon healthcare ltd  acebutolol hydrochloride"	1	"Acebutolol"
"1346441000033111"	"Slozem 120mg capsules (Zentiva Pharma UK Ltd)"	"Slozem 120mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"120.000mg"	NA	"slozem 120mg capsules slozem 120mg capsules  zentiva pharma uk ltd  diltiazem hydrochloride"	1	"Diltiazem"
"1346541000033112"	"Slozem 180mg capsules (Zentiva Pharma UK Ltd)"	"Slozem 180mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"180.000mg"	NA	"slozem 180mg capsules slozem 180mg capsules  zentiva pharma uk ltd  diltiazem hydrochloride"	1	"Diltiazem"
"1346641000033113"	"Slozem 240mg capsules (Zentiva Pharma UK Ltd)"	"Slozem 240mg capsules"	"Modified-release capsule"	"Oral"	"Diltiazem"	"240.000mg"	NA	"slozem 240mg capsules slozem 240mg capsules  zentiva pharma uk ltd  diltiazem hydrochloride"	1	"Diltiazem"
"1357141000033115"	"Sodium nitroprusside 50mg powder for solution for infusion vials"	"Sodium nitroprusside 50mg powder for solution for infusion vials"	"Powder for solution for infusion"	"Intravenous"	"Sodium nitroprusside"	"50.000mg"	"02050100"	"sodium nitroprusside 50mg powder for solution for infusion vials sodium nitroprusside 50mg powder for solution for infusion vials sodium nitroprusside dihydrate"	1	"Sodium nitroprusside"
"1368341000033110"	"Spironolactone  Capsules  100 mg"	"Spironolactone  Capsules  100 mg"	"Capsule"	"Oral"	"Spironolactone"	NA	NA	"na spironolactone  capsules  100 mg spironolactone"	1	"Spironolactone"
"1371041000033112"	"Spironolactone 25mg/5ml oral suspension"	"Spironolactone 25mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Spironolactone"	"5.000mg/1.000ml"	"02020300"	"spironolactone 25mg 5ml oral suspension spironolactone 25mg 5ml oral suspension spironolactone"	1	"Spironolactone"
"1371141000033111"	"Spironolactone 5mg/5ml oral suspension"	"Spironolactone 5mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Spironolactone"	"1.000mg/1.000ml"	"02020300"	"spironolactone 5mg 5ml oral suspension spironolactone 5mg 5ml oral suspension spironolactone"	1	"Spironolactone"
"1371241000033116"	"Spironolactone 10mg/5ml oral suspension"	"Spironolactone 10mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Spironolactone"	"2.000mg/1.000ml"	"02020300"	"spironolactone 10mg 5ml oral suspension spironolactone 10mg 5ml oral suspension spironolactone"	1	"Spironolactone"
"1371341000033114"	"Spironolactone 50mg/5ml oral suspension"	"Spironolactone 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Spironolactone"	"10.000mg/1.000ml"	"02020300"	"spironolactone 50mg 5ml oral suspension spironolactone 50mg 5ml oral suspension spironolactone"	1	"Spironolactone"
"1374141000033113"	"Spironolactone 100mg tablets"	"Spironolactone 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Spironolactone"	"100.000mg"	"02020300"	"spironolactone 100mg tablets spironolactone 100mg tablets spironolactone"	1	"Spironolactone"
"1374241000033118"	"Spironolactone 25mg tablets"	"Spironolactone 25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Spironolactone"	"25.000mg"	"02020300"	"spironolactone 25mg tablets spironolactone 25mg tablets spironolactone"	1	"Spironolactone"
"1374341000033111"	"Spironolactone 50mg tablets"	"Spironolactone 50mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Spironolactone"	"50.000mg"	"02020300"	"spironolactone 50mg tablets spironolactone 50mg tablets spironolactone"	1	"Spironolactone"
"1374541000033116"	"Spirospare 100 tablets (Ashbourne Pharmaceuticals Ltd)"	"Spirospare 100 tablets"	"Tablet/ Oral Tablet"	"Oral"	"Spironolactone"	"100.000mg"	NA	"spirospare 100 tablets spirospare 100 tablets  ashbourne pharmaceuticals ltd  spironolactone"	1	"Spironolactone"
"1387341000033114"	"Staril 10mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Staril 10mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fosinopril"	"10.000mg"	NA	"staril 10mg tablets staril 10mg tablets  bristol myers squibb pharmaceuticals ltd  fosinopril sodium"	1	"Fosinopril"
"1387441000033115"	"Staril 20mg tablets (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Staril 20mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Fosinopril"	"20.000mg"	NA	"staril 20mg tablets staril 20mg tablets  bristol myers squibb pharmaceuticals ltd  fosinopril sodium"	1	"Fosinopril"
"1406341000033117"	"Tarka modified-release capsules (Abbott Laboratories Ltd)"	"Tarka modified-release capsules"	"Modified-release capsule"	"Oral"	"Trandolapril/Verapamil"	"2.000mg + 180.000mg"	NA	"tarka modified release capsules tarka modified release capsules  abbott laboratories ltd  trandolapril  verapamil hydrochloride"	1	"Trandolapril/Verapamil"
"1414241000033117"	"Tenben 25mg/1.25mg capsules (Galen Ltd)"	"Tenben 25mg/1.25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Bendroflumethiazide/Atenolol"	"25.000mg + 1.250mg"	NA	"tenben 25mg 1 25mg capsules tenben 25mg 1 25mg capsules  galen ltd  atenolol  bendroflumethiazide"	1	"Bendroflumethiazide/Atenolol"
"1414941000033114"	"Tenif 50mg/20mg modified-release capsules (AstraZeneca UK Ltd)"	"Tenif 50mg/20mg modified-release capsules"	"Modified-release capsule"	"Oral"	"Nifedipine/Atenolol"	"50.000mg + 20.000mg"	NA	"tenif 50mg 20mg modified release capsules tenif 50mg 20mg modified release capsules  astrazeneca uk ltd  atenolol  nifedipine"	1	"Nifedipine/Atenolol"
"1420741000033114"	"Tenormin 5mg/10ml solution for injection ampoules (Atnahs Pharma UK Ltd)"	"Tenormin 5mg/10ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Atenolol"	"500.000microgram/1.000ml"	NA	"tenormin 5mg 10ml solution for injection ampoules tenormin 5mg 10ml solution for injection ampoules  atnahs pharma uk ltd  atenolol"	1	"Atenolol"
"1421241000033110"	"Tensipine MR 10 tablets (Genus Pharmaceuticals Ltd)"	"Tensipine MR 10 tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"10.000mg"	NA	"tensipine mr 10 tablets tensipine mr 10 tablets  genus pharmaceuticals ltd  nifedipine"	1	"Nifedipine"
"1421341000033117"	"Tensipine MR 20 tablets (Genus Pharmaceuticals Ltd)"	"Tensipine MR 20 tablets"	"Modified-release tablet"	"Oral"	"Nifedipine"	"20.000mg"	NA	"tensipine mr 20 tablets tensipine mr 20 tablets  genus pharmaceuticals ltd  nifedipine"	1	"Nifedipine"
"1423641000033114"	"Terazosin 2mg tablets and Terazosin 1mg tablets"	"Terazosin 2mg tablets and Terazosin 1mg tablets"	"Not applicable"	"Route of administration not applicable"	"Terazosin"	NA	"02050400"	"terazosin 2mg tablets and terazosin 1mg tablets terazosin 2mg tablets and terazosin 1mg tablets terazosin"	1	"Terazosin"
"1423741000033117"	"Terazosin Hydrochloride  Starter pack  7 x 1 mg, 7 x 2 mg"	"Terazosin Hydrochloride  Starter pack  7 x 1 mg, 7 x 2 mg"	"Tablet"	"Oral"	"Terazosin"	NA	NA	"na terazosin hydrochloride  starter pack  7 x 1 mg  7 x 2 mg terazosin"	1	"Terazosin"
"1423841000033110"	"Terazosin Hydrochloride  Starter pack  7 x 1 mg, 14 x 2 mg, 7 x 5 mg"	"Terazosin Hydrochloride  Starter pack  7 x 1 mg, 14 x 2 mg, 7 x 5 mg"	"Tablet"	"Oral"	"Terazosin"	NA	NA	"na terazosin hydrochloride  starter pack  7 x 1 mg  14 x 2 mg  7 x 5 mg terazosin"	1	"Terazosin"
"1424541000033110"	"Tenormin 25mg/5ml syrup (AstraZeneca UK Ltd)"	"Tenormin 25mg/5ml syrup"	"Oral solution"	"Oral"	"Atenolol"	"5.000mg/1.000ml"	NA	"tenormin 25mg 5ml syrup tenormin 25mg 5ml syrup  astrazeneca uk ltd  atenolol"	1	"Atenolol"
"1425341000033119"	"Terazosin 2mg tablets"	"Terazosin 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Terazosin"	"2.000mg"	"02050400"	"terazosin 2mg tablets terazosin 2mg tablets terazosin hydrochloride"	1	"Terazosin"
"1425441000033113"	"Tenchlor 50mg/12.5mg tablets (Teva UK Ltd)"	"Tenchlor 50mg/12.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlortalidone/Atenolol"	"50.000mg + 12.500mg"	NA	"tenchlor 50mg 12 5mg tablets tenchlor 50mg 12 5mg tablets  teva uk ltd  atenolol  chlortalidone"	1	"Chlortalidone/Atenolol"
"1425541000033114"	"Tenchlor 100mg/25mg tablets (Teva UK Ltd)"	"Tenchlor 100mg/25mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlortalidone/Atenolol"	"100.000mg + 25.000mg"	NA	"tenchlor 100mg 25mg tablets tenchlor 100mg 25mg tablets  teva uk ltd  atenolol  chlortalidone"	1	"Chlortalidone/Atenolol"
"1426241000033117"	"Tenoret 50mg/12.5mg tablets (Atnahs Pharma UK Ltd)"	"Tenoret 50mg/12.5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Chlortalidone/Atenolol"	"50.000mg + 12.500mg"	NA	"tenoret 50mg 12 5mg tablets tenoret 50mg 12 5mg tablets  atnahs pharma uk ltd  atenolol  chlortalidone"	1	"Chlortalidone/Atenolol"
