"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"
"13056"	"679P.00"	109725	0	247	0	"health education - weight management"	"February 2009"
"106010"	"66CP.00"	1905	0	1	0	"risk health associ overweight and obesity, at very high risk"	"April 2013"
"102856"	"1628.00"	91	0	1	0	"pattern of weight gain"	"August 2011"
"102150"	"66CM.00"	767	0	1	0	"risk health associ overweight and obesity, at increased risk"	"April 2011"
"109470"	"66CF000"	12	0	0	0	"3 month target weight"	"April 2015"
"9015"	"22K4.00"	281714	0	101	135	"body mass index index 25-29 - overweight"	"February 2009"
"112985"	"66CY.00"	3	0	0	0	"weight loss importance score"	"October 2018"
"4663"	"1625.00"	37035	0	1155	0	"abnormal weight loss"	"February 2009"
"102563"	"1627.00"	3982	0	192	0	"unintentional weight loss"	"July 2011"
"8041"	"66C..11"	366354	0	2838	12	"weight monitoring"	"February 2009"
"30763"	"2293.00"	7058	0	0	0	"o/e -height within 10% average"	"February 2009"
"108610"	"22KD.00"	1669	0	0	0	"obese class ii (body mass index 35.0 - 39.9)"	"September 2014"
"108278"	"66Cd.00"	264	0	1	0	"intensive weight management programme declined"	"July 2014"
"29538"	"66C2.00"	13361	0	3	0	"follow-up obesity assessment"	"February 2009"
"38632"	"66C6.00"	1877	0	0	0	"treatment of obesity started"	"February 2009"
"14764"	"162Z.00"	2591	0	87	0	"weight symptom nos"	"February 2009"
"57111"	"22Z..00"	10651	0	5	2	"height and weight"	"February 2009"
"110331"	"66Cc.00"	26	0	0	0	"intensive weight management programme ended"	"December 2015"
"111889"	"66Ca.00"	2	0	0	0	"weight loss confidence score"	"June 2017"
"25968"	"C380500"	309	0	2	0	"generalised obesity"	"February 2009"
"17949"	"6878.11"	5271	0	25	1	"weight screen"	"February 2009"
"103849"	"8CdC.00"	29715	0	35	0	"weight management service opportunity signposted"	"March 2012"
"26474"	"2291.00"	258	0	0	0	"o/e-height > 20% below average"	"February 2009"
"52782"	"Cyu7.00"	2	0	0	0	"[x]obesity and other hyperalimentation"	"February 2009"
"26473"	"22A1.00"	780	0	0	0	"o/e - weight > 20% below ideal"	"February 2009"
"11763"	"ZC2C700"	7309	0	55	0	"patient advised about weight-reducing diet"	"February 2009"
"102295"	"14f..11"	10005	0	622	0	"history of attempted weight loss"	"June 2011"
"103574"	"C38y011"	1319	0	6	0	"obesity hypoventilation syndrome"	"January 2012"
"3176"	"66C4.00"	9434	0	1063	4	"has seen dietician - obesity"	"February 2009"
"10728"	"ZC2CM00"	4329	0	130	0	"dietary advice for obesity"	"February 2009"
"103926"	"9c01000"	10	0	1	0	"expectation of weight management programme"	"March 2012"
"105791"	"22K9000"	7	0	0	0	"baseline body mass index centile"	"February 2013"
"29029"	"22A2.00"	1722	0	0	0	"o/e -weight 10-20% below ideal"	"February 2009"
"105800"	"22KB.00"	43	0	0	0	"baseline body mass index"	"February 2013"
"16404"	"22A4.00"	79865	0	15	0	"o/e - weight 10-20% over ideal"	"February 2009"
"111344"	"66CF300"	36	0	0	0	"target weight to achieve five percent weight loss"	"September 2016"
"106977"	"38DC100"	4215	0	2	0	"who frax 10 yr osteoporotic fracture probablty scor with bmi"	"September 2013"
"103212"	"9hN..00"	10	0	0	0	"exception reporting: obesity quality indicators"	"October 2011"
"52703"	"212Q.00"	324	0	1	0	"obesity resolved"	"February 2009"
"104887"	"66CS.00"	166	0	0	0	"inter risk hlth overwght obesity adv diet phys act cons drug"	"August 2012"
"108351"	"1629.00"	90	0	1	0	"unintentional weight gain"	"July 2014"
"110196"	"66Ce.00"	16	0	0	0	"telehealth obesity monitoring"	"October 2015"
"13278"	"22K5.00"	472042	0	876	79	"body mass index 30+ - obesity"	"February 2009"
"38059"	"C380200"	360	0	3	0	"extreme obesity with alveolar hypoventilation"	"February 2009"
"106433"	"38DB100"	4506	0	2	0	"who frax 10 year hip fracture probability score with bmi"	"June 2013"
"7984"	"22A5.11"	28020	0	905	2	"o/e - obese"	"February 2009"
"105498"	"Z6IF.00"	2	0	0	0	"weight transference - neurological"	"December 2012"
"102439"	"66CV.00"	33	0	0	0	"reason for initial weight gain"	"June 2011"
"25061"	"66CB.00"	777465	0	3	2	"ideal weight"	"February 2009"
"52735"	"9OKZ.00"	1587	0	1	0	"obesity monitoring admin.nos"	"February 2009"
"47439"	"9OKA.00"	11704	0	5	0	"obesity monitoring check done"	"February 2009"
"11401"	"C38z000"	1430	0	31	0	"simple obesity nos"	"February 2009"
"61420"	"ZC2CN00"	613	0	0	0	"dietary advice for weight gain"	"February 2009"
"64712"	"66C5.00"	61	0	0	0	"treatment of obesity changed"	"February 2009"
"116773"	"8CT5.00"	2	0	0	0	"anti-obesity drug therapy discontinued"	"September 2025"
"38658"	"66C1.00"	7340	0	9	0	"initial obesity assessment"	"February 2009"
"113461"	"66CF200"	1	0	0	0	"12 month target weight"	"March 2019"
"126"	"22A6.00"	15732	0	1901	7	"o/e - underweight"	"February 2009"
"55586"	"9OK5.00"	113	0	0	0	"obesity monitoring 2nd letter"	"February 2009"
"430"	"C380.00"	606437	0	27460	125	"obesity"	"February 2009"
"3355"	"66C9.11"	207729	0	4364	23	"weight loss advised"	"February 2009"
"108355"	"8CV7.00"	435	0	0	0	"anti-obesity drug therapy commenced"	"July 2014"
"32843"	"9OK..00"	1779	0	32	0	"obesity monitoring admin."	"February 2009"
"25951"	"8HHH.00"	38515	0	15049	3	"refer to weight management programme"	"February 2009"
"67516"	"9OK2.00"	455	0	0	0	"refuses obesity monitoring"	"February 2009"
"67517"	"9OK8.00"	165	0	0	0	"obesity monitor phone invite"	"February 2009"
"52605"	"ZC15.00"	300	0	17	0	"self-induced vomiting to lose weight"	"February 2009"
"94885"	"6B4..00"	13949	0	9	0	"counterweight weight management programme"	"February 2009"
"108694"	"22KC.00"	1807	0	0	0	"obese class i (body mass index 30.0 - 34.9)"	"October 2014"
"8481"	"66CC.00"	66007	0	2431	0	"wants to lose weight"	"February 2009"
"43375"	"ZC2CO00"	784	0	2	0	"dietary advice for weight loss"	"February 2009"
"38543"	"E202z11"	254	0	21	0	"weight fixation"	"February 2009"
"105170"	"67K9.00"	25	0	1	0	"cycle of change stage, weight management"	"November 2012"
"105353"	"22a..00"	73	0	0	2	"waist to height ratio"	"December 2012"
"33312"	"4G12.00"	3	0	0	740	"weight of calculus"	"February 2009"
"8854"	"C380300"	21302	0	783	0	"morbid obesity"	"February 2009"
"94788"	"8B5B.00"	81	0	4	0	"weight gain diet"	"February 2009"
"101043"	"8Cd7.00"	51107	0	28	0	"advice given about weight management"	"December 2010"
"2839"	"22A4.11"	41258	0	2477	8	"o/e - overweight"	"February 2009"
"104724"	"66CL.00"	1	0	1	0	"risk health associa overweight obesity, at no increased risk"	"August 2012"
"22343"	"ZC17.00"	304	0	6	0	"exercising to lose weight"	"February 2009"
