"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Mood Stabiliser"
"4549941000033116"	"Sodium valproate 250mg modified-release granules sachets sugar free"	"Modified-release granules"	"Oral"	"Valproate"	"250.000mg"	"04080100"	"Valproate"
"4550041000033113"	"Sodium valproate 50mg modified-release granules sachets sugar free"	"Modified-release granules"	"Oral"	"Valproate"	"50.000mg"	"04080100"	"Valproate"
"4550141000033112"	"Sodium valproate 750mg modified-release granules sachets sugar free"	"Modified-release granules"	"Oral"	"Valproate"	"750.000mg"	"04080100"	"Valproate"
"4550241000033117"	"Epilim Chronosphere MR 50mg granules sachets"	"Modified-release granules"	"Oral"	"Valproate"	"50.000mg"	NA	"Valproate"
"4550341000033110"	"Epilim Chronosphere MR 100mg granules sachets"	"Modified-release granules"	"Oral"	"Valproate"	"100.000mg"	NA	"Valproate"
"4550441000033116"	"Epilim Chronosphere MR 250mg granules sachets"	"Modified-release granules"	"Oral"	"Valproate"	"250.000mg"	NA	"Valproate"
"4550541000033115"	"Epilim Chronosphere MR 500mg granules sachets"	"Modified-release granules"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"
"4550641000033119"	"Epilim Chronosphere MR 750mg granules sachets"	"Modified-release granules"	"Oral"	"Valproate"	"750.000mg"	NA	"Valproate"
"5055041000033113"	"Epilim Chronosphere MR 1000mg granules sachets"	"Modified-release granules"	"Oral"	"Valproate"	"1.000gram"	NA	"Valproate"
"8535841000033110"	"Sodium valproate 400mg/4ml solution for injection ampoules"	"Solution for injection"	"Intravenous"	"Valproate"	"100.000mg/1.000ml"	"04080100"	"Valproate"
"8536541000033119"	"Lamotrigine 50mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Lamotrigine"	"10.000mg/1.000ml"	"04080100"	"Lamotrigine"
"9119841000033112"	"Carbagen 100mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"100.000mg"	NA	"Carbamazepine"
"9119941000033116"	"Carbagen 200mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"9120041000033118"	"Carbagen 400mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Carbamazepine"	"400.000mg"	NA	"Carbamazepine"
"10671241000033119"	"Lithium carbonate 250mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Lithium"	"250.000mg"	NA	"Lithium"
"11724841000033116"	"Valproic acid 500mg/5ml oral suspension"	"Oral suspension"	"Oral"	"Valproate/Valproic"	"100.000mg/1.000ml"	"04080100"	"Valproate/Valproic"
"12578741000033117"	"Depakin 200mg/ml oral solution"	"Oral solution"	"Oral"	"Valproate"	"200.000mg/1.000ml"	NA	"Valproate"
"13149541000033117"	"Belvo 250mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"250.000mg"	NA	"Valproate"
"13149641000033116"	"Belvo 500mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"
"13348941000033113"	"Syonell 250mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"250.000mg"	NA	"Valproate"
"13349541000033114"	"Syonell 500mg gastro-resistant tablets"	"Gastro-resistant tablet"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"
"13722141000033112"	"Dyzantil 200mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"200.000mg"	NA	"Valproate"
"13722241000033117"	"Dyzantil 300mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"300.000mg"	NA	"Valproate"
"13722341000033110"	"Dyzantil 500mg modified-release tablets"	"Modified-release tablet"	"Oral"	"Valproate"	"500.000mg"	NA	"Valproate"
"14063841000033118"	"Curatil Prolonged Release 200mg tablets"	"Modified-release tablet"	"Oral"	"Carbamazepine"	"200.000mg"	NA	"Carbamazepine"
"14410541000033116"	"Lamotrigine 10mg/ml oral suspension sugar free"	"Oral suspension"	"Oral"	"Lamotrigine"	"10.000mg/1.000ml"	"04080100"	"Lamotrigine"
