"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"66784"	714	"Attia 200mg modified-release capsules (Dr Reddy's Laboratories (UK) Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"11961"	22	"Veganin Tablet (Pfizer Consumer Healthcare Ltd)"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"41512"	5442	"Aspirin 75mg gastro-resistant tablets (Teva UK Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"3386"	13707	"Migravess forte 5mg+450mg Effervescent tablet (Bayer Plc)"	"Aspirin"	"5mg+450mg"	"Effervescent Tablet"	"Oral"	"Products Used Against Nausea And Vertigo - Domperidone & Metoclopramide/Acute Migraine"	"Aspirin"
"28707"	6	"ASPIRIN M/F 324 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"34"	11910760	"Aspirin 75mg gastro-resistant tablets"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"46976"	1	"Dipyridamole 100mg tablets (Kent Pharma (UK) Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"53178"	392	"Aspirin 75mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"32314"	0	"Aspirin with aloxiprin and caffeine powder"	"Aspirin"	NA	"Powder"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"58347"	0	"Clopidogrel 75mg tablets (DE Pharmaceuticals)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"56995"	0	"Aspirin 75mg dispersible tablets (Phoenix Healthcare Distribution Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"83747"	92	"Clopidogrel 75mg tablets (Torrent Pharma (UK) Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"22138"	121	"Aspirin 324mg modified-release tablets"	"Aspirin"	"324mg"	"Modified Release Tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"64222"	138	"Dipyridamole 50mg/5ml oral solution"	"Dipyridamole"	"10mg/1ml"	"Oral solution"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"19255"	5	"Paracetamol 200mg with aspirin 300mg & caffeine 45mg tablet"	"Aspirin"	"200mg + 300mg +45mg"	"Tablets"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"77617"	1	"Clopidogrel 75mg oral powder sachets"	"Clopidogrel"	"75mg"	"Oral powder"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"13598"	22	"ASPIRIN & CODEINE 500 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"7417"	8	"ASPIRIN 40 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"75591"	1	"Aspirin 300mg Tablet (Galpharm International Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"40144"	2	"Aspirin 300mg Dispersible tablet (Thornton & Ross Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"60127"	0	"Aspirin 75mg tablets (DE Pharmaceuticals)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"30432"	2	"ASPIRIN & DOVER'S pwdr TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"45851"	19	"Aspirin 300mg Soluble tablet (Ranbaxy (UK) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"30975"	1	"Modaplate 25mg Tablet (Berk Pharmaceuticals Ltd)"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"19577"	34	"NU-SEALS ASPIRIN"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"19797"	1	"NU-SEALS ASPIRIN"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"52618"	54	"Aspirin 75mg dispersible tablets (Bristol Laboratories Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"33293"	1	"Aspirin 75mg gastro-resistant tablets (Sterwin Medicines)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"81353"	10	"Femigraine Effervescent tablet (Nicholas Laboratories Ltd)"	"Aspirin"	NA	"Effervescent Tablet"	"Oral"	"Antihistamines Used For Nausea And Vomiting/Acute Migraine"	"Aspirin"
"74387"	278	"Generic Radian B Muscle lotion"	"Aspirin"	"6mg/1ml + 12mg/1ml + 6mg/1ml + 14mg/1ml"	"Cutaneous liquid"	"Cutaneous"	"Rubefacients And Other Topical Antirheumatics - Capsaicin"	"Aspirin"
"2628"	116501	"Nu-seals aspirin ec 75mg Gastro-resistant tablet (Eli Lilly and Company Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"54734"	0	"Aspirin 300mg tablets (Wockhardt UK Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"73435"	0	"Dipyridamole 100mg tablets (DE Pharmaceuticals)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"63450"	1	"Clopidogrel 75mg tablets (Almus Pharmaceuticals Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"62978"	6	"Clopidogrel 75mg tablets (Sandoz Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"75489"	0	"Aspirin 300mg gastro-resistant tablets (Advanz Pharma)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"216"	3111	"ASPIRIN 70 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"38349"	1164	"Clopidogrel 300mg tablets"	"Clopidogrel"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"54997"	0	"Aspirin 75mg dispersible tablets (Dowelhurst Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"111"	1185	"ASPIRIN 40 MG CAP"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"25959"	3	"ASPIRIN/CAFFEINE/DEXTROPROPOXYPHENE NAPS PUL"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"8733"	146	"JUNIOR ASPIRIN 37.5 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"53711"	0	"Aspirin 300mg Tablet (Nucare Plc)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"56807"	61	"Clopidogrel 75mg tablets (Teva UK Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"66840"	42	"Dipyridamole 200mg/5ml oral suspension sugar free"	"Dipyridamole"	"40mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"76589"	58	"Clopidogrel 75mg tablets (Krka UK Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"81574"	9	"Aspirin with codeine Tablet (Approved Prescription Services Ltd)"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"85391"	0	"Clopidogrel 75mg tablets (Accord-UK Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"25433"	34	"Radian B Muscle lotion (Thornton & Ross Ltd)"	"Aspirin"	"6mg/1ml + 12mg/1ml + 6mg/1ml + 14mg/1ml"	"Cutaneous liquid"	"Cutaneous"	"Rubefacients And Other Topical Antirheumatics - Capsaicin"	"Aspirin"
"68051"	3	"Aspirin 150mg suppositories (Colorama Pharmaceuticals Ltd)"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"60693"	3	"Aspirin 15mg/5ml oral solution"	"Aspirin"	"3mg/1ml"	"Oral solution"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics/Acute Migraine/Non-Steroidal Anti-Inflammatory Drugs"	"Aspirin"
"9939"	4913	"Aspirin 500mg effervescent tablets sugar free"	"Aspirin"	"500mg"	"Effervescent tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"29054"	13	"Methocarbamol with aspirin Tablet"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Skeletal Muscle Relaxants"	"Aspirin"
"79306"	53	"Clopidogrel 5mg/5ml oral solution"	"Clopidogrel"	"1mg/1ml"	"Oral solution"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"49060"	11	"Aspirin 75mg dispersible tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"24857"	14	"ASPIRIN 250 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
"71078"	0	"Aspirin 300mg dispersible tablets (Mawdsley-Brooks & Company Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"34942"	18	"Aspirin 75mg Dispersible tablet (Nucare Plc)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"65027"	1	"Bisoprolol 5mg / Aspirin 100mg capsules"	"Aspirin"	"5mg + 100mg"	"Oral capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Antiplatelet Products"	"Aspirin"
"45576"	249680	"Ticagrelor 90mg tablets"	"Ticagrelor"	"90mg"	"Oral tablet"	"Gastroenteral/Oral"	"Antiplatelet Products"	"Ticagrelor"
"33317"	1	"Aspirin with Sodium bicarbonate with Citric acid effervescent tablets"	"Aspirin"	NA	"Effervescent Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"18030"	2172	"Imazin XL forte tablets (Napp Pharmaceuticals Ltd)"	"Aspirin"	"150mg + 60mg"	"Modified-release tablet"	"Oral"	"Unknown"	"Aspirin"
"23491"	3	"ASPIRIN 500 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
"26099"	6	"ASPIRIN 175 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
"24960"	0	"Aspirin 300mg tablets (Vantage)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"56883"	21	"Aspirin 75mg tablets (Waymade Healthcare Plc)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"31953"	21828	"Aspirin 75mg dispersible tablets (IVAX Pharmaceuticals UK Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"9432"	644	"Aspirin 500mg / Codeine 8mg soluble tablets"	"Aspirin"	"500mg + 8mg"	"Soluble Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"17817"	39	"CLOPIDOGREL FC"	"Clopidogrel"	NA	NA	NA	"Unknown"	"Clopidogrel"
"43806"	352	"Aspirin 300mg gastro-resistant tablets (Sandoz Ltd)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"77079"	2	"Dipyridamole 25mg tablets (Waymade Healthcare Plc)"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"54353"	0	"Generic Anadin Extra soluble tablets sugar free"	"Aspirin"	"45mg + 300mg + 200mg"	"Soluble tablet"	"Oral"	"Other Non Opioid Analgesics"	"Aspirin"
"84392"	0	"Aspirin 300mg dispersible tablets (Medihealth (Northern) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"26792"	2	"ASPIRIN 125 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
"46891"	2210	"Clopidogrel 75mg/5ml oral suspension"	"Clopidogrel"	"15mg/1ml"	"Oral suspension"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"7462"	61	"ASPIRIN 325 MG CAP"	"Aspirin"	NA	NA	NA	"Unknown"	"Aspirin"
"11951"	4	"Original Phensic Aspirin tablets (Merck Consumer Health Products)"	"Aspirin"	"325mg + 22mg"	"Oral tablet"	"Oral"	"Unknown"	"Aspirin"
"3155"	17239	"Migravess 5mg+325mg Effervescent tablet (Bayer Plc)"	"Aspirin"	"5mg+325mg"	"Effervescent Tablet"	"Oral"	"Products Used Against Nausea And Vertigo - Domperidone & Metoclopramide/Acute Migraine"	"Aspirin"
"9129"	136	"Paracetamol 250mg with aspirin 250mg & codeine 6.8mg tablet"	"Aspirin"	"250mg+250mg+6.8mg"	"Tablets"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"28810"	28	"Aspirin 300mg with Glycine 133mg soluble tablets"	"Aspirin"	"300mg + 133mg"	"Dissolving Tablets"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"28606"	12	"ASPIRIN/CAFFEINE/CODEINE PHOSPHATE 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"15367"	298	"Anadin Extra tablets (Haleon UK Trading Ltd)"	"Aspirin"	"45mg + 200mg + 300mg"	"Oral tablet"	"Oral"	"Other Non Opioid Analgesics"	"Aspirin"
"2047"	17334	"Co-codaprin 8mg with 400mg tablets"	"Aspirin"	"8mg+400mg"	"Tablets"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"33656"	3061	"Aspirin 75mg dispersible tablets (A A H Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"44639"	1	"Aspirin 300mg Dispersible tablet (Nucare Plc)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"16"	10133031	"Aspirin 75mg tablets"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"84747"	0	"Aspirin 300mg dispersible tablets (Numark Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"60278"	0	"Aspirin 300mg tablets (DE Pharmaceuticals)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"84924"	12	"Aspirin 300mg dispersible tablets (Waymade Healthcare Plc)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"77433"	770	"Aspirin 300mg gastro-resistant tablets (Waymade Healthcare Plc)"	"Aspirin"	"300mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"27467"	21	"ASPIRIN SOLUBLE 400 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"66345"	1779	"Aspirin 75mg dispersible tablets (DE Pharmaceuticals)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"7665"	806	"ASPIRIN SR 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"58448"	6	"Clopidogrel 75mg tablets (Aspire Pharma Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"82338"	0	"Dipyridamole 100mg tablets (Almus Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Unknown"	"Dipyridamole"
"86169"	0	"Dipyridamole 100mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"63683"	12	"Aspirin with codeine Dispersible tablet (Actavis UK Ltd)"	"Aspirin"	"8mg + 400mg"	"Dispersible tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"8424"	1761	"ASPIRIN PAED 81 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"31210"	56	"Aspirin 300mg Tablet (Co-operative)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"17920"	8020	"Disprin cv 100mg Modified-release tablet (Reckitt Benckiser Healthcare (UK) Ltd)"	"Aspirin"	"100mg"	"Modified-Release Tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"63658"	3	"Co-codaprin 400/8 Tablet (Hillcross Pharmaceuticals Ltd)"	"Aspirin"	"400/8"	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"2607"	4	"Paynocil Tablet (Beecham Research Laboratories)"	"Aspirin"	NA	"Tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"24498"	7	"ASPIRIN/CODEINE PHOSPHATE/PARACETAMOL 300 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"11326"	126	"Meprobamate with ethoheptazine citrate and aspirin Tablet"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"65909"	22	"Clopidogrel 75mg tablets (Milpharm Ltd)"	"Clopidogrel"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"33320"	3	"Aspirin 75mg Dispersible tablet (Sovereign Medical Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"11977"	100	"Aspro clear maximum strength tablets"	"Aspirin"	"500mg"	"Effervescent tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"55230"	0	"Aspirin 300mg dispersible tablets (Kent Pharma (UK) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"2106"	246170	"Persantin 100mg tablets (Boehringer Ingelheim Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"381"	5	"Anadin Tablet (Wyeth Consumer Healthcare)"	"Aspirin"	"325mg + 15mg"	"Oral tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"21382"	686	"Aspirin 150mg / Isosorbide mononitrate 60mg modified-release tablets"	"Aspirin"	"150mg + 60mg"	"Modified-release tablet"	"Oral"	"Unknown"	"Aspirin"
"26582"	72	"ASPIRIN PAED 100 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
"28784"	5	"Codeine phosphate 8mg with aspirin 400mg tablets"	"Aspirin"	"8mg+400mg"	"Tablets"	"Oral"	"Non-Opioid And Compound Analgesics/Opioid Analgesics"	"Aspirin"
"20840"	10	"Acetylsalicylic acid mix"	"Aspirin"	NA	"Mixture"	"Oromucosal"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"16184"	2	"Alka-seltzer Tablet (Bayer Plc)"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"8843"	36	"ASPIRIN 325 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"484"	15944	"Equagesic Tablet (Wyeth Pharmaceuticals)"	"Aspirin"	NA	"Tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"54526"	0	"Aspirin 300mg tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"47992"	285	"Aspirin 75mg gastro-resistant tablets (A A H Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"56736"	0	"Aspirin 300mg tablets (Waymade Healthcare Plc)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"10031"	4618	"Aspirin 25mg with Dipyridamole 200mg modified-release capsules"	"Aspirin/Dipyridamole"	"25mg + 200mg"	"Modified Release Capsules"	"Oral"	"Antiplatelet Products"	"Aspirin/Dipyridamole"
"23488"	4	"Claradin 300mg Tablet (Nicholas Laboratories Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"34797"	892	"Aspirin 75mg gastro-resistant tablets (Actavis UK Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"67124"	1	"Bisoprolol 10mg / Aspirin 75mg capsules"	"Aspirin"	"75mg + 10mg"	"Oral capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Antiplatelet Products"	"Aspirin"
"50926"	2	"Aspirin 75mg dispersible tablets (The Boots Company Plc)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"67754"	1	"Aspirin 300mg dispersible tablets (Almus Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"25211"	37	"Anadin Original tablets (Haleon UK Trading Ltd)"	"Aspirin"	"325mg + 15mg"	"Oral tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"92315"	1	"Clopidogrel 11mg oral powder sachets"	"Clopidogrel"	"11mg"	"Oral powder"	"Oral"	"Antiplatelet Products"	"Clopidogrel"
"34611"	297	"Aspirin 75mg gastro-resistant tablets (C P Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"71821"	23	"Aspirin 300mg Tablet (Numark Management Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"73466"	90	"Dipyridamole 100mg Tablet (Approved Prescription Services Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"5288"	29886	"MigraMax oral powder sachets (Zentiva Pharma UK Ltd)"	"Aspirin"	"10mg + 900mg"	"Powder for oral solution"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"31211"	29	"Aspirin 75mg Dispersible tablet (A A H Pharmaceuticals Ltd)"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"59470"	145	"Persantin Retard 200mg capsules (Consilient Health Ltd)"	"Dipyridamole"	"200mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"3309"	245	"Aspirin 325mg / Caffeine 15mg tablets"	"Aspirin"	"325mg + 15mg"	"Oral tablet"	"Oral"	"Non-Opioid And Compound Analgesics"	"Aspirin"
"657"	3261	"Aspirin 500mg granules sachets sugar free"	"Aspirin"	"500mg"	"Oral granules"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"71663"	5	"Aspirin 75mg tablets (Accord-UK Ltd)"	"Aspirin"	"75mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"31192"	116	"Vasyrol cold sore 25mg Tablet (Shire Pharmaceuticals Ltd)"	"Dipyridamole"	"25mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"3"	57214077	"Aspirin 75mg dispersible tablets"	"Aspirin"	"75mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"66861"	0	"Aspirin 75mg effervescent tablets"	"Aspirin"	"75mg"	"Effervescent tablet"	"Oral"	"Antiplatelet Products"	"Aspirin"
"51474"	0	"Aspirin 150mg suppositories (Martindale Pharmaceuticals Ltd)"	"Aspirin"	"150mg"	"Suppository"	"Rectal"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"8641"	44	"DIPYRIDAMOLE 100 MG SUS"	"Dipyridamole"	NA	NA	NA	"Unknown"	"Dipyridamole"
"4271"	455	"ASPIRIN SOLUBLE 200 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"41594"	271	"Aspirin 300mg Dispersible tablet (Teva UK Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"76416"	0	"Aspirin 300mg tablets (Bristol Laboratories Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"4557"	928	"ASPIRIN & PAPAVERUTUM 10 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"23932"	123	"Aspro Clear 300mg effervescent tablets (Bayer Plc)"	"Aspirin"	"300mg"	"Effervescent tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"67403"	0	"Dipyridamole 100mg tablets (Dr Reddy's Laboratories (UK) Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"7516"	3814	"Aspirin 300mg effervescent tablets sugar free"	"Aspirin"	"300mg"	"Effervescent tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"53816"	237	"Aspirin 300mg dispersible tablets (Alliance Healthcare (Distribution) Ltd)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
