"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antiplatelets"
"79389"	10	"Platet 300mg Effervescent tablet (Roche Products Ltd)"	"Aspirin"	"300mg"	"Effervescent tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"9144"	9871	"Caprin 75mg gastro-resistant tablets (Wockhardt UK Ltd)"	"Aspirin"	"75mg"	"Gastro-resistant tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"21989"	1783	"Cerebrovase 100mg Tablet (Ashbourne Pharmaceuticals Ltd)"	"Dipyridamole"	"100mg"	"Oral tablet"	"Oral"	"Antiplatelet Products"	"Dipyridamole"
"42061"	7	"ASPIRIN 65 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
"64071"	0	"Aspirin powder (J M Loveridge Ltd)"	"Aspirin"	"1mg/1mg"	"Not applicable"	"Route of administration not applicable"	"Antiplatelet Products/Non-Opioid And Compound Analgesics/Extemporaneous Item"	"Aspirin"
"31498"	2	"ASPIRIN / CAFFEINE CIT./ CODEINE PHOS./ 200 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"50555"	1	"Aspirin 300mg dispersible tablets (DE Pharmaceuticals)"	"Aspirin"	"300mg"	"Dispersible tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"6226"	961	"Aspirin 500mg / Papaveretum 7.71mg dispersible tablets sugar free"	"Aspirin"	"500mg + 7.71mg"	"Dispersible tablet"	"Oral"	"Unknown"	"Aspirin"
"6666"	174762	"Dipyridamole 200mg modified-release / Aspirin 25mg capsules"	"Aspirin/Dipyridamole"	"200mg + 25mg"	"Modified-release capsule"	"Oral"	"Antiplatelet Products"	"Aspirin/Dipyridamole"
"41569"	115	"Aspirin 300mg tablets (A A H Pharmaceuticals Ltd)"	"Aspirin"	"300mg"	"Oral tablet"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"31858"	1	"Caspac xl 162.5mg Capsule (Pharmacia Ltd)"	"Aspirin"	"162.5mg"	"Capsule"	"Oral"	"Antiplatelet Products/Non-Opioid And Compound Analgesics"	"Aspirin"
"33075"	4	"ASPIRIN 600MG/GLYCINE 300MG 600 MG TAB"	"Aspirin"	NA	"Tablet"	"Oral"	"Unknown"	"Aspirin"
"26424"	20	"ASPIRIN 200 MG SUP"	"Aspirin"	NA	"Suppository"	"Rectal"	"Unknown"	"Aspirin"
