"medcode"	"Term"	"OriginalReadCode"	"CleansedReadCode"	"Group"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"databaserelease"
"103915"	"[X]Bipolar affective disorder type II"	"Eu319"	"Eu31900"	"bipolar"	838	0	3	0	"March 2012"
"23538"	"Brief reactive psychosis"	"E13y1"	"E13y100"	"other psychosis"	110	0	8	0	"February 2009"
"53985"	"[X]Disorganised schizophrenia"	"Eu201-1"	"Eu20111"	"schizophrenia"	9	0	1	0	"February 2009"
"102427"	"Catatonic schizophrenia in remission"	"E1025"	"E102500"	"schizophrenia"	14	0	0	0	"June 2011"
"11596"	"Unspecified manic-depressive psychoses"	"E11y0"	"E11y000"	"bipolar"	1061	0	2	0	"February 2009"
"43093"	"Single manic episode, severe without mention of psychosis"	"E1103"	"E110300"	"bipolar"	14	0	1	0	"February 2009"
"50218"	"Single manic episode, severe, with psychosis"	"E1104"	"E110400"	"bipolar"	61	0	3	0	"February 2009"
"35274"	"[X]Schizoaffective psychosis, depressive type"	"Eu251-1"	"Eu25111"	"other psychosis"	182	0	8	0	"February 2009"
"68058"	"Bouffee delirante"	"E133-1"	"E133.11"	"other psychosis"	5	0	1	0	"February 2009"
"51032"	"[X]Recurrent manic episodes"	"Eu31y-2"	"Eu31y12"	"bipolar"	272	0	9	0	"February 2009"
"73924"	"[X]Bipolar II disorder"	"Eu31y-1"	"Eu31y11"	"bipolar"	194	0	1	0	"February 2009"
"31316"	"Mixed bipolar affective disorder"	"E116"	"E116.00"	"bipolar"	2141	0	52	0	"February 2009"
"63784"	"Bipolar affective disorder, currently manic, full remission"	"E1146"	"E114600"	"bipolar"	94	0	1	0	"February 2009"
"49763"	"Unspecified bipolar affective disorder, unspecified"	"E1170"	"E117000"	"bipolar"	142	0	0	0	"February 2009"
"14743"	"Simple paranoid state"	"E120"	"E120.00"	"other psychosis"	3670	0	634	0	"February 2009"
"12777"	"H/O: psychosis"	"146H"	"146H.00"	"other psychosis"	6244	0	417	0	"February 2009"
"43462"	"Delusion of persecution"	"1BH0"	"1BH0.00"	"other psychosis"	395	0	13	0	"February 2009"
"28562"	"[X]Persistent delusional disorders"	"Eu22"	"Eu22.00"	"other psychosis"	1024	0	9	0	"February 2009"
"16333"	"Other reactive psychoses"	"E13y"	"E13y.00"	"other psychosis"	263	0	48	0	"February 2009"
"63583"	"Mixed bipolar affective disorder, NOS"	"E116z"	"E116z00"	"bipolar"	257	0	1	0	"February 2009"
"33693"	"[X]Schizoaffective disorder, mixed type"	"Eu252"	"Eu25200"	"other psychosis"	307	0	1	0	"February 2009"
"44307"	"[X]Other acute predominantly delusional psychotic disorders"	"Eu233"	"Eu23300"	"other psychosis"	121	0	4	0	"February 2009"
"44693"	"[X]Bipolar affective disorder, current episode mixed"	"Eu316"	"Eu31600"	"bipolar"	179	0	4	0	"February 2009"
"58866"	"Acute exacerbation subchronic schizo-affective schizophrenia"	"E1073"	"E107300"	"other psychosis"	10	0	0	0	"February 2009"
"63701"	"Bipolar affect disord, now depressed, severe with psychosis"	"E1154"	"E115400"	"bipolar"	23	0	0	0	"February 2009"
"102311"	"Unspecified latent schizophrenia"	"E1050"	"E105000"	"other psychosis"	6	0	0	0	"June 2011"
"64533"	"[X]Schizophrenic catalepsy"	"Eu202-2"	"Eu20212"	"schizophrenia"	4	0	0	0	"February 2009"
