"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Anticoagulants"
"1440541000033116"	"Tinzaparin sodium 10,000units/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"1440641000033115"	"Tinzaparin sodium 14,000units/0.7ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"1440741000033112"	"Tinzaparin sodium 18,000units/0.9ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Tinzaparin"	"20000.000unit/1.000ml + 20000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"1531641000033118"	"Warfarin 1mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Warfarin"	"1.000mg"	"02080200"	"Warfarin"
"1531741000033110"	"Warfarin 3mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Warfarin"	"3.000mg"	"02080200"	"Warfarin"
"1531841000033117"	"Warfarin 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Warfarin"	"5.000mg"	"02080200"	"Warfarin"
"1531941000033113"	"Warfarin Wbp  Tablets"	"Tablet"	"Oral"	"Warfarin"	NA	NA	"Warfarin"
"1532041000033119"	"Warfarin Wbp  Tablets  1 mg"	"Tablet"	"Oral"	"Warfarin"	NA	NA	"Warfarin"
"1532141000033115"	"Warfarin Wbp  Tablets  3 mg"	"Tablet"	"Oral"	"Warfarin"	NA	NA	"Warfarin"
"1532241000033110"	"Warfarin Wbp  Tablets  5 mg"	"Tablet"	"Oral"	"Warfarin"	NA	NA	"Warfarin"
"1532341000033117"	"Warfarin (Evans)  Tablets  3 mg"	"Tablet"	"Oral"	"Warfarin"	NA	NA	"Warfarin"
"1620241000033118"	"Innohep 3,500units/0.35ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	NA	"Tinzaparin"
"1620341000033111"	"Innohep 4,500units/0.45ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	NA	"Tinzaparin"
"1700641000033119"	"Tinzaparin sodium 3,500units/0.35ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"1700741000033111"	"Tinzaparin sodium 4,500units/0.45ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"1726741000033118"	"Dalteparin sodium 10,000units/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Dalteparin"
"1726841000033111"	"Dalteparin sodium 12,500units/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Dalteparin"
"1726941000033115"	"Dalteparin sodium 15,000units/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Dalteparin"
"1727041000033119"	"Dalteparin sodium 18,000units/0.72ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Dalteparin"
"1731041000033113"	"Fragmin 10,000units/0.4ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Dalteparin"
"1731141000033112"	"Fragmin 12,500units/0.5ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Dalteparin"
"1731241000033117"	"Fragmin 15,000units/0.6ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Dalteparin"
"1731341000033110"	"Fragmin 18,000units/0.72ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Dalteparin"
"1781541000033113"	"Dalteparin sodium 10,000units/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"02080100"	"Dalteparin"
"1781641000033114"	"Fragmin Graduated Syringe 10,000units/1ml solution for injection pre-filled syringes"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	NA	"Dalteparin"
"1781841000033110"	"Tinzaparin sodium 20,000units/2ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	"02080100"	"Tinzaparin"
"1781941000033119"	"Innohep 20,000units/2ml solution for injection vials"	"Solution for injection"	"Subcutaneous/ Intravenous"	"Tinzaparin"	"10000.000unit/1.000ml + 10000.000unit/1.000ml"	NA	"Tinzaparin"
"1819641000033114"	"Warfarin 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Warfarin"	"500.000microgram"	"02080200"	"Warfarin"
"1819741000033117"	"Marevan 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Warfarin"	"500.000microgram"	NA	"Warfarin"
"1821941000033114"	"Dalteparin sodium 100,000units/4ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	"02080100"	"Dalteparin"
"1822041000033115"	"Fragmin 100,000units/4ml solution for injection vials"	"Solution for injection"	"Subcutaneous"	"Dalteparin"	"25000.000unit/1.000ml + 25000.000unit/1.000ml"	NA	"Dalteparin"
