"prodcode"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"Antidiabetic"	"group"	"database"
"55234"	"Tresiba FlexTouch 200units/ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"200unit/1ml"	"Insulin"	"Insulin"	"Gold"
"7744"	"Daonil 5mg tablets (Sanofi)"	"Oral tablet"	"Oral"	"Glibenclamide"	"5mg"	"Glibenclamide"	"Sulfonylureas"	"Gold"
"6991"	"BD Micro-Fine + hypodermic U100 insulin syringe sterile single use / single patient use 0.5ml with 12.7mm needle 0.33mm/29gauge (Becton, Dickinson UK Ltd)"	"Insulin Syringe With 12Mm Needle(29G)"	NA	"Insulin"	"0.5ml"	"Insulin"	"Insulin"	"Gold"
"5649"	"Autopen hypodermic insulin injection pen reusable for 1.5ml cartridge 1 unit dial up / range 1-16 units (Owen Mumford Ltd)"	"Insulin Pen"	NA	"Insulin"	"1.5ml/1-16 units"	"Insulin"	"Insulin"	"Gold"
"27461"	"Insuman Basal 100units/ml suspension for injection 3ml cartridges (Sanofi)"	"Suspension for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"89358"	"Wegovy FlexTouch 1mg/0.75ml solution for injection 3ml pre-filled pens (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous"	"Semaglutide"	"1.34mg/1ml"	"Semaglutide"	"GLP-1RAs"	"Gold"
"33101"	"Hypodermic insulin needles for pre-filled / reusable pen injectors screw on 12.7mm/29gauge"	"Hypodermic Needle"	NA	"Insulin"	"12.7mm/29gauge"	"Insulin"	"Insulin"	"Gold"
"33966"	"Insulatard 100unit/ml Injection (Novo Nordisk Ltd)"	"Injection"	"Subcutaneous Injection"	"Insulin"	"100unit/ml"	"Insulin"	"Insulin"	"Gold"
"9699"	"Pioglitazone 30mg tablets"	"Oral tablet"	"Oral"	"Pioglitazone"	"30mg"	"Pioglitazone"	"Other"	"Gold"
"90048"	"Mounjaro KwikPen 2.5mg/0.6ml solution for injection 2.4ml pre-filled pens (Eli Lilly and Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Tirzepatide"	"4.167mg/1ml"	"Tirzepatide"	"GLP-1RAs"	"Gold"
"58607"	"Metformin 500mg/5ml oral solution sugar free (Zentiva Pharma UK Ltd)"	"Oral solution"	"Oral"	"Metformin"	"100mg/1ml"	"Metformin"	"Metformin"	"Gold"
"5227"	"Rosiglitazone 8mg tablets"	"Oral tablet"	"Oral"	"Rosiglitazone"	"8mg"	"Rosiglitazone"	"Other"	"Gold"
"1751"	"Hypodermic U100 insulin syringe glass reusable 1ml"	"Insulin Syringe"	NA	"Insulin"	"1ml"	"Insulin"	"Insulin"	"Gold"
"8839"	"INSULIN SEMITARD 100 I/U INJ"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"6965"	"Levemir Penfill 100units/ml solution for injection 3ml cartridges (Novo Nordisk Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"40233"	"Metformin 1g oral powder sachets sugar free"	"Powder for oral solution"	"Oral"	"Metformin"	"1gram"	"Metformin"	"Metformin"	"Gold"
"52634"	"Glucophage SR 500mg tablets (DE Pharmaceuticals)"	"Modified-release tablet"	"Oral"	"Metformin"	"500mg"	"Metformin"	"Metformin"	"Gold"
"82846"	"Amglidia 0.6mg/ml oral suspension with 5ml oral syringe (Amring Pharmaceuticals Ltd)"	"Oral suspension"	"Oral"	"Glibenclamide"	"600microgram/1ml"	"Glibenclamide"	"Sulfonylureas"	"Gold"
"82816"	"Lyumjev 100units/ml solution for injection 10ml vials (Eli Lilly and Company Ltd)"	"Solution for injection"	"Intravenous/Intramuscular/Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"6061"	"Novomix 30 30/70 100units/ml Injection (Novo Nordisk Ltd)"	"Injection"	"Subcutaneous Injection"	"Insulin"	"30/70 100units/ml"	"Insulin"	"Insulin"	"Gold"
"78125"	"Gliclazide 30mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Modified-release tablet"	"Oral"	"Gliclazide"	"30mg"	"Gliclazide"	"Sulfonylureas"	"Gold"
"49307"	"Mylife Clickfine hypodermic insulin needles for pre-filled / reusable pen injectors snap on 4.5mm/31gauge (Ypsomed Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"92100"	"Apollo Pro-Shield Safety Pen hypodermic insulin needles for pre-filled / reusable pen injectors screw on 5mm/30gauge (Apollo Medical Technologies Ltd)"	"Solution for injection"	"Intramuscular"	"Insulin"	NA	"Insulin"	"Insulin"	"Gold"
"62326"	"Vipidia 6.25mg tablets (Takeda UK Ltd)"	"Oral tablet"	"Oral"	"Alogliptin"	"6.25mg"	"Alogliptin"	"DPP-4is"	"Gold"
"53118"	"NovoRapid FlexPen 100units/ml solution for injection 3ml pre-filled pens (Mawdsley-Brooks & Company Ltd)"	"Solution for injection"	"Subcutaneous"	"Insulin"	"100unit/1ml"	"Insulin"	"Insulin"	"Gold"
"77978"	"Januvia 50mg tablets (Pharmaram Ltd)"	"Oral tablet"	"Oral"	"Sitagliptin"	"50mg"	"Sitagliptin"	"DPP-4is"	"Gold"
