"medcode"	"readcode"	"clinicalevents"	"immunisationevents"	"referralevents"	"testevents"	"term"	"databaserelease"	"period"
"20910"	"ZV25311"	101	0	1	0	"[v]admission for termination of pregnancy (top)"	"February 2009"	"unspecified"
"70149"	"L16A100"	2	0	0	0	"glycosuria during pregnancy - delivered"	"February 2009"	"unspecified"
"59573"	"L176500"	28	0	0	0	"viral hepatitis comp pregnancy, childbirth & the puerperium"	"February 2009"	"postnatal"
"14540"	"4JL3.11"	1	0	0	4	"amniotic fluid for c/s"	"February 2009"	"late pregnancy"
"69780"	"Lyu5100"	9	0	0	0	"[x]other and unspecified forceps delivery"	"February 2009"	"postnatal"
"13418"	"62W..00"	10599	0	4333	55244	"antenatal blood tests"	"February 2009"	"early pregnancy"
"88361"	"L248.11"	4	0	1	0	"persistent hymen in pregnancy, childbirth and the puerperium"	"February 2009"	"postnatal"
"31610"	"L248.13"	87	0	13	0	"vulval abnormality in pregnancy/childbirth/puerperium"	"February 2009"	"postnatal"
"54677"	"L167200"	5	0	1	0	"liver disorder in pregnancy - not delivered"	"February 2009"	"unspecified"
"62862"	"L342200"	25	0	2	0	"third degree perineal tear during delivery with p/n problem"	"February 2009"	"postnatal"
"69698"	"Z262P11"	10	0	0	0	"placenta normal"	"February 2009"	"late pregnancy"
"66836"	"L361z00"	12	0	0	0	"other immediate postpartum haemorrhage nos"	"February 2009"	"postnatal"
"41899"	"L240000"	21	0	1	0	"congenital abnormality of uterus affecting obstetric care"	"February 2009"	"unspecified"
"28726"	"7F19100"	1383	0	21	0	"water birth delivery"	"February 2009"	"postnatal"
"101401"	"8ID..00"	33	0	2	0	"postnatal depression not discussed"	"January 2011"	"postnatal"
"102576"	"L051711"	91	0	0	0	"incomplete termination of pregnancy"	"July 2011"	"unspecified"
"100628"	"L184400"	2	0	0	0	"mental disorder in puerperium - baby previously delivered"	"September 2010"	"postnatal"
"25731"	"Z27..00"	40	0	1	0	"obstetric investigative observation"	"February 2009"	"unspecified"
"92998"	"Lyu1.00"	2	0	1	0	"[x]oedema,proteinuria+hypertens in pregnancy,childbrth,puerp"	"February 2009"	"unspecified"
"112533"	"Lyu5600"	1	0	0	0	"[x]other multiple delivery"	"February 2018"	"postnatal"
"36903"	"67AZ.00"	2990	0	8	1	"pregnancy advice nos"	"February 2009"	"unspecified"
"46448"	"Q486.00"	54	0	0	0	"fetal death due to termination of pregnancy"	"February 2009"	"unspecified"
"61533"	"L270200"	11	0	0	0	"polyhydramnios with antenatal problem"	"February 2009"	"early pregnancy"
