"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antihypertensives"
"76633"	0	"Propranolol 10mg tablets (DE Pharmaceuticals)"	"Propranolol"	"10mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"35116"	1213	"Minoxidil 2% gel"	"Minoxidil"	"20mg/1gram"	"Cutaneous gel"	"Cutaneous"	"Vasodilator Antihypertensive Products/Androgenetic Alopecia"	"Minoxidil"
"73389"	0	"Enalapril 2.5mg tablets (DE Pharmaceuticals)"	"Enalapril"	"2.5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"90885"	104	"Latanoprost 50micrograms/ml / Timolol 5mg/ml eye drops preservative free"	"Timolol"	"50microgram/1ml + 5mg/1ml"	"Eye drops"	"Ocular"	"Beta-Blockers (In Glaucoma)/Prostaglandin Analogues (In Glaucoma)"	"Timolol"
"3548"	2161	"Chlortalidone 100mg tablets"	"Chlortalidone"	"100mg"	"Tablets"	"Oral"	"Thiazides And Related Diuretics/Posterior Pituitary Hormones And Antagonists"	"Chlortalidone"
"76128"	0	"Lisinopril 20mg tablets (Lupin Healthcare (UK) Ltd)"	"Lisinopril"	"20mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Lisinopril"
"73617"	76	"Enalapril 1.5mg/5ml oral suspension"	"Enalapril"	"300microgram/1ml"	"Oral suspension"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"19440"	243	"Disogram SR 300mg capsules (Sun Pharma UK Ltd)"	"Diltiazem"	"300mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"5234"	126818	"Slozem 180mg capsules (Zentiva Pharma UK Ltd)"	"Diltiazem"	"180mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"2414"	94864	"Inderal 10mg tablets (AstraZeneca UK Ltd)"	"Propranolol"	"10mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"65822"	29	"Spironolactone 12.5mg/5ml oral suspension"	"Spironolactone"	"2.5mg/1ml"	"Oral suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
