"prodcode"	"therapyevents"	"productname"	"ingredient"	"strength"	"formulation"	"route"	"bnftext"	"Antihypertensives"
"26269"	349	"Optil sr 180mg Modified-release capsule (Opus Pharmaceuticals Ltd)"	"Diltiazem"	"180mg"	"Modified-Release Capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"19695"	15	"AMILORIDE HYDROCHLORIDE"	"Amiloride"	NA	NA	NA	"Unknown"	"Amiloride"
"68221"	5837	"Amlodipine 10mg tablets (Kent Pharma (UK) Ltd)"	"Amlodipine"	"10mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Amlodipine"
"56763"	0	"Ramipril 10mg capsules (Phoenix Healthcare Distribution Ltd)"	"Ramipril"	"10mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"26895"	226	"Syprol 10mg/5ml oral solution (Rosemont Pharmaceuticals Ltd)"	"Propranolol"	"2mg/1ml"	"Oral solution"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"58990"	1	"Nifedipine 10mg modified-release tablets (Cubic Pharmaceuticals Ltd)"	"Nifedipine"	"10mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"42906"	2715	"Indapamide 2.5mg tablets (Niche Generics Ltd)"	"Indapamide"	"2.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"624"	4789691	"Losartan 100mg tablets"	"Losartan"	"100mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Losartan"
"2686"	23897	"Dilzem xl mr 240mg Modified-release capsule (Elan Pharma)"	"Diltiazem"	"240mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"90132"	146	"Candesartan 32mg tablets (Actavis UK Ltd)"	"Candesartan"	"32mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"30473"	153	"Coroday MR 20mg tablets (Viatris UK Healthcare Ltd)"	"Nifedipine"	"20mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"82348"	0	"Trandolapril 500microgram capsules (Accord-UK Ltd)"	"Trandolapril"	"500microgram"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Trandolapril"
"90653"	0	"Metoprolol 25mg tablets (A A H Pharmaceuticals Ltd)"	"Metoprolol"	"25mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"Metoprolol"
"56760"	0	"Indapamide 2.5mg tablets (Strides Pharma UK Ltd)"	"Indapamide"	"2.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"77436"	182	"Cardura XL 4mg tablets (Mawdsley-Brooks & Company Ltd)"	"Doxazosin"	"4mg"	"Modified-release tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"11965"	1613	"Ramipril 2.5mg with felodipine 2.5mg modified-release tablet"	"Felodipine/Ramipril"	"2.5mg + 2.5mg"	"Modified Release Tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)/Calcium-Channel Blockers"	"Felodipine/Ramipril"
"87363"	16	"Bimatoprost 300micrograms/ml / Timolol 5mg/ml eye drops 0.4ml unit dose preservative free (Aspire Pharma Ltd)"	"Timolol"	"5mg/1ml + 300microgram/1ml"	"Eye drops"	"Ocular"	"Prostaglandin Analogues (In Glaucoma)"	"Timolol"
"77457"	828	"Capozide 25mg/50mg tablets (Dowelhurst Ltd)"	"Captopril/Hydrochlorothiazide"	"25mg + 50mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Captopril/Hydrochlorothiazide"
"1120"	350064	"Verapamil 80mg tablets"	"Verapamil"	"80mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Verapamil"
"13264"	187	"Spironolactone 15mg/5ml oral suspension"	"Spironolactone"	"3mg/1ml"	"Oral suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"15085"	316	"Innovace Titration pack (Merck Sharp & Dohme Ltd)"	"Enalapril"	NA	"Titration Pack"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"18938"	2	"MINOXIDIL 1 % TAB"	"Minoxidil"	NA	"Tablet"	"Oral"	"Unknown"	"Minoxidil"
"15619"	190	"Half-betadur cr 80mg Capsule (Monmouth Pharmaceuticals Ltd)"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"Propranolol"
"15042"	1001	"Tolerzide Tablet (Bristol-Myers Squibb Pharmaceuticals Ltd)"	"Hydrochlorothiazide"	NA	"Tablet"	"Oral"	"Beta-Adrenoceptor Blockers"	"Hydrochlorothiazide"
"34357"	157	"Ramipril 10mg capsules (Genus Pharmaceuticals Ltd)"	"Ramipril"	"10mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"9386"	16045	"Nicardipine 45mg modified-release capsules"	"Nicardipine"	"45mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Nicardipine"
"25367"	1564	"Rapranol SR 80mg capsules (Sun Pharma UK Ltd)"	"Propranolol"	"80mg"	"Modified-release capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"12547"	2364	"Triamterene 50mg / Chlortalidone 50mg tablets"	"Chlortalidone/Triamterene"	"50mg + 50mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics With Other Diuretics"	"Chlortalidone/Triamterene"
"69526"	5	"Atenolol 50mg/5ml oral solution"	"Atenolol"	"10mg/1ml"	"Oral solution"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"33095"	113	"Perindopril erbumine 4mg tablets (A A H Pharmaceuticals Ltd)"	"Perindopril"	"4mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"57448"	121	"Doxazosin 4mg tablets (A A H Pharmaceuticals Ltd)"	"Doxazosin"	"4mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"87675"	1	"Valsartan 40mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Valsartan"	"40mg"	"Oral capsule"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Valsartan"
"86992"	1	"Lacidipine 2mg/5ml oral suspension"	"Lacidipine"	"400microgram/1ml"	"Oral suspension"	"Oral"	"Calcium-Channel Blockers"	"Lacidipine"
"45324"	558	"Lisinopril 20mg tablets (Actavis UK Ltd)"	"Lisinopril"	"20mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Lisinopril"
"197"	660	"Atenolol 5mg/10ml solution for injection ampoules"	"Atenolol"	"500microgram/1ml"	"Solution for injection"	"Intravenous"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"5277"	21619	"Fortipine LA 40 tablets (Advanz Pharma)"	"Nifedipine"	"40mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"59699"	3248	"Captopril 5mg/5ml oral solution sugar free"	"Captopril"	"1mg/1ml"	"Oral solution"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Captopril"
"60603"	8	"Chlorothiazide 50mg/5ml oral suspension"	"Chlorothiazide"	"10mg/1ml"	"Oral suspension"	"Oral"	"Thiazides And Related Diuretics"	"Chlorothiazide"
"41885"	26	"Ethibide XL 1.5mg tablets (Genus Pharmaceuticals Ltd)"	"Indapamide"	"1.5mg"	"Modified-release tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"19325"	6	"Cordilox 2.5mg/ml Injection (IVAX Pharmaceuticals UK Ltd)"	"Verapamil"	"2.5mg/1ml"	"Solution for injection"	"Intravenous"	"Supraventricular Arrhythmias/Calcium-Channel Blockers"	"Verapamil"
"41706"	17	"Spironolactone 50mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Spironolactone"	"50mg"	"Oral tablet"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"80833"	1	"Irbesartan 300mg tablets (Zentiva Pharma UK Ltd)"	"Irbesartan"	"300mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Irbesartan"
"83288"	4	"Bedranol 10mg tablets (Ennogen Pharma Ltd)"	"Propranolol"	"10mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"74929"	103	"Nadolol Oral solution"	"Nadolol"	NA	"Oral Solution"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"Nadolol"
"64624"	6	"Diltiazem 4% cream"	"Diltiazem"	"40mg/1gram"	"Cream"	"Route of administration not applicable"	"Local Products For Anal Or Rectal Problems/Calcium-Channel Blockers"	"Diltiazem"
"63717"	0	"Irbesartan 300mg tablets (DE Pharmaceuticals)"	"Irbesartan"	"300mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Irbesartan"
"62300"	0	"Phenoxybenzamine 10mg capsules (Advanz Pharma)"	"Phenoxybenzamine"	"10mg"	"Oral capsule"	"Oral"	"Alpha-Adrenoceptor Blockers"	"Phenoxybenzamine"
"76195"	7	"Spironolactone 5mg/5ml Oral suspension sugar free (Rosemont Pharmaceuticals Ltd)"	"Spironolactone"	"5mg/5ml"	"Oral Suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"63724"	0	"Metoprolol 100mg tablets (Waymade Healthcare Plc)"	"Metoprolol"	"100mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine"	"Metoprolol"
"83117"	0	"Adizem-XL 200mg capsules (Lexon (UK) Ltd)"	"Diltiazem"	"200mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"53551"	0	"Lisinopril 20mg tablets (Phoenix Healthcare Distribution Ltd)"	"Lisinopril"	"20mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Lisinopril"
"55853"	25	"Pindolol 15mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Pindolol"	"15mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers"	"Pindolol"
"76797"	2	"Ifirmasta 75mg tablets (Krka UK Ltd)"	"Irbesartan"	"75mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Irbesartan"
"75488"	6	"Spironolactone 250mg/5ml oral suspension"	"Spironolactone"	"50mg/1ml"	"Oral suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"34893"	10	"Ramipril 10mg Capsule (IVAX Pharmaceuticals UK Ltd)"	"Ramipril"	"10mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"38855"	201830	"Adizem-XL 180mg capsules (Napp Pharmaceuticals Ltd)"	"Diltiazem"	"180mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"30557"	209	"Felogen XL 10mg tablets (Viatris UK Healthcare Ltd)"	"Felodipine"	"10mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Felodipine"
"21466"	5	"PHENOXYBENZAMINE HCl 5 MG CAP"	"Phenoxybenzamine"	NA	NA	NA	"Unknown"	"Phenoxybenzamine"
"57266"	0	"Candesartan 2mg tablets (Accord-UK Ltd)"	"Candesartan"	"2mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"43989"	1248	"Aldomet 500mg tablets (Aspen Pharma Trading Ltd)"	"Methyldopa"	"500mg"	"Oral tablet"	"Oral"	"Centrally Acting Antihypertensive Products"	"Methyldopa"
"63322"	7	"Enalapril 10mg tablets (Almus Pharmaceuticals Ltd)"	"Enalapril"	"10mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"24"	7372084	"Atenolol 100mg tablets"	"Atenolol"	"100mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"65513"	4192	"Invicorp 25micrograms/2mg/0.35ml solution for injection ampoules (Evolan Pharma AB)"	"Phentolamine"	"71.43microgram/1ml + 5.71mg/1ml"	"Solution for injection"	"Intracavernous"	"Drugs For Erectile Dysfunction"	"Phentolamine"
"48870"	153	"Adizem-SR 90mg capsules (DE Pharmaceuticals)"	"Diltiazem"	"90mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"18834"	698	"Disogram SR 60mg capsules (Sun Pharma UK Ltd)"	"Diltiazem"	"60mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"63385"	5	"Sabervel 75mg tablets (Aspire Pharma Ltd)"	"Irbesartan"	"75mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Irbesartan"
"61067"	10	"Ramipril 5mg capsules (Almus Pharmaceuticals Ltd)"	"Ramipril"	"5mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"54467"	49	"Clonidine 300micrograms/24hours transdermal patches"	"Clonidine"	"300microgram/24hour"	"Transdermal patch"	"Transdermal"	"Centrally Acting Antihypertensive Products"	"Clonidine"
"4802"	82615	"Cardura 2mg tablets (Viatris UK Healthcare Ltd)"	"Doxazosin"	"2mg"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"48398"	0	"Losartan 25mg tablets (Dexcel-Pharma Ltd)"	"Losartan"	"25mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Losartan"
"62415"	0	"Irbesartan 300mg tablets (A A H Pharmaceuticals Ltd)"	"Irbesartan"	"300mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Irbesartan"
"72924"	0	"Candesartan 4mg tablets (Phoenix Healthcare Distribution Ltd)"	"Candesartan"	"4mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"11304"	675	"Regaine extra strength 50mg/ml Cutaneous solution (Pharmacia Ltd)"	"Minoxidil"	"50mg/1ml"	"Cutaneous solution"	"Cutaneous"	"Androgenetic Alopecia"	"Minoxidil"
"65504"	0	"Adizem-SR 180mg capsules (Lexon (UK) Ltd)"	"Diltiazem"	"180mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"75847"	43	"Perindopril erbumine 8mg/5ml oral solution"	"Perindopril"	"1.6mg/1ml"	"Oral solution"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"74285"	4	"Spironolactone 25mg/5ml oral suspension (Special Order)"	"Spironolactone"	"5mg/1ml"	"Oral suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"30242"	18020	"Diltiazem 180mg modified-release capsules"	"Diltiazem"	"180mg"	"Modified-release capsule"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"87812"	16	"Perindopril erbumine 4mg tablets (Tillomed Laboratories Ltd)"	"Perindopril"	"4mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"34471"	26	"Lisinopril 5mg tablets (Viatris UK Healthcare Ltd)"	"Lisinopril"	"5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Lisinopril"
"4818"	3343016	"Candesartan 8mg tablets"	"Candesartan"	"8mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Candesartan"
"4227"	794859	"Adalat la 60mg Tablet (Bayer Plc)"	"Nifedipine"	"60mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"64719"	0	"Felodipine 2.5mg modified-release tablets (Sigma Pharmaceuticals Plc)"	"Felodipine"	"2.5mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Felodipine"
"62516"	386	"Hydrochlorothiazide 12.5mg tablets"	"Hydrochlorothiazide"	"12.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Hydrochlorothiazide"
"15108"	13023	"Quinapril 10mg / Hydrochlorothiazide 12.5mg tablets"	"Hydrochlorothiazide/Quinapril"	"12.5mg + 10mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Hydrochlorothiazide/Quinapril"
"26219"	1001	"Zida-co 5mg+50mg Tablet (Opus Pharmaceuticals Ltd)"	"Hydrochlorothiazide/Amiloride"	"50mg + 5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics/Potassium-Sparing Diuretics With Other Diuretics"	"Hydrochlorothiazide/Amiloride"
"4215"	16276	"Catapres 100microgram tablets (Glenwood GmbH)"	"Clonidine"	"100microgram"	"Oral tablet"	"Oral"	"Centrally Acting Antihypertensive Products"	"Clonidine"
"35731"	2355	"Perindopril erbumine 8mg tablets (A A H Pharmaceuticals Ltd)"	"Perindopril"	"8mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"26256"	145	"Opumide 2.5mg Tablet (Opus Pharmaceuticals Ltd)"	"Indapamide"	"2.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"58451"	1	"Lisinopril 2.5mg tablets (Almus Pharmaceuticals Ltd)"	"Lisinopril"	"2.5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Lisinopril"
"6243"	183334	"Telmisartan 20mg tablets"	"Telmisartan"	"20mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Telmisartan"
"73646"	0	"Nicardipine 20mg capsules (Tillomed Laboratories Ltd)"	"Nicardipine"	"20mg"	"Oral capsule"	"Oral"	"Calcium-Channel Blockers"	"Nicardipine"
"26275"	1240	"Nindaxa 2.5 tablets (Ashbourne Pharmaceuticals Ltd)"	"Indapamide"	"2.5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Indapamide"
"24195"	7874	"Antipressan 100mg tablets (Teva UK Ltd)"	"Atenolol"	"100mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"72819"	0	"Methyldopa 250mg tablets (Phoenix Healthcare Distribution Ltd)"	"Methyldopa"	"250mg"	"Oral tablet"	"Oral"	"Centrally Acting Antihypertensive Products"	"Methyldopa"
"67675"	7060	"Guanfacine 4mg modified-release tablets"	"Guanfacine"	"4mg"	"Modified-release tablet"	"Oral"	"Centrally Acting Antihypertensive Products"	"Guanfacine"
"45265"	6	"Doxazosin sr 4mg Tablet (Generics (UK) Ltd)"	"Doxazosin"	"4mg"	"Modified-release tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Doxazosin"
"49953"	10	"Atenolol 25mg tablets (Bristol Laboratories Ltd)"	"Atenolol"	"25mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"53253"	3	"Spironolactone 50mg/5ml oral suspension (Special Order)"	"Spironolactone"	"10mg/1ml"	"Oral suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Spironolactone"
"38433"	6	"Propranolol 50mg/5ml Oral solution (Rosemont Pharmaceuticals Ltd)"	"Propranolol"	"50mg/5ml"	"Oral Solution"	"Oral"	"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"Propranolol"
"12639"	194	"Diltiazem HCl 90mg Modified-release tablet (Actavis UK Ltd)"	"Diltiazem"	"90mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Diltiazem"
"55297"	0	"Timolol 0.25% eye drops (Phoenix Healthcare Distribution Ltd)"	"Timolol"	"2.5mg/1ml"	"Eye drops"	"Ocular"	"Beta-Blockers (In Glaucoma)"	"Timolol"
"55050"	3	"CHLOROTHIAZIDE/SPIRONOLACTONE/LACT SACH 50 MG"	"Chlorothiazide/Spironolactone"	NA	NA	NA	"Unknown"	"Chlorothiazide/Spironolactone"
"54345"	0	"Trandolapril 4mg capsules (Arrow Generics Ltd)"	"Trandolapril"	"4mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Trandolapril"
"25055"	0	"NIFEDIPINE"	"Nifedipine"	NA	NA	NA	"Unknown"	"Nifedipine"
"60149"	94	"Amiloride 5mg/5ml oral suspension"	"Amiloride"	"1mg/1ml"	"Oral suspension"	"Oral"	"Potassium-Sparing Diuretics And Aldosterone Antagonists"	"Amiloride"
"38889"	890	"MicardisPlus 80mg/25mg tablets (Boehringer Ingelheim Ltd)"	"Hydrochlorothiazide/Telmisartan"	"25mg + 80mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists With Diuretic"	"Hydrochlorothiazide/Telmisartan"
"55824"	156	"Nifedipine 20mg Modified-release tablet (Berk Pharmaceuticals Ltd)"	"Nifedipine"	"20mg"	"Modified-Release Tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"44657"	9	"Ednyt 2.5mg Tablet (Dominion Pharma)"	"Enalapril"	"2.5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"8884"	13918	"Cordilox 40mg tablets (IVAX Pharmaceuticals UK Ltd)"	"Verapamil"	"40mg"	"Oral tablet"	"Oral"	"Calcium-Channel Blockers"	"Verapamil"
"54733"	0	"Perindopril erbumine 8mg tablets (Krka UK Ltd)"	"Perindopril"	"8mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"27964"	1	"Apsolol 40mg Tablet (Approved Prescription Services Ltd)"	"Propranolol"	"40mg"	"Oral tablet"	"Oral"	"Supraventricular Arrhythmias/Beta-Adrenoceptor Blockers"	"Propranolol"
"40384"	98	"Ramipril 10mg tablets (A A H Pharmaceuticals Ltd)"	"Ramipril"	"10mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"81936"	1	"Enalapril 20mg/5ml oral suspension"	"Enalapril"	"4mg/1ml"	"Oral suspension"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"2590"	85896	"Tenormin 25mg tablets (AstraZeneca UK Ltd)"	"Atenolol"	"25mg"	"Oral tablet"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"15117"	10699	"Nifedipine with atenolol 20mg + 50mg Capsule"	"Nifedipine/Atenolol"	"20mg + 50mg"	"Capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Calcium-Channel Blockers"	"Nifedipine/Atenolol"
"43547"	2	"Prazosin 500microgram tablets (IVAX Pharmaceuticals UK Ltd)"	"Prazosin"	"500microgram"	"Oral tablet"	"Oral"	"Alpha-Adrenoceptor Blockers/Alpha-Blockers (In Urinary Retention)"	"Prazosin"
"78906"	0	"Atenolol 25mg/5ml oral solution sugar free (Sigma Pharmaceuticals Plc)"	"Atenolol"	"5mg/1ml"	"Oral solution"	"Oral"	"Beta-Adrenoceptor Blockers"	"Atenolol"
"34124"	342	"Bendroflumethiazide 5mg tablets (Accord-UK Ltd)"	"Bendroflumethiazide"	"5mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Bendroflumethiazide"
"38107"	76	"Nifedipine sr 30mg Tablet (Hillcross Pharmaceuticals Ltd)"	"Nifedipine"	"30mg"	"Tablet"	"Oral"	"Calcium-Channel Blockers"	"Nifedipine"
"82499"	125	"Innovace 5mg tablets (Dowelhurst Ltd)"	"Enalapril"	"5mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Enalapril"
"64760"	0	"Felodipine 10mg modified-release tablets (Phoenix Healthcare Distribution Ltd)"	"Felodipine"	"10mg"	"Modified-release tablet"	"Oral"	"Calcium-Channel Blockers"	"Felodipine"
"91605"	73	"Losartan 50mg tablets (Genesis Pharmaceuticals Ltd)"	"Losartan"	"50mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Losartan"
"55358"	23	"Olmesartan medoxomil with amlodipine and hydrochlorothiazide 40mg + 10mg + 25mg Tablet"	"Amlodipine/Hydrochlorothiazide/Olmesartan"	"40mg + 10mg + 25mg"	"Tablet"	"Oral"	"Thiazides And Related Diuretics/Angiotensin-II Receptor Antagonists"	"Amlodipine/Hydrochlorothiazide/Olmesartan"
"62039"	0	"Ramipril 1.25mg tablets (Zentiva Pharma UK Ltd)"	"Ramipril"	"1.25mg"	"Oral tablet"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
"66114"	0	"Losartan 12.5mg tablets (Mawdsley-Brooks & Company Ltd)"	"Losartan"	"12.5mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Losartan"
"52609"	2258	"Inderal LA 160mg capsules (Sigma Pharmaceuticals Plc)"	"Propranolol"	"160mg"	"Modified-release capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"75259"	1	"Hydralazine 1mg/5ml oral suspension"	"Hydralazine"	"200microgram/1ml"	"Oral suspension"	"Oral"	"Vasodilator Antihypertensive Products"	"Hydralazine"
"16285"	1876	"Teveten 400mg tablets (Abbott Healthcare Products Ltd)"	"Eprosartan"	"400mg"	"Oral tablet"	"Oral"	"Angiotensin-II Receptor Antagonists"	"Eprosartan"
"79798"	7	"Chlorothiazide 500mg tablets"	"Chlorothiazide"	"500mg"	"Oral tablet"	"Oral"	"Thiazides And Related Diuretics"	"Chlorothiazide"
"77413"	1317	"Inderal LA 160mg capsules (Waymade Healthcare Plc)"	"Propranolol"	"160mg"	"Modified-release capsule"	"Oral"	"Beta-Adrenoceptor Blockers/Prophylaxis Of Migraine/Drugs For Essential Tremor, Chorea, Tics, And Related Disorders/Antithyroid Products"	"Propranolol"
"81049"	3	"Perindopril erbumine 2mg/5ml oral suspension"	"Perindopril"	"400microgram/1ml"	"Oral suspension"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Perindopril"
"56704"	0	"Ramipril 1.25mg capsules (Alliance Healthcare (Distribution) Ltd)"	"Ramipril"	"1.25mg"	"Oral capsule"	"Oral"	"Angiotensin-Converting Enzyme Inhibitors (ACE Inhibitors)"	"Ramipril"
