"medcodeid"	"Observations"	"OriginalReadCode"	"CleansedReadCode"	"term"	"SnomedCTConceptId"	"SnomedCTDescriptionId"	"EmisCodeCategoryId"	"period"
"7499561000006116"	84	"^ESCTMI749956"	NA	"miscarriage of tubal ectopic pregnancy"	"609525000"	"2967044011"	32	"unspecified"
"7500211000006117"	82	"^ESCTPR750021"	NA	"pre-existing diabetes mellitus in pregnancy"	"609563008"	"2967860014"	32	"unspecified"
"7500221000006113"	1	"^ESCTPR750022"	NA	"pre-existing type 1 diabetes mellitus in pregnancy"	"609564002"	"2967831017"	31	"unspecified"
"7500251000006116"	5	"^ESCTPR750025"	NA	"pregnancy and type 1 diabetes mellitus"	"609566000"	"2967852013"	31	"unspecified"
"7510361000006114"	1	"^ESCTFE751036"	NA	"fetal heart echogenicity on obstetric ultrasound scan"	"698595002"	"2974800018"	31	"unspecified"
"7510401000006116"	6	"^ESCTFO751040"	NA	"foetal bowel echogenicity on obstetric ultrasound scan"	"698598000"	"2974762017"	31	"unspecified"
"7510411000006118"	1	"^ESCTFE751041"	NA	"fetal bowel echogenicity on obstetric ultrasound scan"	"698598000"	"2974750016"	31	"unspecified"
"7510811000006115"	1	"^ESCTPR751081"	NA	"pregnancy induced oedema"	"698632006"	"2974881016"	31	"unspecified"
"7511731000006114"	1	"^ESCTAN751173"	NA	"antepartum haemorrhage due to cervical polyp"	"698712000"	"2975402011"	31	"late pregnancy"
"7511791000006113"	5	"^ESCTPR751179"	NA	"preterm spontaneous labour with preterm delivery"	"698716002"	"2975230014"	31	"postnatal"
"7511801000006114"	1	"^ESCTPR751180"	NA	"preterm spontaneous labor with preterm delivery"	"698716002"	"2975240012"	31	"postnatal"
"7511821000006116"	5	"^ESCTPR751182"	NA	"preterm spontaneous labor with term delivery"	"698717006"	"2975151016"	31	"postnatal"
"7526321000006110"	3	"^ESCTGL752632"	NA	"glucose tolerance test, antenatal"	"699731004"	"2985576017"	31	"early pregnancy"
"7529171000006117"	2	"^ESCTRE752917"	NA	"retained placenta due to morbidly adherent placenta"	"699949009"	"2987111014"	31	"late pregnancy"
"7529701000006110"	5	"^ESCTVA752970"	NA	"vaginal delivery of fetus"	"700000006"	"2987176013"	31	"postnatal"
"7530131000006111"	1	"^ESCTPO753013"	NA	"postpartum mastitis"	"700038005"	"2987658019"	32	"postnatal"
