"prodcodeid"	"productname"	"formulation"	"route"	"ingredient"	"strength"	"BNFChapter"	"Antidepressant"
"3030341000033110"	"Escitalopram 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Escitalopram"	"5.000mg"	"04030300"	"Escitalopram"
"3030541000033115"	"Cipralex 5mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Escitalopram"	"5.000mg"	NA	"Escitalopram"
"3058741000033113"	"Mirtazapine 15mg/ml oral solution sugar free"	"Oral solution"	"Oral"	"Mirtazapine"	"15.000mg/1.000ml"	"04030400"	"Mirtazapine"
"3078541000033115"	"Zispin SolTab 30mg orodispersible tablets"	"Orodispersible tablet"	"Oral"	"Mirtazapine"	"30.000mg"	NA	"Mirtazapine"
"3088941000033118"	"Dosulepin 25mg capsules"	"Capsule/ Oral capsule"	"Oral"	"Dosulepin"	"25.000mg"	"04030100"	"Dosulepin"
"3089041000033110"	"Dosulepin 75mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Dosulepin"	"75.000mg"	"04030100"	"Dosulepin"
"3089141000033114"	"Dosulepin 25mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin"	"5.000mg/1.000ml"	"04030100"	"Dosulepin"
"3089241000033119"	"Dosulepin 75mg/5ml oral solution"	"Oral solution"	"Oral"	"Dosulepin"	"15.000mg/1.000ml"	"04030100"	"Dosulepin"
"3177641000033112"	"Duloxetine 20mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"20.000mg"	"07040200"	"Duloxetine"
"3177741000033115"	"Duloxetine 40mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"40.000mg"	"07040200"	"Duloxetine"
"3177841000033113"	"Yentreve 20mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"20.000mg"	NA	"Duloxetine"
"3177941000033117"	"Yentreve 40mg gastro-resistant capsules"	"Gastro-resistant capsule"	"Oral"	"Duloxetine"	"40.000mg"	NA	"Duloxetine"
"3179941000033111"	"Nortriptyline 10mg / Fluphenazine 500microgram tablets"	"Tablet/ Oral Tablet"	"Oral"	"Nortriptyline"	"500.000microgram + 10.000mg"	"04030100"	"Nortriptyline"
"3180441000033118"	"Amitriptyline 25mg / Perphenazine 2mg tablets"	"Tablet/ Oral Tablet"	"Oral"	"Amitriptyline"	"25.000mg + 2.000mg"	"04030100"	"Amitriptyline"
