"medcode"	"term"	"database"
"1749511000006118"	"pattern of weight gain"	"Aurum"
"1750501000006114"	"checking weight monitoring"	"Aurum"
"1750991000000117"	"weight management service opportunity signposted"	"Aurum"
"1753271000006112"	"risk to health associated with overweight and obesity, at no increased risk"	"Aurum"
"1753281000006110"	"risk to health associated with overweight and obesity, at increased risk"	"Aurum"
"1753291000006113"	"risk to health associated with overweight and obesity, at high risk"	"Aurum"
"1753301000006114"	"risk to health associated with overweight and obesity, at very high risk"	"Aurum"
"1753311000006112"	"intervention for risk to health associated with overweight and obesity, general advice on healthy weight and lifestyle"	"Aurum"
"1753321000006116"	"intervention for risk to health associated with overweight and obesity, advice about diet and physical activity"	"Aurum"
"1753331000006118"	"intervention for risk to health associated with overweight and obesity, advice about diet and physical activity, consider drugs"	"Aurum"
"1753341000006111"	"intervention for risk to health associated with overweight and obesity, advice about diet and physical activity, consider drugs, consider surgery"	"Aurum"
"1754921000006118"	"exception reporting - obesity quality indicators"	"Aurum"
"1757781000006113"	"reason for initial weight gain"	"Aurum"
"1764811000006112"	"history of attempted weight loss"	"Aurum"
"1770141000006119"	"did not attend weight management special interest general practitioner clinic"	"Aurum"
"1773481000006111"	"mosaic trial - weight advice"	"Aurum"
"1773731000006116"	"weight advice - verbal [mosaic trial]"	"Aurum"
"1773741000006114"	"weight advice - verbal & written [mosaic trial]"	"Aurum"
"1773751000006111"	"weight advice - not this time [mosaic trial]"	"Aurum"
"1773761000006113"	"weight advice - not appropriate [mosaic trial]"	"Aurum"
"1778201000006111"	"group session: weight management"	"Aurum"
"1793211000000118"	"cycle of change stage, weight management"	"Aurum"
"1803041000000114"	"obesity hypoventilation syndrome"	"Aurum"
"1808061000006114"	"body mass index less than 18.5"	"Aurum"
"1808071000006119"	"body mass index 18.5-24.9"	"Aurum"
"1809441000006111"	"weight change"	"Aurum"
"1844501000006115"	"referral to weight management special interest general practitioner"	"Aurum"
"1865591000006119"	"ten year hip fracture probability score using frax (fracture risk assessment tool) with body mass index"	"Aurum"
"1865611000006113"	"ten year osteoporotic fracture probability score using frax (fracture risk assessment tool) with body mass index"	"Aurum"
"1894041000006119"	"3 month target weight"	"Aurum"
"1894051000006117"	"6 month target weight"	"Aurum"
"1900331000006113"	"obese class iii (body mass index equal to or greater than 40.0)"	"Aurum"
"1901161000006114"	"national obesity observatory standard evaluation framework for weight management interventions - participant satisfaction with intervention"	"Aurum"
"1910901000006116"	"estimated weight"	"Aurum"
"1910911000006118"	"reported weight"	"Aurum"
"1910921000006114"	"estimated height"	"Aurum"
"1910931000006112"	"reported height"	"Aurum"
"1911991000006118"	"concern expressed by carer: weight"	"Aurum"
"1922491000006113"	"down syndrome body mass index centile"	"Aurum"
"1929461000006112"	"difference between actual and ideal weight"	"Aurum"
"1951141000006117"	"body weight measurement not done"	"Aurum"
"1979501000006111"	"weight management follow-up"	"Aurum"
"1979511000006114"	"weight management 6 month follow-up"	"Aurum"
"1979521000006118"	"weight management 12 month follow-up"	"Aurum"
"1979531000006115"	"lost to weight management follow-up"	"Aurum"
"1979961000006118"	"weight management 3 month follow-up"	"Aurum"
"1991711000006112"	"reason for influenza vaccine - bmi 40+"	"Aurum"
"1995621000006110"	"malnutrition universal screening tool - bmi score"	"Aurum"
"1995641000006115"	"malnutrition universal screening tool - weight loss score"	"Aurum"
"2000621000006111"	"date for weight management intervention offered to patient"	"Aurum"
"2010161000006112"	"weight reduction drug therapy - orlistat"	"Aurum"
"2173321000000116"	"referral to residential weight management programme"	"Aurum"
"2176161000000116"	"target body mass index"	"Aurum"
"2193181000000110"	"waist to height ratio"	"Aurum"
"2196031000000118"	"baseline body mass index centile"	"Aurum"
"2196071000000116"	"baseline body mass index"	"Aurum"
"2265731000000113"	"seen in weight management clinic"	"Aurum"
"2303211000000117"	"referral to multidisciplinary obesity clinic"	"Aurum"
"2310101000000115"	"obesity multidisciplinary case review"	"Aurum"
"2316211000000111"	"unintentional weight gain"	"Aurum"
"2325341000000118"	"weight loss importance score"	"Aurum"
"2325381000000114"	"weight loss confidence score"	"Aurum"
"2326311000000114"	"intensive weight management programme commenced"	"Aurum"
"2326451000000118"	"intensive weight management programme ended"	"Aurum"
"2326491000000114"	"intensive weight management programme declined"	"Aurum"
"2350241000000116"	"obese class i (body mass index 30.0 - 34.9)"	"Aurum"
"2350261000000115"	"obese class ii (body mass index 35.0 - 39.9)"	"Aurum"
"2350501000000116"	"anti-obesity drug therapy commenced"	"Aurum"
"2350541000000118"	"obesity medication stopped"	"Aurum"
"2358981000000118"	"3 month target weight"	"Aurum"
"2359021000000113"	"6 month target weight"	"Aurum"
"2359061000000117"	"12 month target weight"	"Aurum"
"2369981000000115"	"target weight to achieve five percent weight loss"	"Aurum"
"2370021000000115"	"target weight to achieve ten percent weight loss"	"Aurum"
"2374151000000117"	"mid-parental height"	"Aurum"
"2423851000000119"	"telehealth obesity monitoring"	"Aurum"
"2636611000000113"	"unsuitable for body height measurement"	"Aurum"
"2636651000000112"	"unsuitable for body weight measurement"	"Aurum"
"2642891000006110"	"weight gain"	"Aurum"
"2714971000000116"	"signposting to weight management service"	"Aurum"
"2729021000006118"	"measuring height of patient"	"Aurum"
"2733261000000112"	"framingham cardiovascular disease 10 year risk calculator score using bmi (body mass index) or lipids"	"Aurum"
"2865221000006115"	"impaired glucose tolerance in obese"	"Aurum"
"2934311000006118"	"weight"	"Aurum"
"3020131000006118"	"impaired glucose tolerance in nonobese"	"Aurum"
"3044831000006118"	"weight maintenance regimen"	"Aurum"
"3044841000006111"	"weight maintenance diet"	"Aurum"
"3070611000006119"	"normal bmi (body mass index)"	"Aurum"
"3087261000006114"	"unable to gain weight"	"Aurum"
"3087271000006119"	"poor weight gain"	"Aurum"
"3087281000006116"	"not putting on weight"	"Aurum"
"3087291000006118"	"not gaining weight"	"Aurum"
"3203281000006116"	"normal weight"	"Aurum"
"3315711000006110"	"body height measure"	"Aurum"
"3315721000006119"	"body height"	"Aurum"
"3484791000006113"	"weight: body mass"	"Aurum"
"3484801000006114"	"bmi - body mass index"	"Aurum"
"3667431000006112"	"decrease in height"	"Aurum"
"3825721000006111"	"type 2 diabetes mellitus in obese"	"Aurum"
"3825731000006114"	"diabetes mellitus type 2 in obese"	"Aurum"
"3847001000006111"	"hypothalamic obesity"	"Aurum"
"3857651000006118"	"failure to lose weight"	"Aurum"
"3952531000006117"	"weight loss"	"Aurum"
"3976301000006116"	"heavy (weight)"	"Aurum"
"4150511000006113"	"weight finding"	"Aurum"
"4544701000006119"	"losing weight"	"Aurum"
"4544711000006116"	"progressive weight loss"	"Aurum"
"4544731000006110"	"abnormal increase in weight"	"Aurum"
"4550451000006118"	"on examination - obese"	"Aurum"
"4551671000006115"	"on examination - height"	"Aurum"
"4551681000006117"	"o/e - height greater than 20% below average"	"Aurum"
"4551701000006119"	"o/e - height 10-20% below average"	"Aurum"
"4551761000006118"	"o/e - height greater than 20% over average"	"Aurum"
"4551791000006114"	"on examination - loss of height"	"Aurum"
"4551811000006113"	"on examination - weight"	"Aurum"
"4551821000006117"	"o/e - weight greater than 20% below ideal"	"Aurum"
"4551891000006115"	"on examination - underweight"	"Aurum"
"4553701000006115"	"body mass index 25-29 - overweight"	"Aurum"
"4553721000006113"	"bmi 25-29 - overweight"	"Aurum"
"4553741000006118"	"bmi 30+ - obesity"	"Aurum"
"4636861000006111"	"has seen dietitian - obesity"	"Aurum"
"4636941000006119"	"ibw - ideal body weight"	"Aurum"
"4935051000006112"	"excessive weight gain"	"Aurum"
"4935071000006119"	"height increased"	"Aurum"
"4937201000006110"	"weight and body mass assessment procedure"	"Aurum"
"4946401000006112"	"submissive behaviour"	"Aurum"
"4986041000006113"	"kcal/kg body weight"	"Aurum"
"4986261000006116"	"g/kg body weight"	"Aurum"
"5061121000006113"	"excess interdialytic weight gain"	"Aurum"
"5117851000006111"	"patient overweight"	"Aurum"
"5117871000006118"	"gynaecoid obesity"	"Aurum"
"5192431000006115"	"obesity monitoring status"	"Aurum"
"5247501000006116"	"overestimates own body weight"	"Aurum"
"5247511000006118"	"underestimates own body weight"	"Aurum"
"5253111000006115"	"actions to lose weight"	"Aurum"
"5253131000006114"	"self-induced purging to lose weight"	"Aurum"
"5253151000006119"	"excessive exercising to lose weight"	"Aurum"
"5255791000006110"	"centripetal obesity"	"Aurum"
"5255821000006118"	"truncal obesity"	"Aurum"
"5256071000006119"	"general finding of height"	"Aurum"
"5256131000006116"	"has grown in height"	"Aurum"
"5256141000006114"	"weight fluctuates"	"Aurum"
"5256201000006119"	"height centile"	"Aurum"
"5256221000006112"	"trend in height centile"	"Aurum"
"5256251000006115"	"patient underweight"	"Aurum"
"5256261000006118"	"weight trend"	"Aurum"
"5256281000006111"	"percentage change in weight"	"Aurum"
"5256311000006113"	"reference weight"	"Aurum"
"5256321000006117"	"previous well-weight"	"Aurum"
"5256341000006112"	"percentage of reference weight"	"Aurum"
"5256351000006114"	"percentage overweight"	"Aurum"
"5256361000006111"	"percentage underweight"	"Aurum"
"5256371000006116"	"weight centile"	"Aurum"
"5256381000006118"	"trend in weight centile"	"Aurum"
"5256391000006115"	"weight for height"	"Aurum"
"5273061000006119"	"obese abdomen"	"Aurum"
"5279431000006117"	"step height"	"Aurum"
"5428931000006117"	"heightened"	"Aurum"
"5451371000006112"	"weight decreased"	"Aurum"
"5451381000006110"	"weight increased"	"Aurum"
"5470331000006119"	"weight lifter"	"Aurum"
"5494311000006110"	"weight-reducing diet education"	"Aurum"
"5494331000006116"	"dietary advice for weight reduction"	"Aurum"
"5507901000006110"	"o/e - weight greater than 20% over ideal"	"Aurum"
"5524151000006112"	"weight stable"	"Aurum"
"5526441000006112"	"obese build"	"Aurum"
"5526601000006112"	"height / growth measure"	"Aurum"
"5529851000006116"	"has not grown in height"	"Aurum"
"5529871000006114"	"height static"	"Aurum"
"5533851000006117"	"weights"	"Aurum"
"5584001000006117"	"weight velocity"	"Aurum"
"5584011000006119"	"weight centile velocity"	"Aurum"
"5584101000006118"	"preoccupation with body weight"	"Aurum"
"5667471000006115"	"ability to transfer weight"	"Aurum"
"5667481000006117"	"able to transfer weight"	"Aurum"
"5667491000006119"	"unable to transfer weight"	"Aurum"
"5667501000006110"	"does transfer weight"	"Aurum"
"5667511000006113"	"transfers weight"	"Aurum"
"5667521000006117"	"does not transfer weight"	"Aurum"
"5667531000006119"	"difficulty transferring weight"	"Aurum"
"5686501000006114"	"obesity diet education"	"Aurum"
"5686511000006112"	"dietary advice for obesity"	"Aurum"
"5742301000006117"	"exercising to lose weight"	"Aurum"
"5892171000006118"	"finding of measures of body height and growth"	"Aurum"
"5892201000006119"	"observation of body mass index"	"Aurum"
"5892251000006115"	"body weight problem"	"Aurum"
"5901931000006118"	"bone age corrected height centile"	"Aurum"
"5979481000006117"	"obesity monitoring call"	"Aurum"
"5986631000006118"	"excessive weight loss"	"Aurum"
"5990011000006117"	"normal height"	"Aurum"
"5998281000006119"	"bmi less than 20"	"Aurum"
"5999801000006118"	"obesity monitoring invitation"	"Aurum"
"6066161000006114"	"peripherally acting antiobesity drug"	"Aurum"
"6204751000006114"	"diabetes mellitus type 2 in nonobese"	"Aurum"
"6204841000006117"	"weight reduction diet"	"Aurum"
"6251131000006111"	"weight gain (amount)"	"Aurum"
"6251141000006118"	"weight loss (amount)"	"Aurum"
"6251151000006116"	"body weight measure"	"Aurum"
"6251171000006114"	"usual body weight"	"Aurum"
"6281371000006119"	"weight change finding"	"Aurum"
"6509591000006118"	"weight maintenance regimen"	"Aurum"
"6509601000006114"	"weight control"	"Aurum"
"6509681000006117"	"weight maintenance consultation"	"Aurum"
"6509771000006113"	"weight reduction consultation"	"Aurum"
"6509781000006111"	"weight reduction regimen"	"Aurum"
"6509791000006114"	"weight reduction assistance"	"Aurum"
"6509811000006113"	"weight gain regimen"	"Aurum"
"6611061000006111"	"referral to weight maintenance regimen service"	"Aurum"
"6702411000006117"	"general appraisal of patient weight"	"Aurum"
"6705361000006118"	"mobilising exercises, partially weight bearing"	"Aurum"
"6705381000006111"	"mobilising exercises, fully weight bearing"	"Aurum"
"6759901000006112"	"refer to weight management program"	"Aurum"
"6763391000006114"	"body mass index 40+ - morbidly obese"	"Aurum"
"6763401000006111"	"bmi (body mass index) 40+ - severely obese"	"Aurum"
"6791981000006113"	"weight control assessment"	"Aurum"
"6792021000006115"	"weight maintenance regimen management"	"Aurum"
"6792031000006117"	"manage weight control"	"Aurum"
"6866991000006116"	"obese"	"Aurum"
"6867041000006114"	"obesity by age of onset"	"Aurum"
"6922511000006116"	"height below average"	"Aurum"
"6997371000006111"	"unexplained weight loss"	"Aurum"
"7037161000006118"	"body weight without shoes"	"Aurum"
"7067191000006116"	"recent weight loss"	"Aurum"
"7068841000006116"	"body mass index less than 16.5"	"Aurum"
"7075901000006114"	"recent weight gain"	"Aurum"
"7098251000006115"	"dietary education for weight gain"	"Aurum"
"7116681000006115"	"abnormal intentional weight loss"	"Aurum"
"7150901000006114"	"diffusion weighted magnetic resonance imaging of brain"	"Aurum"
"7235901000006117"	"behavior to promote weight gain"	"Aurum"
"7236701000006111"	"diffusion weighted magnetic resonance imaging"	"Aurum"
"7247301000006113"	"easy care weighted disability assessment"	"Aurum"
"7297941000006116"	"weight/weight ratio"	"Aurum"
